CPU_COUNT,TIME_MS,NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
16,403,15,1,false,66925,171,1;2;71;6;83;100;
16,216,15,1,false,65845,59,2;3;22;4;19;100;
16,204,15,1,false,61815,72,4;7;27;20;3;100;
16,135,15,1,false,68252,12,1;1;100;
16,363,15,1,false,63038,222,1;1;5;34;32;50;45;43;100;
16,190,15,1,false,68011,66,2;2;4;1;34;12;100;
16,207,15,1,false,63574,85,1;8;62;5;100;
16,235,15,1,false,63632,114,1;2;1;3;15;83;100;
16,235,15,1,false,65837,113,1;3;1;4;95;100;
16,219,15,1,false,61682,98,1;2;1;9;11;1;6;3;46;2;1;100;
16,248,15,6,false,61641,104,12;33;48;100;
16,172,15,6,false,62298,37,1;3;9;3;4;8;100;
16,296,15,6,false,59906,148,2;7;24;2;3;98;100;
16,276,15,6,false,59366,132,2;1;7;45;63;2;100;
16,235,15,6,false,60112,96,1;9;1;74;100;
16,168,15,6,false,62055,34,1;2;24;100;
16,272,15,6,false,59380,130,1;5;5;6;31;17;13;9;30;100;
16,238,15,6,false,58304,100,1;6;4;1;51;26;100;
16,155,15,6,false,62820,24,1;1;4;8;100;
16,247,15,6,false,58977,109,1;38;44;6;8;100;
16,144,15,11,false,63367,10,2;100;
16,296,15,11,false,60174,147,1;1;1;16;12;7;77;17;100;
16,140,15,11,false,63354,7,100;
16,342,15,11,false,59389,182,1;78;91;100;
16,160,15,11,false,61850,25,6;10;100;
16,347,15,11,false,59849,185,1;2;4;3;21;23;63;55;100;
16,194,15,11,false,58941,53,5;2;8;26;100;
16,190,15,11,false,61584,51,1;9;25;3;100;
16,228,15,11,false,62108,87,3;2;2;10;3;23;29;1;100;
16,241,15,11,false,60898,100,1;5;6;29;7;28;5;2;100;
16,220,15,16,false,59993,72,1;3;56;100;
16,265,15,16,false,61504,112,1;1;9;88;2;100;
16,260,15,16,false,61230,111,12;2;87;100;
16,328,15,16,false,59398,166,1;7;8;41;52;1;10;1;32;100;
16,255,15,16,false,58664,105,1;2;8;12;70;100;
16,386,15,16,false,59291,212,1;97;19;39;18;26;100;
16,253,15,16,false,62436,104,6;11;19;13;24;20;100;
16,203,15,16,false,60122,62,1;1;2;1;4;4;12;14;6;100;
16,180,15,16,false,60396,39,1;2;4;22;100;
16,359,15,16,false,59197,194,1;4;73;1;5;57;31;9;100;
16,225,15,21,false,61507,74,1;2;9;22;9;19;2;100;
16,338,15,21,false,58989,169,23;9;34;91;100;
16,166,15,21,false,60824,25,16;100;
16,221,15,21,false,61297,72,1;1;7;8;44;100;
16,274,15,21,false,63294,84,1;1;3;4;8;55;100;
16,414,15,21,false,59143,227,1;48;63;22;72;5;100;
16,234,15,21,false,61701,74,2;33;11;18;100;
16,282,15,21,false,60404,124,1;1;22;17;19;1;20;27;100;
16,356,15,21,false,62488,182,14;59;99;100;
16,149,15,21,false,60819,11,2;100;
16,255,15,26,false,61581,86,2;2;8;2;60;100;
16,404,15,26,false,60772,213,1;8;48;41;70;33;100;
16,177,15,26,false,60898,32,1;3;19;100;
16,162,15,26,false,61361,19,1;3;6;100;
16,373,15,26,false,60778,190,88;89;2;100;
16,514,15,26,false,57833,293,1;7;96;41;43;1;6;5;9;68;100;
16,198,15,26,false,62115,49,1;1;2;5;12;16;100;
16,411,15,26,false,60803,218,1;2;1;8;4;4;9;79;17;4;70;100;
16,305,15,26,false,59405,137,1;1;14;1;26;64;17;100;
16,334,15,26,false,57593,160,1;2;5;29;2;62;48;100;
16,190,15,31,false,61393,39,5;2;1;2;10;8;100;
16,264,15,31,false,60292,101,1;1;2;3;81;100;
16,335,15,31,false,59954,158,2;4;3;34;33;71;100;
16,206,15,31,false,61227,53,1;13;29;100;
16,241,15,31,false,59774,82,6;50;15;100;
16,175,15,31,false,62033,28,8;12;100;
16,275,15,31,false,60624,110,2;1;22;76;100;
16,201,15,31,false,60540,49,2;9;28;100;
16,238,15,31,false,62495,79,11;58;100;
16,397,15,31,false,60070,204,2;25;50;78;38;100;
16,208,15,36,false,61695,48,2;36;100;
16,296,15,36,false,61075,114,2;4;14;22;20;39;100;
16,167,15,36,false,62909,14,4;100;
16,277,15,36,false,61605,102,1;2;2;34;53;100;
16,163,15,36,false,61790,12,1;1;100;
16,161,15,36,false,61619,11,3;1;100;
16,204,15,36,false,61697,45,1;1;4;16;7;5;100;
16,322,15,36,false,60176,137,9;14;98;4;100;
16,284,15,36,false,61741,108,4;94;100;
16,261,15,36,false,61055,89,1;1;79;100;
16,188,15,41,false,60355,30,1;1;18;100;
16,211,15,41,false,62358,48,1;1;1;22;14;100;
16,277,15,41,false,61631,99,2;5;12;67;100;
16,380,15,41,false,59123,174,1;3;11;15;1;37;1;89;100;
16,170,15,41,false,61833,16,1;1;6;100;
16,443,15,41,false,61539,218,1;1;6;32;80;86;100;
16,340,15,41,false,60905,146,1;2;2;84;46;100;
16,408,15,41,false,60655,195,1;1;21;5;94;58;100;
16,350,15,41,false,61406,154,2;2;1;66;16;56;100;
16,181,15,41,false,60752,25,5;7;3;100;
16,228,15,46,false,62301,59,1;50;100;
16,193,15,46,false,61926,32,1;2;2;16;100;
16,370,15,46,false,61468,165,3;2;6;40;65;34;100;
16,241,15,46,false,60794,68,1;2;5;2;7;3;4;33;100;
16,181,15,46,false,60881,23,1;1;1;11;100;
16,288,15,46,false,57029,102,8;10;32;25;1;12;100;
16,163,15,46,false,61179,9,1;100;
16,205,15,46,false,60759,41,3;2;26;100;
16,167,15,46,false,59515,12,1;100;
16,441,15,46,false,60039,215,1;20;50;98;31;100;
16,252,15,51,false,61109,70,2;1;4;2;5;41;100;
16,213,15,51,false,61822,42,2;24;7;100;
16,228,15,51,false,60728,53,1;42;100;
16,234,15,51,false,59592,57,1;46;100;
16,212,15,51,false,60907,41,3;3;25;100;
16,253,15,51,false,61278,70,2;7;10;39;100;
16,282,15,51,false,59316,91,1;1;22;23;10;21;100;
16,281,15,51,false,60585,86,3;18;4;10;11;26;100;
16,396,15,51,false,61355,171,1;63;4;87;100;
16,285,15,51,false,59714,93,1;1;3;41;39;100;
16,287,15,56,false,61322,82,1;73;100;
16,302,15,56,false,61414,101,1;6;1;11;11;60;100;
16,171,15,56,false,61494,8,100;
16,180,15,56,false,60933,14,3;2;100;
16,184,15,56,false,59720,18,1;1;1;5;100;
16,176,15,56,false,59370,12,1;2;100;
16,441,15,56,false,58167,197,1;2;8;18;48;33;75;100;
16,188,15,56,false,60865,18,1;1;2;3;100;
16,199,15,56,false,57420,28,3;2;6;5;100;
16,238,15,56,false,62170,56,3;14;22;6;100;
16,195,15,61,false,61930,23,1;1;2;5;1;100;
16,192,15,61,false,60470,21,1;1;8;2;100;
16,324,15,61,false,61265,114,1;17;77;6;100;
16,183,15,61,false,59453,15,1;5;100;
16,265,15,61,false,59153,73,1;9;1;20;4;23;100;
16,226,15,61,false,60982,43,1;6;15;8;2;100;
16,182,15,61,false,60040,12,1;1;100;
16,286,15,61,false,60456,83,1;2;1;38;27;100;
16,352,15,61,false,58213,124,1;4;27;80;100;
16,490,15,61,false,60854,219,1;1;6;9;81;12;97;100;
16,182,15,66,false,60931,9,1;100;
16,298,15,66,false,60263,87,1;28;4;2;1;39;100;
16,342,15,66,false,61034,117,1;2;3;20;79;100;
16,226,15,66,false,59741,41,1;1;10;4;6;4;100;
16,248,15,66,false,60350,56,1;2;39;100;
16,401,15,66,false,59022,156,1;10;41;91;100;
16,265,15,66,false,60106,67,1;1;2;23;28;100;
16,251,15,66,false,61715,57,1;2;10;6;28;100;
16,242,15,66,false,61937,52,3;39;100;
16,683,15,66,false,59675,340,1;4;1;8;25;23;1;82;65;25;87;100;
16,315,15,71,false,60443,97,1;1;15;19;27;8;8;100;
16,264,15,71,false,60532,63,1;54;100;
16,270,15,71,false,60321,65,1;4;8;15;6;2;1;13;100;
16,218,15,71,false,60619,33,1;1;17;1;100;
16,276,15,71,false,61055,71,5;47;7;100;
16,307,15,71,false,60597,91,1;80;100;
16,200,15,71,false,59323,20,11;100;
16,234,15,71,false,60112,43,1;1;14;3;14;100;
16,187,15,71,false,60247,12,1;2;100;
16,314,15,71,false,59475,96,1;2;82;100;
16,206,15,76,false,60637,22,1;11;100;
16,194,15,76,false,61782,12,3;100;
16,276,15,76,false,58291,63,1;36;14;100;
16,329,15,76,false,61131,101,1;5;37;44;100;
16,662,15,76,false,60752,313,1;1;2;12;53;64;23;78;63;100;
16,290,15,76,false,60477,78,5;8;7;6;38;100;
16,187,15,76,false,60871,10,1;2;100;
16,304,15,76,false,59516,87,2;11;13;3;45;100;
16,267,15,76,false,60184,60,1;23;25;100;
16,336,15,76,false,59585,108,1;1;14;84;100;
16,385,15,81,false,57889,133,4;8;11;71;27;100;
16,215,15,81,false,60388,25,1;16;100;
16,245,15,81,false,59984,44,1;1;1;13;17;100;
16,201,15,81,false,60770,16,2;1;4;100;
16,388,15,81,false,59924,135,1;2;3;45;23;39;1;8;100;
16,632,15,81,false,60226,283,3;1;11;2;33;89;72;53;100;
16,314,15,81,false,60590,88,1;1;75;100;
16,265,15,81,false,60204,58,1;47;100;
16,349,15,81,false,60426,111,14;1;10;16;58;100;
16,244,15,81,false,60600,44,4;14;15;100;
16,284,15,86,false,60028,66,1;4;51;100;
16,420,15,86,false,61042,149,5;13;38;77;100;
16,254,15,86,false,57578,47,1;1;1;33;100;
16,395,15,86,false,58788,135,49;59;15;100;
16,313,15,86,false,61340,83,73;100;
16,331,15,86,false,58687,95,3;1;79;100;
16,211,15,86,false,61358,20,1;1;9;100;
16,413,15,86,false,60259,144,41;64;28;100;
16,693,15,86,false,59455,314,2;16;99;65;5;47;64;100;
16,275,15,86,false,58682,60,2;2;2;24;8;10;100;
16,199,15,91,false,59801,11,2;1;100;
16,323,15,91,false,59284,87,1;43;4;28;100;
16,367,15,91,false,60402,114,1;1;1;9;23;57;9;100;
16,364,15,91,false,59344,113,1;22;81;100;
16,264,15,91,false,60640,51,1;1;13;4;18;100;
16,294,15,91,false,60059,70,4;13;8;33;100;
16,200,15,91,false,60089,12,1;1;1;100;
16,338,15,91,false,60509,97,1;1;15;12;9;47;100;
16,220,15,91,false,60981,24,15;100;
16,438,15,91,false,60458,157,1;1;1;3;1;11;39;7;55;19;100;
16,587,15,96,false,59087,239,2;1;35;12;19;96;57;100;
16,603,15,96,false,59958,248,2;4;3;15;59;64;86;100;
16,279,15,96,false,59981,57,1;20;26;100;
16,377,15,96,false,58228,115,1;1;7;61;31;100;
16,458,15,96,false,59294,165,1;12;71;63;5;100;
16,306,15,96,false,59723,74,1;9;39;12;100;
16,459,15,96,false,59459,165,1;3;7;4;75;23;35;100;
16,218,15,96,false,60846,20,2;4;4;100;
16,247,15,96,false,60890,37,1;3;20;100;
16,306,15,96,false,59458,73,2;9;2;10;7;28;100;
16,282,15,101,false,60113,55,1;2;12;3;23;100;
16,245,15,101,false,60639,33,1;22;100;
16,215,15,101,false,58485,16,1;6;1;100;
16,611,15,101,false,58835,247,11;64;1;53;19;85;100;
16,338,15,101,false,59337,87,2;41;33;100;
