CPU_COUNT,TIME_MS,NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
8,282,15,1,true,41836,93,3;2;3;11;66;100;
8,125,15,1,true,41423,21,12;2;2;100;
8,156,15,1,true,41729,18,1;2;5;4;100;
8,187,15,1,true,41723,74,1;3;13;20;3;25;100;
8,219,15,1,true,41722,109,1;2;1;6;14;48;28;100;
8,406,15,1,true,41707,231,1;2;1;5;30;2;77;27;76;100;
8,125,15,1,true,42046,17,1;2;4;5;100;
8,172,15,1,true,41501,51,2;1;2;40;100;
8,141,15,1,true,41302,28,12;8;2;100;
8,156,15,1,true,41537,50,1;4;3;23;12;100;
8,281,15,6,true,41648,138,8;7;20;96;100;
8,157,15,6,true,41636,27,4;3;3;6;3;100;
8,203,15,6,true,41531,60,1;3;31;17;100;
8,250,15,6,true,41627,107,1;1;97;100;
8,141,15,6,true,41769,20,2;3;10;100;
8,265,15,6,true,41893,116,2;3;18;28;59;100;
8,235,15,6,true,41497,99,10;3;5;21;12;39;100;
8,328,15,6,true,41499,168,4;1;5;11;39;70;22;7;100;
8,140,15,6,true,41479,20,6;2;2;5;100;
8,328,15,6,true,41373,170,1;4;2;12;19;27;63;31;100;
8,422,15,11,true,41092,223,4;7;11;35;90;66;100;
8,297,15,11,true,41241,136,3;2;12;31;81;100;
8,219,15,11,true,41498,68,2;1;41;13;3;100;
8,266,15,11,true,41500,107,1;5;5;1;16;71;100;
8,312,15,11,true,41485,145,4;7;17;3;7;23;43;29;100;
8,156,15,11,true,41603,14,1;8;100;
8,204,15,11,true,41397,43,5;24;8;100;
8,140,15,11,true,41460,9,3;2;100;
8,281,15,11,true,41537,110,2;13;55;5;26;100;
8,657,15,11,true,41408,410,2;3;2;7;11;1;10;4;8;71;91;65;29;35;53;100;
8,344,15,16,true,41484,159,1;1;5;5;21;3;11;69;32;100;
8,187,15,16,true,41531,33,1;1;26;100;
8,203,15,16,true,41482,45,2;1;6;6;1;3;18;100;
8,219,15,16,true,41402,61,4;10;18;20;100;
8,219,15,16,true,41420,61,2;4;2;19;17;9;100;
8,156,15,16,true,41571,7,3;100;
8,328,15,16,true,41430,153,3;45;59;39;100;
8,266,15,16,true,41339,93,2;10;6;65;100;
8,140,15,16,true,41722,7,1;1;100;
8,297,15,16,true,41437,116,25;83;100;
8,266,15,21,true,41222,85,1;1;1;22;54;100;
8,219,15,21,true,41608,45,15;26;100;
8,203,15,21,true,41497,42,4;9;4;18;100;
8,203,15,21,true,41439,31,3;9;3;11;100;
8,281,15,21,true,41369,98,7;16;1;67;100;
8,281,15,21,true,41331,97,3;90;100;
8,204,15,21,true,41427,41,1;9;6;4;11;100;
8,296,15,21,true,41518,107,1;4;8;32;40;13;100;
8,360,15,21,true,41282,148,1;1;35;31;73;100;
8,172,15,21,true,41486,11,1;3;1;100;
8,187,15,26,true,41550,22,6;1;1;6;100;
8,407,15,26,true,41175,174,1;3;26;23;57;55;100;
8,187,15,26,true,41458,16,2;6;1;1;100;
8,563,15,26,true,41350,272,2;2;8;1;13;65;3;34;21;70;19;19;100;
8,234,15,26,true,41563,44,1;3;3;24;2;100;
8,250,15,26,true,41393,67,2;4;11;44;100;
8,516,15,26,true,41403,243,13;50;46;55;30;41;100;
8,265,15,26,true,41519,66,1;1;1;11;2;43;100;
8,203,15,26,true,41493,28,10;2;7;100;
8,172,15,26,true,41528,15,1;2;2;5;100;
8,188,15,31,true,41470,10,3;1;100;
8,265,15,31,true,41379,62,1;8;20;27;100;
8,313,15,31,true,41281,100,1;2;17;72;100;
8,375,15,31,true,41481,141,2;3;12;34;36;15;30;100;
8,375,15,31,true,41415,136,6;30;18;21;51;100;
8,312,15,31,true,41224,101,1;1;1;12;19;9;7;39;1;100;
8,204,15,31,true,41432,27,3;1;7;10;100;
8,375,15,31,true,41138,135,1;1;1;4;19;2;20;8;68;100;
8,203,15,31,true,41505,21,1;2;11;100;
8,312,15,31,true,41357,101,3;2;2;12;53;20;100;
8,219,15,36,true,41393,25,1;2;15;100;
8,531,15,36,true,41357,221,2;3;1;2;2;4;1;71;27;95;100;
8,219,15,36,true,41557,27,1;2;2;14;1;100;
8,297,15,36,true,41387,72,6;3;7;44;100;
8,375,15,36,true,40954,123,27;70;22;100;
8,203,15,36,true,41170,21,1;3;12;100;
8,203,15,36,true,41532,15,2;8;100;
8,203,15,36,true,41221,13,4;3;100;
8,485,15,36,true,41315,188,2;2;7;1;29;8;9;95;23;100;
8,234,15,36,true,41363,34,2;2;20;3;100;
8,547,15,41,true,41236,215,7;5;72;58;67;100;
8,313,15,41,true,41170,77,3;54;15;100;
8,500,15,41,true,41141,188,6;1;35;10;30;98;100;
8,593,15,41,true,41262,249,1;2;2;5;64;66;99;100;
8,235,15,41,true,41287,22,1;1;15;100;
8,297,15,41,true,41053,68,1;3;5;14;4;3;18;9;100;
8,547,15,41,true,41448,214,2;10;10;15;20;1;74;73;100;
8,234,15,41,true,41256,35,1;8;3;17;100;
8,375,15,41,true,41348,117,1;1;27;83;100;
8,344,15,41,true,41188,93,3;2;2;79;100;
8,328,15,46,true,41203,75,1;3;4;16;36;5;100;
8,562,15,46,true,41205,212,8;12;2;61;27;95;100;
8,329,15,46,true,41351,77,5;3;4;59;100;
8,281,15,46,true,41421,59,1;38;16;100;
8,219,15,46,true,41345,15,1;2;4;100;
8,234,15,46,true,41430,19,3;2;2;5;100;
8,219,15,46,true,41440,17,7;3;100;
8,234,15,46,true,40809,26,1;5;15;100;
8,469,15,46,true,41276,160,1;1;1;1;2;3;18;32;91;100;
8,453,15,46,true,41328,146,1;2;9;2;4;38;80;100;
8,219,15,51,true,41387,13,2;7;100;
8,500,15,51,true,41381,160,5;6;4;27;9;34;49;15;100;
8,219,15,51,true,41365,9,4;2;100;
8,390,15,51,true,41301,111,3;29;30;41;100;
8,344,15,51,true,41227,73,6;63;100;
8,266,15,51,true,41122,38,1;1;25;2;2;100;
8,484,15,51,true,41292,143,2;2;41;5;86;100;
8,281,15,51,true,41348,49,4;6;8;12;11;100;
8,422,15,51,true,41322,114,1;1;2;7;92;100;
8,219,15,51,true,41477,14,1;3;3;100;
8,250,15,56,true,41326,19,3;2;8;100;
