NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,31,false,7779,23,2;1;8;3;100;
15,31,false,7870,129,2;3;45;3;67;100;
15,31,false,7663,9,3;100;
15,31,false,7768,70,1;1;7;18;12;20;100;
15,31,false,7663,73,4;1;1;4;53;100;
15,31,false,7691,216,10;3;96;56;39;100;
15,31,false,7674,122,1;3;2;1;14;44;46;100;
15,31,false,7932,13,1;1;3;100;
15,31,false,7870,36,1;5;1;3;1;15;100;
15,31,false,7626,118,1;4;1;12;40;49;100;
16,31,false,7818,29,1;2;2;3;1;6;4;100;
16,31,false,7768,19,2;8;100;
16,31,false,7702,53,1;2;1;3;36;100;
16,31,false,7773,30,3;2;7;8;100;
16,31,false,7663,163,2;2;1;3;2;14;1;6;95;23;100;
16,31,false,7707,48,1;3;6;3;22;3;100;
16,31,false,7658,215,3;8;56;95;43;100;
16,31,false,7807,69,2;4;3;3;46;100;
16,31,false,7575,155,1;5;2;16;71;44;5;100;
16,31,false,7679,123,1;1;21;9;83;100;
17,31,false,7621,139,1;5;42;62;18;100;
17,31,false,7679,109,1;2;98;100;
17,31,false,7674,11,1;100;
17,31,false,7676,24,1;1;2;12;100;
17,31,false,7679,139,1;1;1;1;1;4;4;97;17;100;
17,31,false,7782,54,1;2;3;41;100;
17,31,false,7663,218,1;1;1;4;16;4;28;32;29;91;100;
17,31,false,7657,116,1;1;2;4;6;17;33;22;14;100;
17,31,false,7711,67,3;52;2;100;
17,31,false,7669,74,1;1;1;2;7;52;100;
18,31,false,7839,109,3;3;1;9;57;20;2;100;
18,31,false,7662,129,1;5;1;35;3;72;100;
18,31,false,7758,106,3;22;21;51;100;
18,31,false,7736,91,1;1;2;1;1;12;12;31;14;100;
18,31,false,7543,22,1;1;6;1;4;100;
18,31,false,7547,16,1;2;4;100;
18,31,false,7674,149,1;3;14;4;19;96;100;
18,31,false,7791,117,1;11;4;38;53;100;
18,31,false,7679,267,1;4;17;9;7;95;83;38;100;
18,31,false,7662,154,4;3;2;2;1;66;23;38;100;
19,31,false,7791,71,1;2;3;45;13;100;
19,31,false,7680,123,1;1;2;5;2;9;4;25;58;100;
19,31,false,7658,79,1;2;13;52;100;
19,31,false,7679,133,1;2;1;3;7;8;59;2;33;2;100;
19,31,false,7881,38,1;2;3;2;7;6;3;100;
19,31,false,7741,191,2;1;95;84;100;
19,31,false,7662,185,11;5;16;79;63;100;
19,31,false,7722,45,1;1;5;30;100;
19,31,false,7740,75,1;2;6;8;9;8;28;100;
19,31,false,7791,61,1;1;14;2;2;6;13;3;2;100;
20,31,false,7547,104,1;2;3;2;11;75;100;
20,31,false,7702,23,1;1;13;100;
20,31,false,7662,161,1;2;3;4;1;10;1;16;21;7;5;69;100;
20,31,false,7548,49,2;2;1;34;100;
20,31,false,7715,104,5;1;34;22;11;18;100;
20,31,false,7823,59,1;3;31;1;12;100;
20,31,false,7663,109,2;4;4;55;36;100;
20,31,false,7686,118,1;6;11;22;48;17;100;
20,31,false,7774,57,1;1;4;33;7;100;
20,31,false,7574,340,1;2;11;23;54;51;24;93;11;52;2;100;
21,31,false,7569,119,6;16;21;10;52;100;
21,31,false,7679,135,1;30;67;25;100;
21,31,false,7662,148,1;3;1;8;5;48;44;24;100;
21,31,false,7663,59,1;1;2;5;4;1;2;1;15;7;5;100;
21,31,false,7832,69,1;4;6;2;4;6;4;11;16;100;
21,31,false,7786,45,1;2;2;11;11;6;100;
21,31,false,7542,171,4;56;37;57;10;100;
21,31,false,7785,37,1;1;26;100;
21,31,false,7663,29,2;5;1;7;1;100;
21,31,false,7737,202,1;1;2;6;6;1;1;71;89;11;100;
22,31,false,7689,54,4;3;4;11;2;20;100;
22,31,false,7680,97,1;1;1;4;3;4;10;30;30;100;
22,31,false,7759,119,1;16;91;100;
22,31,false,7547,114,4;17;7;35;12;25;100;
22,31,false,7658,134,1;2;2;1;1;22;96;100;
22,31,false,7675,253,1;1;2;27;1;14;39;84;15;56;100;
22,31,false,7548,43,1;3;1;4;23;100;
22,31,false,7905,31,1;1;2;6;12;100;
22,31,false,7701,157,1;1;4;14;13;17;93;100;
22,31,false,7548,312,1;3;14;11;4;55;91;23;3;91;100;
23,31,false,7680,89,1;1;1;17;43;16;100;
23,31,false,7798,9,1;1;100;
23,31,false,7679,88,1;1;4;2;3;10;32;21;100;
23,31,false,7785,18,2;2;3;2;100;
23,31,false,7663,74,1;14;19;2;27;100;
23,31,false,7711,43,1;1;1;11;23;100;
23,31,false,7679,193,1;3;13;73;6;36;47;100;
23,31,false,7794,25,2;13;2;100;
23,31,false,7680,185,1;8;1;27;73;64;100;
23,31,false,7657,148,1;7;3;22;9;23;15;55;100;
24,31,false,7677,128,1;2;2;30;3;28;10;24;14;100;
24,31,false,7786,63,1;21;15;4;10;100;
24,31,false,7710,148,1;4;2;17;56;1;59;100;
24,31,false,7768,92,1;2;1;8;13;55;100;
24,31,false,7627,145,1;2;38;80;14;100;
24,31,false,7674,221,2;1;2;4;12;50;41;99;100;
24,31,false,7680,105,2;1;4;5;8;2;16;55;100;
24,31,false,7679,75,3;12;14;36;100;
24,31,false,7697,145,2;1;2;2;18;56;56;100;
24,31,false,7675,47,1;1;1;2;32;100;
25,31,false,7721,65,1;1;4;4;45;100;
25,31,false,7789,61,1;4;13;36;100;
25,31,false,7674,214,5;11;30;81;73;100;
25,31,false,7663,253,1;1;2;1;6;11;81;49;89;100;
25,31,false,7721,110,2;14;6;27;49;100;
25,31,false,7662,80,1;6;1;13;47;100;
25,31,false,7658,111,1;2;11;18;5;19;30;12;100;
