NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,31,true,7542,4,1;100;
15,31,true,7542,4,1;100;
15,31,true,7542,4,1;100;
15,31,true,7542,3,1;100;
15,31,true,7542,3,100;
15,31,true,7542,14,2;4;3;100;
15,31,true,7542,5,3;100;
15,31,true,7542,1,100;
15,31,true,7542,9,1;5;100;
15,31,true,7542,5,3;100;
16,31,true,7542,7,3;1;100;
16,31,true,7542,4,1;100;
16,31,true,7542,6,1;1;100;
16,31,true,7542,1,100;
16,31,true,7542,9,2;2;100;
16,31,true,7542,10,1;1;100;
16,31,true,7542,8,3;1;100;
16,31,true,7542,5,1;100;
16,31,true,7542,2,100;
16,31,true,7542,1,100;
17,31,true,7542,5,1;100;
17,31,true,7542,2,100;
17,31,true,7542,1,100;
17,31,true,7542,10,1;2;2;100;
17,31,true,7542,3,1;100;
17,31,true,7542,6,3;100;
17,31,true,7542,3,100;
17,31,true,7542,1,100;
17,31,true,7542,7,1;3;100;
17,31,true,7542,6,1;1;100;
18,31,true,7542,5,3;100;
18,31,true,7542,4,2;100;
18,31,true,7542,5,3;100;
18,31,true,7542,4,100;
18,31,true,7542,5,3;100;
18,31,true,7542,3,1;100;
18,31,true,7542,6,1;2;100;
18,31,true,7542,3,1;100;
18,31,true,7542,5,1;1;100;
18,31,true,7542,3,1;100;
19,31,true,7542,3,100;
19,31,true,7542,5,100;
19,31,true,7542,3,1;100;
19,31,true,7542,6,4;100;
19,31,true,7542,2,100;
19,31,true,7542,2,100;
19,31,true,7542,4,1;100;
19,31,true,7542,6,2;1;100;
19,31,true,7542,3,1;100;
19,31,true,7542,5,3;100;
20,31,true,7542,14,1;4;2;100;
20,31,true,7542,3,100;
20,31,true,7542,5,2;100;
20,31,true,7542,3,100;
20,31,true,7542,4,1;100;
20,31,true,7542,4,100;
20,31,true,7542,7,5;100;
20,31,true,7542,1,100;
20,31,true,7542,2,100;
20,31,true,7542,10,3;2;100;
21,31,true,7542,4,2;100;
21,31,true,7542,9,1;3;100;
21,31,true,7542,5,1;1;100;
21,31,true,7542,5,3;100;
21,31,true,7542,5,1;100;
21,31,true,7542,5,1;100;
21,31,true,7542,3,100;
21,31,true,7542,7,2;2;100;
21,31,true,7542,7,3;100;
21,31,true,7542,4,2;100;
22,31,true,7542,2,100;
22,31,true,7542,6,1;100;
22,31,true,7542,2,100;
22,31,true,7542,6,1;1;100;
22,31,true,7542,2,100;
22,31,true,7542,6,3;100;
22,31,true,7542,3,100;
22,31,true,7542,3,100;
22,31,true,7542,3,100;
22,31,true,7542,3,1;100;
23,31,true,7542,1,100;
23,31,true,7542,8,1;2;100;
23,31,true,7542,5,1;100;
23,31,true,7542,4,1;100;
23,31,true,7542,4,1;100;
23,31,true,7542,1,100;
23,31,true,7542,4,1;100;
23,31,true,7542,5,3;100;
23,31,true,7542,6,4;100;
23,31,true,7542,1,100;
24,31,true,7542,4,1;100;
24,31,true,7542,3,100;
24,31,true,7542,10,1;1;4;100;
24,31,true,7542,7,2;100;
24,31,true,7542,5,3;100;
24,31,true,7542,7,1;100;
24,31,true,7542,6,2;100;
24,31,true,7542,4,100;
24,31,true,7542,6,2;1;100;
24,31,true,7542,7,2;1;100;
25,31,true,7542,5,1;100;
25,31,true,7542,6,3;100;
25,31,true,7542,5,1;100;
25,31,true,7542,12,1;7;100;
25,31,true,7542,6,4;100;
25,31,true,7542,1,100;
25,31,true,7542,5,3;100;
25,31,true,7542,12,1;2;4;100;
25,31,true,7542,5,1;100;
25,31,true,7542,5,1;1;100;
26,31,true,7542,8,1;1;1;100;
26,31,true,7542,4,1;100;
26,31,true,7542,5,1;100;
26,31,true,7542,3,100;
26,31,true,7542,5,2;100;
26,31,true,7542,9,1;2;100;
26,31,true,7542,8,1;4;100;
26,31,true,7542,8,4;100;
26,31,true,7542,6,1;100;
26,31,true,7542,7,1;1;1;100;
27,31,true,7542,3,100;
27,31,true,7542,10,7;100;
27,31,true,7542,6,3;100;
27,31,true,7542,6,3;100;
27,31,true,7542,8,1;4;100;
27,31,true,7542,4,1;100;
27,31,true,7542,3,1;100;
27,31,true,7542,4,2;100;
27,31,true,7542,8,2;1;100;
27,31,true,7542,2,100;
28,31,true,7542,7,1;3;100;
28,31,true,7542,5,2;100;
28,31,true,7542,5,1;100;
28,31,true,7542,4,2;100;
28,31,true,7542,5,2;100;
28,31,true,7542,7,1;1;100;
28,31,true,7542,6,2;1;100;
28,31,true,7542,7,2;100;
28,31,true,7542,4,1;100;
28,31,true,7542,3,100;
29,31,true,7542,2,100;
29,31,true,7542,11,2;6;100;
29,31,true,7542,6,2;100;
29,31,true,7542,5,1;100;
29,31,true,7542,3,100;
29,31,true,7542,6,1;100;
29,31,true,7542,3,100;
29,31,true,7542,4,1;100;
29,31,true,7542,1,100;
29,31,true,7542,6,2;1;100;
30,31,true,7542,7,3;100;
30,31,true,7542,8,1;1;1;100;
30,31,true,7542,5,1;100;
30,31,true,7542,8,1;3;100;
30,31,true,7542,7,4;100;
30,31,true,7542,1,100;
30,31,true,7542,5,3;100;
30,31,true,7542,8,5;100;
30,31,true,7542,7,1;100;
30,31,true,7542,10,7;100;
31,31,true,7542,6,4;100;
31,31,true,7542,7,5;100;
31,31,true,7542,5,3;100;
31,31,true,7542,4,1;100;
31,31,true,7542,5,3;100;
31,31,true,7542,5,1;100;
31,31,true,7542,6,4;100;
31,31,true,7542,6,1;1;100;
31,31,true,7542,6,1;1;100;
31,31,true,7542,4,2;100;
32,31,true,7542,5,2;100;
32,31,true,7542,4,100;
32,31,true,7542,9,2;3;100;
32,31,true,7542,7,5;100;
32,31,true,7542,2,100;
32,31,true,7542,1,100;
32,31,true,7542,8,1;2;100;
32,31,true,7542,6,1;1;100;
32,31,true,7542,11,4;2;100;
32,31,true,7542,7,1;1;100;
33,31,true,7542,4,100;
33,31,true,7542,3,1;100;
33,31,true,7542,1,100;
33,31,true,7542,11,7;100;
33,31,true,7542,8,1;2;1;100;
33,31,true,7542,3,1;100;
33,31,true,7542,7,1;1;100;
33,31,true,7542,5,3;100;
33,31,true,7542,1,100;
33,31,true,7542,4,2;100;
34,31,true,7542,7,5;100;
34,31,true,7542,3,100;
34,31,true,7542,5,1;1;100;
34,31,true,7542,6,1;100;
34,31,true,7542,8,1;1;1;100;
34,31,true,7542,4,2;100;
34,31,true,7542,8,2;1;1;100;
34,31,true,7542,3,1;100;
34,31,true,7542,6,2;100;
34,31,true,7542,8,1;2;100;
35,31,true,7542,5,1;100;
35,31,true,7542,4,2;100;
35,31,true,7542,5,1;100;
35,31,true,7542,6,1;2;100;
35,31,true,7542,7,2;2;100;
35,31,true,7542,3,1;100;
35,31,true,7542,5,1;1;100;
35,31,true,7542,5,1;100;
35,31,true,7542,10,1;4;100;
35,31,true,7542,5,2;100;
36,31,true,7542,10,8;100;
36,31,true,7542,4,2;100;
36,31,true,7542,4,1;100;
36,31,true,7542,3,100;
36,31,true,7542,2,100;
36,31,true,7542,4,100;
36,31,true,7542,3,1;100;
36,31,true,7542,5,1;1;100;
36,31,true,7542,5,100;
36,31,true,7542,7,1;100;
37,31,true,7542,10,2;5;100;
37,31,true,7542,1,100;
37,31,true,7542,5,1;100;
37,31,true,7542,6,4;100;
37,31,true,7542,13,7;3;100;
37,31,true,7542,7,4;100;
37,31,true,7542,6,100;
37,31,true,7542,8,4;1;100;
37,31,true,7542,5,1;100;
37,31,true,7542,9,7;100;
38,31,true,7542,5,1;1;100;
38,31,true,7542,3,100;
38,31,true,7542,3,1;100;
38,31,true,7542,7,3;1;100;
38,31,true,7542,4,1;100;
38,31,true,7542,6,2;100;
38,31,true,7542,6,1;1;100;
38,31,true,7542,8,3;100;
38,31,true,7542,4,100;
38,31,true,7542,5,2;100;
39,31,true,7542,7,1;1;1;100;
39,31,true,7542,5,1;100;
39,31,true,7542,4,1;100;
39,31,true,7542,8,5;100;
39,31,true,7542,3,100;
39,31,true,7542,8,2;2;100;
39,31,true,7542,2,100;
39,31,true,7542,7,1;2;100;
39,31,true,7542,3,100;
39,31,true,7542,5,1;100;
40,31,true,7542,6,1;1;100;
40,31,true,7542,6,1;1;100;
40,31,true,7542,4,1;100;
40,31,true,7542,9,5;100;
40,31,true,7542,7,100;
40,31,true,7542,9,2;3;100;
40,31,true,7542,4,2;100;
40,31,true,7542,9,1;2;2;100;
40,31,true,7542,2,100;
40,31,true,7542,5,2;100;
