NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,121,false,44201,53,2;5;2;23;9;100;
15,121,false,44757,150,5;5;6;13;11;95;100;
15,121,false,44635,147,1;2;17;42;70;100;
15,121,false,44383,219,2;18;6;10;2;11;34;39;64;15;100;
15,121,false,44971,93,10;7;29;15;6;8;3;100;
15,121,false,44450,110,1;2;5;27;6;37;16;100;
15,121,false,45124,74,2;11;5;4;38;100;
15,121,false,44976,87,1;1;7;19;46;100;
15,121,false,44853,124,1;3;3;9;36;21;37;100;
15,121,false,44862,207,1;1;4;14;5;38;75;5;47;100;
16,121,false,44879,46,1;4;3;1;1;11;8;100;
16,121,false,45016,142,11;11;26;5;21;49;4;100;
16,121,false,44673,131,1;1;3;2;3;4;19;7;5;60;8;100;
16,121,false,44950,25,1;11;1;100;
16,121,false,43945,267,2;2;4;10;15;21;7;35;29;5;14;65;5;32;100;
16,121,false,44680,152,2;1;6;3;46;2;29;44;100;
16,121,false,44394,124,1;4;1;1;8;32;38;23;100;
16,121,false,44555,49,1;1;4;31;100;
16,121,false,44917,193,9;21;56;46;46;100;
16,121,false,44150,109,1;1;1;3;6;4;42;17;4;14;100;
17,121,false,44782,76,1;2;4;5;11;18;14;3;1;100;
17,121,false,44779,43,1;1;3;25;100;
17,121,false,44438,127,1;14;8;23;2;47;13;100;
17,121,false,44526,189,1;3;15;84;70;100;
17,121,false,44624,277,2;1;32;54;21;82;6;62;100;
17,121,false,45563,98,8;6;10;4;14;40;100;
17,121,false,45339,48,2;1;8;25;100;
17,121,false,45461,59,2;3;9;1;8;20;100;
17,121,false,44823,141,3;2;5;66;50;100;
17,121,false,45103,60,1;1;1;4;42;100;
18,121,false,45230,24,1;1;3;3;100;
18,121,false,44706,135,1;9;17;11;18;65;100;
18,121,false,44745,184,1;3;1;2;12;56;1;18;13;16;42;100;
18,121,false,44633,302,2;1;97;80;96;12;100;
18,121,false,45028,42,7;19;3;100;
18,121,false,45017,245,1;1;5;99;31;72;19;100;
18,121,false,44376,127,7;2;9;8;23;19;39;3;100;
18,121,false,44659,131,1;3;3;1;13;48;19;28;100;
18,121,false,44327,160,1;2;13;1;55;46;17;8;100;
18,121,false,44516,182,2;1;3;93;69;100;
19,121,false,44114,144,5;10;3;15;55;42;100;
19,121,false,44985,80,1;2;6;21;36;100;
19,121,false,44354,187,3;2;27;55;88;100;
19,121,false,44980,194,2;2;3;28;28;68;48;100;
19,121,false,44316,103,1;1;26;10;13;39;100;
19,121,false,44820,135,3;3;6;12;28;44;24;100;
19,121,false,44480,100,1;1;12;13;18;41;100;
19,121,false,44634,81,1;2;11;1;6;8;32;3;100;
19,121,false,44973,63,1;1;2;1;6;36;100;
19,121,false,44394,106,1;1;48;15;27;100;
20,121,false,44223,211,1;1;1;15;9;32;39;92;5;100;
20,121,false,45030,211,1;5;15;33;55;63;23;100;
20,121,false,44582,65,1;4;1;3;27;10;5;100;
20,121,false,44777,38,6;2;6;10;100;
20,121,false,44165,20,1;1;2;6;100;
20,121,false,44368,97,1;1;8;5;2;3;2;9;8;38;100;
20,121,false,44485,245,1;1;6;1;42;4;24;4;72;29;43;100;
20,121,false,44332,220,1;2;1;1;25;7;93;34;41;100;
20,121,false,44906,80,1;1;4;7;3;51;100;
20,121,false,45183,55,1;1;2;8;7;2;18;100;
21,121,false,44254,308,1;1;25;4;1;69;75;78;35;100;
21,121,false,44571,145,2;3;5;10;2;1;84;20;100;
21,121,false,44818,232,1;3;15;31;8;11;19;4;40;81;100;
21,121,false,44806,75,2;4;6;4;35;5;4;100;
21,121,false,44955,113,5;3;5;2;44;40;100;
21,121,false,45072,50,1;5;31;100;
21,121,false,44180,94,6;7;67;100;
21,121,false,44895,269,1;5;8;5;79;64;92;100;
21,121,false,44680,124,1;21;92;100;
21,121,false,44650,168,1;13;7;7;50;2;70;100;
22,121,false,45279,44,2;1;2;5;3;18;100;
22,121,false,44123,170,4;2;22;2;8;62;37;18;100;
22,121,false,44162,50,16;3;9;7;100;
22,121,false,44359,111,1;1;1;2;7;5;5;74;100;
22,121,false,44881,95,1;1;20;34;10;14;100;
22,121,false,44543,109,1;12;9;66;7;100;
22,121,false,44336,50,1;4;1;2;2;5;8;5;4;100;
22,121,false,44609,91,1;1;3;4;39;26;100;
22,121,false,44595,103,1;2;1;9;13;13;3;47;100;
22,121,false,44592,138,3;1;9;9;5;39;58;100;
23,121,false,44625,82,3;4;10;28;24;100;
23,121,false,44734,46,3;5;6;1;16;100;
23,121,false,45285,17,1;1;3;100;
23,121,false,44938,127,2;6;25;81;100;
23,121,false,44130,158,2;2;3;6;48;82;100;
23,121,false,44661,42,2;5;23;100;
23,121,false,44204,21,2;8;100;
