NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,121,true,41206,53,2;4;12;27;100;
15,121,true,41338,110,2;1;99;100;
15,121,true,41220,54,1;2;46;100;
15,121,true,41106,180,1;10;12;9;9;1;61;13;50;100;
15,121,true,41247,48,3;5;35;100;
15,121,true,41160,126,1;16;47;29;24;100;
15,121,true,41060,85,2;10;28;14;23;100;
15,121,true,41214,85,3;9;9;2;19;36;100;
15,121,true,41246,22,1;2;4;6;3;100;
15,121,true,41319,71,1;62;100;
16,121,true,41139,18,6;7;100;
16,121,true,41279,165,1;2;5;6;13;49;5;19;24;29;100;
16,121,true,41156,36,1;3;1;1;4;18;100;
16,121,true,41327,153,1;2;14;6;49;3;67;100;
16,121,true,41346,133,1;5;1;4;20;26;65;100;
16,121,true,41208,27,1;2;2;15;100;
16,121,true,41074,280,5;24;60;95;89;100;
16,121,true,41190,63,1;4;38;13;100;
16,121,true,41380,52,1;2;4;39;100;
16,121,true,41094,81,3;9;1;30;10;18;100;
17,121,true,41138,249,3;32;28;96;54;27;100;
17,121,true,41168,51,1;2;1;29;12;100;
17,121,true,41206,39,3;1;3;2;15;6;100;
17,121,true,41258,177,1;3;6;27;30;48;52;100;
17,121,true,41260,24,3;3;13;100;
17,121,true,41089,149,1;1;9;64;67;100;
17,121,true,41219,55,1;1;4;8;28;4;100;
17,121,true,41242,126,2;4;79;33;100;
17,121,true,41169,29,2;1;19;100;
17,121,true,41127,11,2;3;100;
18,121,true,41304,15,1;8;100;
18,121,true,41105,147,1;5;4;2;7;3;8;64;39;100;
18,121,true,41030,202,1;10;1;1;28;63;62;27;100;
18,121,true,40962,24,1;4;13;100;
18,121,true,41276,40,3;9;19;100;
18,121,true,41239,59,3;2;30;17;100;
18,121,true,41066,294,15;3;34;89;62;79;100;
18,121,true,41276,103,1;2;2;8;10;23;48;100;
18,121,true,41007,223,2;4;1;13;4;13;65;24;87;100;
18,121,true,41059,120,1;5;8;2;23;9;34;13;11;100;
19,121,true,41182,63,3;3;1;50;100;
19,121,true,41160,109,4;17;84;100;
19,121,true,41127,137,3;3;18;11;96;100;
19,121,true,41189,13,1;1;2;2;100;
19,121,true,41316,92,2;84;100;
19,121,true,41243,56,51;100;
19,121,true,40990,45,4;2;7;24;100;
19,121,true,41270,128,51;72;100;
19,121,true,41285,127,5;1;1;5;3;3;59;7;33;100;
19,121,true,41124,52,1;8;2;33;100;
20,121,true,41195,72,40;28;100;
20,121,true,40959,24,7;13;100;
20,121,true,41017,35,2;14;11;100;
20,121,true,41267,41,5;7;18;5;100;
20,121,true,41294,72,2;2;3;1;19;33;100;
