NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,8715,55,2;2;7;4;31;100;
15,1,false,9059,33,1;2;1;23;100;
15,1,false,8795,106,2;2;1;6;6;7;68;100;
15,1,false,8784,171,2;1;1;9;57;14;63;12;100;
15,1,false,9487,20,1;10;3;100;
15,1,false,9021,131,5;10;9;5;15;36;22;20;100;
15,1,false,8699,54,3;1;14;4;1;17;1;100;
15,1,false,8902,102,1;15;65;7;4;100;
15,1,false,8747,94,2;1;18;27;31;4;1;100;
15,1,false,8665,39,1;4;4;21;1;100;
15,2,false,8595,19,3;10;100;
15,2,false,8152,123,4;23;1;3;16;14;11;3;38;100;
15,2,false,7994,214,1;4;12;1;60;39;21;20;43;100;
15,2,false,8774,121,1;1;1;81;19;3;5;100;
15,2,false,8221,6,2;100;
15,2,false,8242,45,4;8;1;11;14;100;
15,2,false,7876,134,1;48;7;6;7;55;100;
15,2,false,8402,20,2;1;6;3;100;
15,2,false,8489,18,2;11;100;
15,2,false,8295,161,3;1;4;2;1;2;7;17;9;24;4;14;33;1;21;100;
15,3,false,7675,74,1;1;3;2;43;13;100;
15,3,false,8012,142,1;7;4;14;36;51;19;100;
15,3,false,8093,144,1;1;3;2;47;18;43;17;100;
15,3,false,8196,50,1;2;1;7;4;23;100;
15,3,false,8419,135,1;5;56;1;4;29;31;100;
15,3,false,7800,97,3;1;6;9;8;2;17;35;2;100;
15,3,false,8201,69,1;8;2;3;34;11;100;
15,3,false,7997,69,2;3;3;1;19;8;15;6;100;
15,3,false,8222,395,1;1;17;9;87;2;49;43;95;76;1;100;
15,3,false,8218,56,1;12;31;100;
15,4,false,8266,9,1;1;100;
15,4,false,8012,24,2;1;1;12;1;100;
15,4,false,8326,17,1;4;100;
15,4,false,8114,106,1;4;1;12;24;8;1;42;100;
15,4,false,7977,133,1;1;14;58;46;100;
15,4,false,8059,144,1;13;1;6;58;55;100;
15,4,false,7790,299,1;1;8;23;24;88;68;9;65;100;
15,4,false,8073,131,3;4;5;9;12;87;100;
15,4,false,8106,51,1;3;35;100;
15,4,false,7769,32,1;2;1;18;100;
15,5,false,8050,82,1;1;3;13;33;18;1;100;
15,5,false,7742,108,3;1;2;6;18;47;10;3;5;100;
15,5,false,8256,21,6;8;100;
15,5,false,8247,77,2;4;3;6;30;24;100;
15,5,false,8066,8,1;1;1;100;
15,5,false,8059,48,1;2;1;2;33;100;
15,5,false,8171,149,1;2;2;3;2;29;99;100;
15,5,false,8185,11,1;1;2;100;
15,5,false,7962,15,1;1;3;1;100;
15,5,false,7791,172,3;23;7;11;34;41;22;16;100;
15,6,false,8039,75,3;6;8;1;15;13;13;4;100;
15,6,false,7707,107,1;3;5;87;100;
15,6,false,7985,48,1;1;3;3;7;9;4;6;100;
15,6,false,7944,47,4;2;36;100;
15,6,false,7735,324,1;19;2;79;71;61;12;38;25;100;
15,6,false,8136,32,2;4;18;100;
15,6,false,7887,7,2;2;100;
15,6,false,7896,89,1;1;1;1;5;21;4;42;100;
15,6,false,8226,13,1;1;4;100;
15,6,false,8182,95,2;3;1;22;59;100;
15,7,false,7908,212,2;1;5;7;3;2;14;37;14;72;43;100;
15,7,false,7828,96,1;1;3;82;100;
15,7,false,7960,82,2;2;33;36;100;
15,7,false,7663,31,1;7;15;1;100;
15,7,false,8032,14,1;1;2;2;100;
15,7,false,7905,12,1;3;100;
15,7,false,7679,17,1;1;1;1;4;1;100;
15,7,false,7767,24,3;1;12;100;
15,7,false,7801,28,1;2;1;15;100;
15,7,false,8043,108,2;3;76;6;2;4;5;100;
15,8,false,7875,27,2;1;1;16;100;
15,8,false,7548,22,1;2;3;1;1;7;100;
15,8,false,7890,285,2;1;22;1;46;53;49;80;18;100;
15,8,false,8085,79,1;1;1;1;2;8;55;100;
15,8,false,7859,193,1;1;2;9;22;63;82;100;
15,8,false,7627,128,1;4;1;28;6;75;100;
15,8,false,7877,19,1;7;2;100;
15,8,false,7706,147,1;6;4;31;77;17;100;
15,8,false,8046,62,1;2;3;12;34;100;
15,8,false,7870,78,1;3;2;6;29;24;100;
15,9,false,7786,60,1;2;1;6;36;6;100;
15,9,false,7786,120,1;10;5;3;51;38;100;
15,9,false,7780,71,3;2;1;55;100;
15,9,false,7927,127,1;3;69;1;11;33;100;
15,9,false,7684,83,2;2;4;14;4;2;31;12;100;
15,9,false,7662,330,1;9;5;79;17;35;30;58;82;100;
15,9,false,7854,68,3;2;28;19;1;4;100;
15,9,false,7547,163,3;3;2;12;76;55;100;
15,9,false,7857,11,1;2;1;100;
15,9,false,8287,21,1;1;5;5;100;
15,10,false,8041,63,1;1;3;1;45;100;
15,10,false,7870,26,1;8;4;4;100;
15,10,false,7784,111,1;1;2;2;12;5;18;7;53;100;
15,10,false,7751,24,1;13;100;
15,10,false,8166,107,1;5;93;100;
15,10,false,8224,91,1;83;100;
15,10,false,7930,57,1;2;4;41;100;
15,10,false,7985,92,1;1;1;7;8;46;16;100;
15,10,false,7854,57,2;1;2;4;16;23;100;
15,10,false,8088,22,1;1;15;100;
15,11,false,7742,43,3;1;1;23;8;100;
15,11,false,7939,59,1;4;17;2;26;100;
15,11,false,7675,79,1;1;11;2;10;12;11;8;9;100;
15,11,false,7848,11,1;2;2;100;
15,11,false,7825,22,1;4;8;100;
15,11,false,7872,211,2;1;6;55;51;86;100;
15,11,false,8102,57,1;1;1;2;24;19;100;
15,11,false,7860,126,1;2;3;60;49;100;
15,11,false,7851,80,1;1;2;10;10;4;30;9;100;
15,11,false,7899,16,1;3;5;100;
15,12,false,7866,121,1;2;7;39;35;24;100;
15,12,false,7822,35,1;9;11;5;100;
15,12,false,7786,111,2;11;90;100;
15,12,false,7663,59,2;2;2;11;7;23;100;
15,12,false,7675,69,4;1;5;49;100;
15,12,false,7690,79,1;1;8;3;14;31;10;100;
15,12,false,7783,14,2;3;100;
15,12,false,7912,13,1;2;2;100;
15,12,false,7985,29,1;1;1;6;5;6;100;
15,12,false,8040,142,1;27;60;45;100;
15,13,false,7791,46,1;14;21;100;
15,13,false,8020,68,1;55;100;
15,13,false,7783,46,2;1;5;28;100;
15,13,false,7865,174,1;2;1;10;76;74;100;
15,13,false,7675,83,1;1;1;4;68;100;
15,13,false,7987,121,1;2;1;3;3;4;94;4;100;
15,13,false,8005,61,1;1;1;2;35;13;100;
15,13,false,7864,28,1;4;2;10;1;100;
15,13,false,8035,26,1;1;4;2;8;100;
15,13,false,7680,161,1;1;2;2;2;20;13;13;93;100;
15,14,false,8045,12,1;3;1;100;
15,14,false,7892,23,1;1;14;100;
15,14,false,7680,31,1;1;13;5;1;100;
15,14,false,7865,64,1;12;2;8;1;4;26;100;
15,14,false,7675,30,1;2;22;100;
15,14,false,7679,130,2;1;1;3;6;7;98;100;
15,14,false,7675,85,1;9;50;16;100;
15,14,false,8218,32,4;9;3;8;100;
15,14,false,7915,83,1;4;1;12;56;100;
15,14,false,7748,42,2;12;1;3;7;6;100;
15,15,false,7897,90,1;1;6;1;16;1;20;3;28;100;
15,15,false,7855,77,3;69;100;
15,15,false,7675,57,1;1;3;3;17;23;100;
15,15,false,7663,61,2;1;2;36;9;100;
15,15,false,7847,26,1;1;1;1;12;100;
15,15,false,7786,60,2;5;3;37;100;
15,15,false,7674,201,1;1;32;10;1;22;95;26;100;
15,15,false,7813,146,1;4;9;95;25;100;
15,15,false,7702,112,1;5;2;19;7;8;15;43;100;
15,15,false,7707,53,1;1;4;1;27;9;100;
15,16,false,7785,100,2;2;7;23;1;55;100;
15,16,false,7874,61,3;7;22;19;100;
15,16,false,8040,170,1;1;2;1;54;99;100;
15,16,false,7925,179,4;1;7;72;24;61;100;
15,16,false,7867,16,1;2;6;100;
15,16,false,7786,42,3;3;26;100;
15,16,false,8003,94,2;1;1;3;3;3;57;11;100;
15,16,false,7814,40,3;8;1;19;1;100;
15,16,false,7679,147,25;5;25;3;77;100;
15,16,false,7749,38,1;1;16;12;100;
15,17,false,7820,28,2;6;6;6;100;
15,17,false,7875,98,1;1;7;21;61;100;
15,17,false,7785,40,1;1;1;2;1;25;100;
15,17,false,7869,57,1;1;1;8;32;2;100;
15,17,false,7896,107,1;1;1;29;64;100;
15,17,false,7885,42,4;27;1;100;
15,17,false,7672,103,1;2;1;6;25;43;8;5;100;
15,17,false,7918,81,1;1;2;27;5;33;100;
15,17,false,8016,11,1;1;3;100;
15,17,false,8069,34,1;1;1;13;9;100;
15,18,false,7707,150,2;2;59;29;14;31;100;
15,18,false,7870,113,1;6;2;6;74;12;100;
15,18,false,7865,20,1;1;10;100;
15,18,false,7680,75,5;5;19;4;9;20;100;
15,18,false,7942,14,1;3;4;100;
15,18,false,7786,17,1;4;2;1;1;100;
15,18,false,7780,172,1;1;4;9;13;4;3;2;7;14;6;34;53;100;
15,18,false,7702,90,2;1;1;12;66;100;
15,18,false,7785,174,1;2;52;34;74;100;
15,18,false,7898,64,2;1;4;50;100;
15,19,false,7679,48,2;19;17;100;
15,19,false,7674,59,1;1;6;43;100;
15,19,false,7679,31,1;2;1;6;10;3;100;
15,19,false,7985,108,3;2;2;3;53;18;13;100;
15,19,false,7786,117,1;70;40;100;
15,19,false,7785,72,5;2;2;12;10;23;5;100;
15,19,false,7697,42,12;4;12;5;100;
15,19,false,7779,94,1;1;2;1;77;4;100;
15,19,false,7976,38,2;2;27;100;
15,19,false,7845,35,1;1;6;20;100;
15,20,false,7679,168,1;1;5;1;7;32;29;4;75;100;
15,20,false,7658,264,1;1;25;53;99;75;100;
15,20,false,7808,295,1;2;40;83;20;30;50;34;21;100;
15,20,false,7734,194,1;1;1;46;24;21;3;40;44;100;
15,20,false,7675,44,2;11;23;100;
15,20,false,7992,21,1;3;7;3;100;
15,20,false,7698,65,1;1;21;1;9;14;7;100;
15,20,false,7918,65,2;1;1;1;33;7;5;100;
15,20,false,7870,175,1;4;9;8;12;30;27;31;36;100;
15,20,false,7924,13,2;3;2;100;
15,21,false,7680,131,1;2;1;3;4;2;9;38;60;100;
15,21,false,7786,108,1;1;1;49;8;38;100;
15,21,false,7701,80,2;3;5;11;20;27;100;
15,21,false,7831,38,1;2;9;14;2;1;100;
15,21,false,7675,106,5;21;2;69;100;
15,21,false,7791,52,2;2;4;5;1;7;8;7;100;
15,21,false,7865,205,2;2;4;46;64;78;100;
15,21,false,7800,20,2;3;1;7;100;
15,21,false,7829,97,2;2;3;29;9;3;38;100;
15,21,false,7753,69,1;2;7;50;100;
15,22,false,7785,64,11;45;100;
15,22,false,7663,161,1;2;51;39;57;100;
15,22,false,7698,53,2;5;4;7;11;13;100;
15,22,false,7758,38,1;4;6;1;10;8;100;
15,22,false,7818,53,1;1;9;33;100;
15,22,false,7663,133,2;1;1;1;29;88;100;
15,22,false,7675,133,1;2;7;23;14;75;100;
15,22,false,7741,32,1;1;4;1;1;1;6;5;100;
15,22,false,7812,17,1;1;6;100;
15,22,false,7836,39,2;1;16;12;100;
15,23,false,7679,190,3;14;85;2;11;4;59;100;
15,23,false,7749,69,1;2;2;2;9;16;3;22;100;
15,23,false,7627,32,7;13;100;
15,23,false,7771,64,1;1;53;100;
15,23,false,7707,84,1;1;5;27;36;100;
15,23,false,7658,109,1;1;3;9;4;32;49;100;
15,23,false,7753,61,1;2;9;10;4;24;100;
15,23,false,7731,11,1;3;1;100;
15,23,false,7680,37,1;1;2;23;100;
15,23,false,7710,10,1;100;
15,24,false,7662,145,1;3;1;20;20;90;100;
15,24,false,7786,85,1;2;1;73;100;
15,24,false,7779,102,2;6;1;2;84;100;
15,24,false,7759,360,1;1;9;15;32;23;60;61;81;10;41;8;100;
15,24,false,7674,41,1;1;10;2;16;100;
15,24,false,7885,28,2;5;10;100;
15,24,false,7939,22,11;2;100;
15,24,false,7875,101,1;1;1;1;26;49;10;100;
15,24,false,7756,20,1;2;10;100;
15,24,false,7889,52,1;2;8;33;100;
15,25,false,7880,160,1;3;1;3;17;44;42;34;100;
15,25,false,7704,100,1;1;1;9;7;5;66;100;
15,25,false,7679,39,1;6;1;23;100;
15,25,false,7923,87,1;1;5;69;100;
15,25,false,7861,8,3;2;100;
15,25,false,7680,21,1;1;13;100;
15,25,false,7969,79,1;1;13;2;53;100;
15,25,false,7898,15,1;2;4;100;
15,25,false,7870,265,2;2;11;49;80;12;96;100;
15,25,false,7790,15,1;1;5;100;
15,26,false,7680,40,5;10;6;1;9;100;
15,26,false,7675,74,1;1;12;23;23;3;100;
