NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,7542,56,3;8;8;31;100;
15,1,true,7542,102,4;15;74;100;
15,1,true,7542,39,1;34;100;
15,1,true,7542,50,2;4;40;100;
15,1,true,7542,44,5;2;12;13;1;2;100;
15,1,true,7542,48,44;100;
15,1,true,7542,19,1;6;3;3;100;
15,1,true,7542,49,1;3;21;19;100;
15,1,true,7542,59,8;26;7;2;8;100;
15,1,true,7542,32,5;3;4;1;10;1;100;
15,2,true,7542,31,2;12;13;100;
15,2,true,7542,105,2;7;17;72;100;
15,2,true,7542,3,100;
15,2,true,7542,7,1;1;100;
15,2,true,7542,31,3;9;7;5;100;
15,2,true,7542,6,3;100;
15,2,true,7542,23,9;5;5;100;
15,2,true,7542,7,1;2;100;
15,2,true,7542,25,3;12;4;100;
15,2,true,7542,25,2;2;1;1;11;100;
15,3,true,7542,15,1;3;5;100;
15,3,true,7542,28,1;15;1;2;100;
15,3,true,7542,5,100;
15,3,true,7542,5,2;100;
15,3,true,7542,13,1;2;3;100;
15,3,true,7542,6,1;1;100;
15,3,true,7542,5,2;100;
15,3,true,7542,22,6;1;7;1;100;
15,3,true,7542,9,1;2;1;100;
15,3,true,7542,4,1;100;
15,4,true,7542,5,3;100;
15,4,true,7542,11,1;4;2;100;
15,4,true,7542,13,1;3;2;2;100;
15,4,true,7542,4,2;100;
15,4,true,7542,28,4;16;4;100;
15,4,true,7542,10,5;1;100;
15,4,true,7542,24,12;2;1;2;1;100;
15,4,true,7542,9,5;1;100;
15,4,true,7542,11,9;100;
15,4,true,7542,7,3;100;
15,5,true,7542,13,2;3;1;100;
15,5,true,7542,3,100;
15,5,true,7542,22,4;2;5;4;100;
15,5,true,7542,14,2;8;100;
15,5,true,7542,10,5;100;
15,5,true,7542,25,2;13;6;100;
15,5,true,7542,24,1;4;1;10;100;
15,5,true,7542,7,4;100;
15,5,true,7542,8,1;2;100;
15,5,true,7542,8,2;2;100;
15,6,true,7542,27,1;15;3;100;
15,6,true,7542,14,1;1;1;100;
15,6,true,7542,7,5;100;
15,6,true,7542,13,2;2;4;100;
15,6,true,7542,11,2;3;1;100;
15,6,true,7542,10,2;3;100;
15,6,true,7542,20,1;8;3;1;100;
15,6,true,7542,15,1;2;5;2;100;
15,6,true,7542,12,3;3;100;
15,6,true,7542,8,3;1;100;
15,7,true,7542,19,1;3;11;100;
15,7,true,7542,1,100;
15,7,true,7542,12,3;2;3;100;
15,7,true,7542,13,5;2;1;100;
15,7,true,7542,7,1;2;100;
15,7,true,7542,22,4;9;5;100;
15,7,true,7542,10,2;3;100;
15,7,true,7542,15,3;3;2;2;100;
15,7,true,7542,11,1;6;100;
15,7,true,7542,4,1;100;
15,8,true,7542,3,1;100;
15,8,true,7542,17,2;8;100;
15,8,true,7542,3,1;100;
15,8,true,7542,6,2;100;
15,8,true,7542,16,14;100;
15,8,true,7542,6,2;1;100;
15,8,true,7542,6,3;100;
15,8,true,7542,6,3;100;
15,8,true,7542,12,2;3;1;1;100;
15,8,true,7542,11,4;2;100;
15,9,true,7542,2,100;
15,9,true,7542,4,100;
15,9,true,7542,11,5;100;
15,9,true,7542,13,10;100;
15,9,true,7542,12,7;1;100;
15,9,true,7542,9,1;3;100;
15,9,true,7542,3,1;100;
15,9,true,7542,13,3;5;1;100;
15,9,true,7542,9,7;100;
15,9,true,7542,2,100;
15,10,true,7542,7,4;100;
15,10,true,7542,8,3;1;100;
15,10,true,7542,11,1;7;100;
15,10,true,7542,7,2;100;
15,10,true,7542,9,2;2;100;
15,10,true,7542,6,4;100;
15,10,true,7542,5,2;100;
15,10,true,7542,13,2;1;6;100;
15,10,true,7542,5,1;1;100;
15,10,true,7542,9,3;1;100;
15,11,true,7542,11,3;1;2;100;
15,11,true,7542,23,1;8;1;4;2;100;
