NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,9705,135,1;2;2;1;2;8;40;14;53;100;
15,1,false,9894,83,1;4;3;66;100;
15,1,false,9431,220,7;3;3;14;16;13;2;34;17;17;6;70;100;
15,1,false,9319,91,2;3;2;2;4;70;100;
15,1,false,9287,81,15;4;8;7;22;2;14;100;
15,1,false,8674,14,5;1;1;100;
15,1,false,8968,129,1;7;6;19;35;12;39;100;
15,1,false,9495,132,1;1;7;1;10;1;58;23;16;2;100;
15,1,false,8614,111,5;6;12;81;100;
15,1,false,9349,47,2;8;22;10;100;
15,2,false,8920,57,10;8;30;2;100;
15,2,false,8570,186,7;15;6;75;23;27;18;100;
15,2,false,9657,62,1;1;2;3;3;16;25;100;
15,2,false,8623,67,1;1;1;1;18;36;100;
15,2,false,8529,43,1;5;1;8;2;6;5;100;
15,2,false,9782,46,4;4;1;5;26;100;
15,2,false,9068,37,7;1;7;7;2;5;100;
15,2,false,9166,47,1;1;2;1;10;22;100;
15,2,false,8809,21,2;1;1;1;2;3;100;
15,2,false,9304,40,2;2;2;23;100;
15,3,false,8666,127,1;1;1;3;1;3;6;2;97;100;
15,3,false,9011,49,4;7;4;1;26;100;
15,3,false,8468,38,1;5;23;1;100;
15,3,false,8806,53,1;9;6;3;1;4;16;100;
15,3,false,9016,46,5;4;21;10;100;
15,3,false,8334,24,2;5;2;1;1;3;100;
15,3,false,8661,187,2;5;1;4;67;11;34;49;100;
15,3,false,9108,38,6;1;3;19;100;
15,3,false,9221,150,1;7;2;3;1;9;17;1;3;94;100;
15,3,false,9680,22,6;2;2;3;1;100;
15,4,false,8565,26,3;1;1;10;100;
15,4,false,8789,100,1;1;6;1;4;3;9;9;3;51;100;
15,4,false,8839,99,2;5;2;8;3;57;11;100;
15,4,false,8824,29,8;2;7;7;100;
15,4,false,7791,65,3;4;17;28;1;100;
15,4,false,9164,86,11;1;1;68;100;
15,4,false,8026,112,5;15;61;16;2;100;
15,4,false,8721,11,2;4;100;
15,4,false,8101,40,1;4;6;2;1;5;11;100;
15,4,false,8972,40,5;3;13;1;11;100;
15,5,false,8772,80,1;5;1;5;23;30;5;100;
15,5,false,8651,55,3;4;1;3;15;7;2;9;100;
15,5,false,8209,74,7;4;7;2;44;100;
15,5,false,9026,151,7;4;35;6;90;100;
15,5,false,8406,28,7;1;2;11;100;
15,5,false,8817,53,7;6;33;100;
15,5,false,8341,33,6;1;2;5;1;7;100;
15,5,false,8600,96,6;46;21;14;100;
15,5,false,8506,92,1;6;1;11;18;46;100;
15,5,false,8362,68,1;3;1;1;52;100;
15,6,false,8445,18,1;4;1;1;100;
15,6,false,8525,85,6;3;20;47;100;
15,6,false,9649,22,5;2;1;4;100;
15,6,false,8842,40,4;2;1;1;14;2;5;100;
15,6,false,8663,91,2;5;5;12;3;53;100;
15,6,false,8500,80,1;3;1;25;2;5;32;100;
15,6,false,8879,12,3;3;100;
15,6,false,8450,135,9;2;99;20;100;
15,6,false,9289,34,8;1;8;11;100;
15,6,false,8964,114,10;14;6;51;26;100;
15,7,false,8295,93,7;10;18;3;42;100;
15,7,false,8503,234,4;3;1;1;1;4;29;33;4;3;1;82;50;100;
15,7,false,8233,16,4;2;3;100;
15,7,false,8025,36,2;5;2;2;1;12;2;100;
15,7,false,8086,55,6;5;2;16;11;100;
15,7,false,8215,22,2;1;1;6;1;100;
15,7,false,8506,29,2;5;6;3;4;1;100;
15,7,false,8669,17,3;2;4;100;
15,7,false,8305,21,8;1;7;100;
15,7,false,8554,22,1;1;2;1;1;4;1;100;
15,8,false,8063,55,2;1;3;1;36;100;
