NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,7596,43,2;1;4;9;19;100;
15,1,true,7618,26,1;2;4;2;10;100;
15,1,true,7542,57,8;46;100;
15,1,true,7618,44,4;1;3;10;16;1;100;
15,1,true,7596,19,2;1;2;1;6;100;
15,1,true,7618,20,4;13;100;
15,1,true,7542,63,2;1;4;2;1;17;27;100;
15,1,true,7542,41,1;6;1;4;22;100;
15,1,true,7542,2,100;
15,1,true,7618,80,11;46;9;8;100;
15,2,true,7542,11,1;4;1;100;
15,2,true,7542,60,2;1;2;48;100;
15,2,true,7542,71,3;6;54;100;
15,2,true,7618,82,2;6;29;16;20;100;
15,2,true,7542,14,1;4;1;100;
15,2,true,7542,66,7;51;1;1;100;
15,2,true,7542,13,1;7;100;
15,2,true,7618,26,4;15;100;
15,2,true,7618,35,33;100;
15,2,true,7618,10,3;4;100;
15,3,true,7618,4,100;
15,3,true,7542,15,4;4;3;100;
15,3,true,7542,16,2;6;4;100;
15,3,true,7542,12,4;1;1;100;
15,3,true,7618,11,2;3;100;
15,3,true,7542,13,9;1;100;
15,3,true,7678,13,3;3;1;100;
15,3,true,7542,88,9;11;3;60;100;
15,3,true,7542,11,8;100;
15,3,true,7542,11,1;6;100;
15,4,true,7542,10,1;6;100;
15,4,true,7542,11,2;3;1;100;
15,4,true,7542,11,5;2;100;
15,4,true,7618,88,2;1;3;76;100;
15,4,true,7542,10,1;5;100;
15,4,true,7618,12,4;2;100;
15,4,true,7542,11,5;1;100;
15,4,true,7542,12,1;6;100;
15,4,true,7542,11,3;3;100;
15,4,true,7542,13,1;6;100;
15,5,true,7542,1,100;
15,5,true,7542,12,4;3;1;100;
15,5,true,7542,12,4;3;100;
15,5,true,7542,13,2;6;100;
15,5,true,7542,1,100;
15,5,true,7542,36,2;2;1;1;1;19;100;
15,5,true,7542,12,2;6;100;
15,5,true,7542,13,1;5;100;
15,5,true,7618,9,6;100;
15,5,true,7542,11,6;100;
15,6,true,7542,11,5;2;100;
15,6,true,7542,9,1;1;2;100;
15,6,true,7618,10,8;100;
15,6,true,7542,11,9;100;
15,6,true,7542,12,8;100;
15,6,true,7542,15,1;5;1;1;100;
15,6,true,7542,11,3;2;2;100;
15,6,true,7542,24,2;5;12;100;
15,6,true,7542,14,7;2;100;
15,6,true,7542,16,8;4;100;
15,7,true,7542,10,1;1;2;100;
15,7,true,7542,12,4;3;100;
15,7,true,7542,13,8;1;100;
15,7,true,7542,73,7;61;100;
15,7,true,7542,12,8;100;
15,7,true,7542,11,7;1;100;
15,7,true,7542,10,8;100;
15,7,true,7542,11,2;5;100;
15,7,true,7542,12,8;100;
15,7,true,7542,11,1;5;100;
15,8,true,7542,10,8;100;
15,8,true,7542,10,1;4;100;
15,8,true,7542,13,1;5;1;100;
15,8,true,7542,12,5;2;100;
15,8,true,7542,10,4;2;100;
15,8,true,7542,10,6;100;
15,8,true,7542,1,100;
15,8,true,7542,10,7;100;
15,8,true,7542,12,2;5;100;
15,8,true,7542,16,4;1;2;4;100;
15,9,true,7542,12,7;100;
15,9,true,7542,9,6;100;
15,9,true,7542,11,1;1;2;100;
15,9,true,7542,11,2;2;1;100;
15,9,true,7542,11,2;3;1;100;
15,9,true,7542,8,1;3;100;
15,9,true,7542,9,2;4;100;
15,9,true,7542,13,5;100;
15,9,true,7542,11,6;1;100;
15,9,true,7542,11,5;100;
15,10,true,7542,11,7;100;
15,10,true,7542,7,5;100;
15,10,true,7542,10,1;5;100;
15,10,true,7542,11,2;3;100;
15,10,true,7542,21,2;3;1;10;100;
15,10,true,7542,12,1;5;100;
15,10,true,7542,10,3;3;100;
15,10,true,7542,10,7;100;
15,10,true,7542,11,7;100;
15,10,true,7542,11,1;2;2;100;
15,11,true,7542,2,100;
15,11,true,7542,10,3;1;1;100;
15,11,true,7542,11,1;6;100;
15,11,true,7542,10,3;4;100;
15,11,true,7542,6,3;100;
15,11,true,7542,4,1;100;
15,11,true,7542,12,4;100;
15,11,true,7542,1,100;
15,11,true,7542,10,1;2;1;100;
15,11,true,7542,8,4;1;100;
15,12,true,7542,10,8;100;
15,12,true,7542,11,5;1;100;
15,12,true,7542,11,7;100;
15,12,true,7542,11,1;1;4;100;
15,12,true,7542,10,8;100;
15,12,true,7542,11,9;100;
15,12,true,7542,10,8;100;
15,12,true,7542,11,8;100;
15,12,true,7542,11,1;3;3;100;
15,12,true,7542,10,1;6;100;
15,13,true,7542,11,2;5;100;
15,13,true,7542,10,8;100;
15,13,true,7542,10,1;5;100;
15,13,true,7542,10,7;100;
15,13,true,7542,13,7;100;
15,13,true,7542,12,2;3;100;
15,13,true,7542,11,6;100;
15,13,true,7542,11,1;6;100;
15,13,true,7542,11,5;1;100;
15,13,true,7542,10,8;100;
15,14,true,7542,11,2;4;100;
15,14,true,7542,10,3;2;100;
15,14,true,7542,11,2;2;2;100;
15,14,true,7542,12,9;100;
15,14,true,7542,12,8;100;
15,14,true,7542,12,4;2;100;
15,14,true,7542,10,2;3;100;
15,14,true,7542,11,1;1;3;100;
15,14,true,7542,9,1;4;100;
15,14,true,7542,10,1;6;100;
15,15,true,7542,10,1;6;100;
15,15,true,7542,11,5;1;100;
15,15,true,7542,10,6;100;
15,15,true,7542,12,7;100;
15,15,true,7542,11,5;2;100;
15,15,true,7542,6,2;100;
15,15,true,7542,10,2;2;1;100;
15,15,true,7542,11,7;100;
15,15,true,7542,12,8;100;
15,15,true,7542,11,5;2;100;
15,16,true,7542,12,7;100;
15,16,true,7542,8,1;4;100;
15,16,true,7542,10,1;3;2;100;
15,16,true,7542,11,1;6;100;
15,16,true,7542,10,5;1;100;
15,16,true,7542,13,7;1;100;
15,16,true,7542,9,1;3;100;
15,16,true,7542,12,1;8;100;
15,16,true,7542,4,1;100;
15,16,true,7542,11,4;3;100;
15,17,true,7542,9,1;1;1;100;
15,17,true,7542,11,1;1;4;100;
15,17,true,7542,21,2;16;100;
15,17,true,7542,12,8;100;
15,17,true,7542,10,2;1;2;100;
15,17,true,7542,10,7;100;
15,17,true,7542,10,3;3;100;
15,17,true,7542,10,3;4;100;
15,17,true,7542,11,3;3;100;
15,17,true,7542,11,6;100;
15,18,true,7542,1,100;
15,18,true,7542,1,100;
15,18,true,7542,10,6;100;
15,18,true,7542,11,7;100;
15,18,true,7542,10,7;100;
15,18,true,7542,11,4;2;100;
15,18,true,7542,10,2;4;100;
15,18,true,7542,12,2;3;1;100;
15,18,true,7542,6,3;100;
15,18,true,7542,11,9;100;
15,19,true,7542,12,6;2;100;
15,19,true,7542,1,100;
15,19,true,7542,11,5;1;1;100;
15,19,true,7542,6,4;100;
15,19,true,7542,11,7;100;
15,19,true,7542,10,6;100;
15,19,true,7542,11,8;100;
15,19,true,7542,11,8;100;
15,19,true,7542,4,1;100;
15,19,true,7542,10,4;3;100;
15,20,true,7542,10,1;3;2;100;
15,20,true,7542,11,3;3;100;
15,20,true,7542,11,8;100;
15,20,true,7542,12,6;1;100;
15,20,true,7542,3,100;
15,20,true,7542,10,4;2;100;
15,20,true,7542,3,1;100;
15,20,true,7542,9,3;2;100;
15,20,true,7542,10,2;4;100;
15,20,true,7542,13,8;100;
15,21,true,7542,4,2;100;
15,21,true,7542,10,7;100;
15,21,true,7542,11,4;3;100;
15,21,true,7542,10,3;1;1;100;
15,21,true,7542,11,8;100;
15,21,true,7542,11,7;100;
15,21,true,7542,10,7;100;
15,21,true,7542,11,1;5;100;
15,21,true,7542,10,7;100;
15,21,true,7542,11,8;100;
15,22,true,7542,8,1;3;100;
15,22,true,7542,10,8;100;
15,22,true,7542,10,1;2;1;100;
15,22,true,7542,12,2;3;100;
15,22,true,7542,11,7;100;
15,22,true,7542,11,4;1;1;100;
15,22,true,7542,9,5;100;
15,22,true,7542,10,1;4;100;
15,22,true,7542,11,9;100;
15,22,true,7542,2,100;
15,23,true,7542,8,5;100;
15,23,true,7542,11,7;100;
15,23,true,7542,10,8;100;
15,23,true,7542,5,1;1;100;
15,23,true,7542,12,3;2;100;
15,23,true,7542,10,2;5;100;
15,23,true,7542,10,3;3;100;
15,23,true,7542,2,100;
15,23,true,7542,10,6;100;
15,23,true,7542,10,5;100;
15,24,true,7542,8,6;100;
15,24,true,7542,11,4;1;2;100;
15,24,true,7542,11,2;3;100;
15,24,true,7542,9,7;100;
15,24,true,7542,10,4;3;100;
15,24,true,7542,10,4;3;100;
15,24,true,7542,8,4;100;
15,24,true,7542,10,7;100;
15,24,true,7542,1,100;
15,24,true,7542,11,3;1;1;100;
15,25,true,7542,8,5;100;
15,25,true,7542,11,7;100;
15,25,true,7542,11,5;2;100;
15,25,true,7542,10,3;4;100;
15,25,true,7542,10,2;3;100;
15,25,true,7542,10,2;4;100;
15,25,true,7542,10,6;100;
15,25,true,7542,11,7;100;
15,25,true,7542,11,7;1;100;
15,25,true,7542,10,1;1;2;100;
15,26,true,7542,10,3;4;100;
15,26,true,7542,10,7;100;
15,26,true,7542,10,1;2;100;
15,26,true,7542,10,1;5;100;
15,26,true,7542,8,2;1;1;100;
15,26,true,7542,6,1;1;100;
15,26,true,7542,4,2;100;
15,26,true,7542,11,6;1;100;
15,26,true,7542,10,7;100;
15,26,true,7542,10,1;2;3;100;
