NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,8510,35,1;1;9;1;12;100;
15,1,false,8219,169,4;1;7;50;68;19;8;100;
15,1,false,7883,138,1;6;12;15;16;12;15;4;23;23;100;
15,1,false,8148,113,1;9;22;74;100;
15,1,false,7844,93,4;1;2;6;10;12;9;22;4;11;100;
15,1,false,8478,118,2;1;2;1;1;2;7;5;5;7;72;100;
15,1,false,7716,167,4;13;4;1;22;28;9;1;2;69;100;
15,1,false,8287,155,1;8;5;4;80;27;21;100;
15,1,false,7935,108,1;2;1;1;5;1;19;7;4;20;4;13;15;100;
15,1,false,8302,261,2;4;4;48;49;22;94;2;12;11;100;
15,2,false,8066,94,1;5;8;12;12;12;29;4;100;
15,2,false,7698,199,3;4;1;16;23;12;5;6;90;2;23;100;
15,2,false,8025,244,1;2;2;8;12;2;11;15;98;81;100;
15,2,false,7654,203,2;1;4;3;7;2;2;3;1;11;71;72;8;100;
15,2,false,7820,364,3;1;1;1;9;57;81;9;1;93;9;2;20;8;23;27;100;
15,2,false,8075,142,1;5;3;6;1;18;5;54;23;7;7;100;
15,2,false,8225,168,1;2;7;3;8;21;2;13;1;11;83;100;
15,2,false,8199,111,1;9;64;3;27;100;
15,2,false,8527,73,6;1;4;11;4;1;5;23;5;100;
15,2,false,7968,334,2;8;6;3;94;20;9;14;61;25;78;100;
15,3,false,7777,179,3;4;3;2;4;1;2;16;3;9;7;26;8;22;21;29;100;
15,3,false,7663,368,1;3;6;3;4;9;25;25;9;89;3;15;69;87;100;
15,3,false,7728,108,3;2;2;2;26;4;25;10;18;100;
15,3,false,7866,164,2;2;1;6;4;1;2;5;2;65;6;23;27;100;
15,3,false,7995,142,1;8;6;58;1;19;25;14;100;
15,3,false,7547,409,2;2;5;1;10;22;8;78;71;63;96;27;9;100;
15,3,false,8421,57,2;1;1;9;5;15;4;7;100;
15,3,false,7886,309,1;1;3;1;4;13;1;9;15;8;5;5;77;65;82;100;
15,3,false,7553,202,1;2;3;17;7;2;13;3;7;2;17;12;89;2;4;1;100;
15,3,false,7686,229,1;2;7;3;20;27;69;87;100;
15,4,false,7663,154,7;4;7;7;2;13;5;27;15;17;9;27;100;
15,4,false,8327,59,11;2;5;1;10;22;100;
15,4,false,8110,301,2;3;12;1;6;7;69;27;84;79;100;
15,4,false,8028,142,1;1;4;7;9;87;21;100;
15,4,false,7761,245,1;4;5;5;1;25;5;1;27;29;3;91;23;5;100;
15,4,false,7543,294,2;2;3;2;2;10;7;26;84;28;84;26;100;
15,4,false,7904,68,1;6;7;3;8;6;18;3;6;100;
15,4,false,7983,418,2;2;7;13;5;14;82;8;87;93;92;100;
15,4,false,7663,237,3;3;1;5;1;1;1;8;17;4;3;81;5;70;17;100;
15,4,false,7848,122,2;9;9;4;16;7;7;12;4;14;1;20;100;
15,5,false,7836,228,2;4;6;1;2;6;3;3;8;1;11;8;4;83;68;100;
15,5,false,8137,108,1;1;5;5;89;100;
15,5,false,7658,210,2;11;4;7;59;4;79;10;20;100;
15,5,false,7939,155,3;5;3;9;4;13;4;9;24;69;100;
15,5,false,8018,52,1;1;7;3;4;23;100;
15,5,false,7919,273,1;13;1;5;9;13;19;99;3;98;100;
15,5,false,7604,347,6;1;10;5;9;8;2;6;1;5;7;7;9;4;87;78;1;82;100;
15,5,false,7657,239,1;1;2;5;6;3;84;5;96;20;100;
15,5,false,8043,36,8;9;8;3;100;
15,5,false,8052,149,1;1;2;3;5;16;55;29;23;1;100;
15,6,false,7799,226,1;3;5;11;1;7;49;23;75;4;26;6;100;
15,6,false,8016,106,4;1;4;16;5;3;3;2;2;16;3;4;1;25;100;
15,6,false,7547,209,1;1;7;11;3;4;1;9;73;84;1;100;
15,6,false,7658,190,2;1;23;6;2;53;93;100;
15,6,false,7819,193,2;1;3;1;8;14;8;19;5;8;29;25;19;10;23;100;
15,6,false,7987,70,1;3;2;7;3;7;22;5;6;2;100;
15,6,false,7565,154,1;1;5;4;7;13;10;25;6;70;100;
15,6,false,7964,115,8;2;2;19;6;2;2;61;100;
15,6,false,7751,148,4;6;2;26;4;70;10;9;6;100;
15,6,false,7706,259,1;1;1;1;2;1;5;8;2;6;14;75;22;12;5;83;100;
15,7,false,7704,227,1;2;2;5;1;17;65;58;65;100;
15,7,false,7567,390,1;1;3;2;17;14;15;8;96;10;65;14;29;76;5;14;100;
15,7,false,7736,234,1;2;2;13;13;1;16;64;17;70;20;100;
15,7,false,7621,323,1;2;1;5;20;12;92;85;60;24;7;100;
15,7,false,7662,207,2;5;7;7;4;15;63;94;100;
15,7,false,7890,96,2;1;7;7;3;2;4;6;23;2;5;19;100;
15,7,false,7669,198,1;3;5;6;1;5;2;4;8;63;66;20;100;
15,7,false,7542,239,1;2;14;7;11;2;4;7;2;16;21;99;6;29;100;
15,7,false,7660,135,1;4;3;13;9;6;3;4;7;2;17;25;23;100;
15,7,false,7758,339,1;2;8;7;14;8;57;62;81;75;8;100;
15,8,false,7662,217,4;2;3;11;93;73;20;100;
15,8,false,7943,68,1;3;5;5;8;8;15;13;100;
15,8,false,7542,478,1;7;2;2;5;7;1;4;5;8;13;28;64;86;17;16;86;95;4;100;
15,8,false,7542,421,4;5;1;1;6;4;11;1;5;19;25;29;2;12;84;26;77;89;100;
15,8,false,7860,207,1;4;5;5;8;2;2;8;74;2;16;5;29;15;12;100;
