NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,7840,215,2;1;5;6;28;11;16;9;47;79;100;
15,1,false,8479,201,2;1;9;15;19;53;36;56;100;
15,1,false,8423,108,5;2;1;6;3;4;17;7;22;14;13;100;
15,1,false,8016,191,2;17;4;5;3;9;3;12;97;16;8;100;
15,1,false,7720,195,1;3;11;11;5;11;2;26;6;7;6;91;100;
15,1,false,8406,201,11;1;1;22;3;13;1;31;23;83;100;
15,1,false,7917,209,4;28;5;11;32;19;17;9;57;13;100;
15,1,false,7973,306,2;5;4;3;4;5;1;6;8;1;22;15;88;6;19;98;100;
15,1,false,7647,214,1;1;1;2;10;3;4;3;21;1;6;11;7;61;44;18;100;
15,1,false,7626,118,1;9;18;2;8;1;4;7;22;32;100;
15,2,false,7689,163,2;2;2;1;6;3;6;7;9;5;6;4;19;2;26;41;100;
15,2,false,7812,138,11;3;1;13;6;10;9;74;100;
15,2,false,7685,78,1;2;1;1;2;3;10;4;5;24;13;100;
15,2,false,7852,85,1;1;5;1;5;2;4;4;9;8;12;17;100;
15,2,false,7663,105,1;3;3;5;4;1;10;3;10;16;2;33;100;
15,2,false,7786,163,3;7;12;8;3;70;6;40;3;100;
15,2,false,7740,304,9;13;6;4;17;33;40;8;5;8;64;60;22;100;
15,2,false,7958,77,1;15;7;2;4;9;30;100;
15,2,false,7686,92,3;3;13;14;6;26;15;100;
15,2,false,7662,262,1;1;3;9;13;3;2;21;48;39;36;38;31;100;
15,3,false,8212,46,8;2;2;3;3;7;6;100;
15,3,false,7658,111,1;2;2;1;1;1;5;5;4;4;2;7;1;6;6;21;23;100;
15,3,false,7636,200,4;4;4;2;7;4;2;1;8;1;4;2;3;7;34;4;11;12;49;13;100;
15,3,false,7903,177,1;5;10;9;7;12;6;28;13;74;100;
15,3,false,7657,76,4;10;1;8;6;23;15;100;
15,3,false,7716,122,3;7;1;13;4;12;4;29;36;100;
15,3,false,7816,57,10;8;3;2;18;4;3;100;
15,3,false,7968,215,2;4;1;3;1;2;5;8;3;7;16;34;47;63;100;
15,3,false,8102,84,1;2;3;7;6;2;9;6;33;100;
15,3,false,7689,117,3;4;8;2;20;4;7;21;12;4;14;100;
15,4,false,7622,169,5;2;2;1;2;4;5;6;2;1;6;8;6;28;11;3;40;17;100;
15,4,false,8126,135,2;4;3;3;10;5;2;12;48;34;100;
15,4,false,7570,265,6;5;3;3;5;4;3;6;12;1;46;87;68;100;
15,4,false,7701,121,4;2;2;7;2;3;1;5;4;1;23;25;27;100;
15,4,false,7663,153,1;7;3;7;1;3;1;4;5;4;20;30;13;22;14;100;
15,4,false,7764,51,10;1;3;7;5;3;3;8;100;
15,4,false,7802,140,5;9;11;32;17;14;43;100;
15,4,false,7663,92,1;8;12;1;1;11;34;9;100;
15,4,false,7968,114,1;4;3;10;1;7;4;11;36;25;100;
15,4,false,7637,344,2;1;3;11;3;9;7;48;5;9;54;87;7;82;100;
