NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,7542,31,1;23;3;100;
15,1,true,7542,4,100;
15,1,true,7542,44,16;8;13;1;100;
15,1,true,7542,48,15;22;4;2;100;
15,1,true,7542,31,5;14;7;100;
15,1,true,7542,41,5;5;8;14;1;100;
15,1,true,7542,38,17;2;4;10;100;
15,1,true,7542,74,7;20;8;16;17;100;
15,1,true,7542,25,2;2;2;14;100;
15,1,true,7542,37,6;7;7;2;9;100;
15,2,true,7542,44,2;17;14;1;3;100;
15,2,true,7542,20,11;4;100;
15,2,true,7542,30,4;3;4;9;4;100;
15,2,true,7542,51,5;3;4;1;25;4;1;100;
15,2,true,7542,33,2;27;100;
15,2,true,7542,46,1;35;6;100;
15,2,true,7542,36,3;1;27;100;
15,2,true,7542,50,6;11;6;9;11;100;
15,2,true,7542,33,5;8;12;2;100;
15,2,true,7542,16,5;1;6;100;
15,3,true,7542,42,6;13;16;100;
15,3,true,7542,33,3;9;10;5;100;
15,3,true,7542,29,2;2;3;1;12;100;
15,3,true,7542,31,9;11;4;100;
15,3,true,7542,39,1;6;1;1;22;100;
15,3,true,7542,3,1;100;
15,3,true,7542,34,5;7;18;100;
15,3,true,7542,44,1;5;11;10;9;100;
15,3,true,7542,15,4;1;2;3;100;
15,3,true,7542,28,2;12;2;6;100;
15,4,true,7542,26,24;100;
15,4,true,7542,35,1;5;2;10;10;100;
15,4,true,7542,19,1;1;4;1;6;100;
15,4,true,7542,44,41;100;
15,4,true,7542,25,3;18;100;
15,4,true,7542,33,11;5;5;6;100;
15,4,true,7542,15,4;4;100;
15,4,true,7542,28,1;9;13;100;
15,4,true,7542,23,2;1;4;11;100;
15,4,true,7542,30,1;1;7;4;1;8;100;
15,5,true,7542,47,1;1;2;7;21;7;100;
15,5,true,7542,13,11;100;
15,5,true,7542,21,2;2;13;100;
15,5,true,7542,19,1;1;7;1;100;
15,5,true,7542,19,5;6;3;100;
15,5,true,7542,8,4;100;
15,5,true,7542,27,17;5;100;
15,5,true,7542,1,100;
15,5,true,7542,18,1;3;1;1;5;100;
15,5,true,7542,26,5;2;15;100;
15,6,true,7542,4,1;100;
15,6,true,7542,26,4;4;14;100;
15,6,true,7542,15,5;7;100;
15,6,true,7542,14,3;5;1;100;
15,6,true,7542,33,3;26;100;
15,6,true,7542,8,4;100;
15,6,true,7542,5,1;100;
15,6,true,7542,9,3;2;100;
15,6,true,7542,18,1;4;1;3;100;
15,6,true,7542,9,1;2;100;
15,7,true,7542,4,100;
15,7,true,7542,19,2;1;5;5;100;
15,7,true,7542,16,1;1;5;3;100;
15,7,true,7542,29,8;6;10;100;
15,7,true,7542,20,4;1;10;100;
15,7,true,7542,29,1;12;11;100;
15,7,true,7542,18,1;14;100;
15,7,true,7542,6,3;100;
15,7,true,7542,23,3;15;100;
15,7,true,7542,16,5;8;100;
15,8,true,7542,13,1;1;5;100;
15,8,true,7542,4,1;100;
15,8,true,7542,13,1;3;1;100;
15,8,true,7542,22,3;4;3;6;100;
15,8,true,7542,24,10;2;7;100;
15,8,true,7542,14,4;7;100;
15,8,true,7542,11,5;100;
15,8,true,7542,13,2;7;100;
15,8,true,7542,27,4;1;3;3;10;100;
15,8,true,7542,6,2;100;
15,9,true,7542,22,1;9;5;100;
15,9,true,7542,21,2;15;100;
15,9,true,7542,12,3;3;100;
15,9,true,7542,20,6;9;100;
15,9,true,7542,23,2;2;15;100;
15,9,true,7542,14,4;5;100;
15,9,true,7542,3,100;
15,9,true,7542,19,2;3;4;4;100;
15,9,true,7542,13,2;7;100;
15,9,true,7542,17,14;100;
15,10,true,7542,12,8;100;
15,10,true,7542,14,1;4;4;100;
15,10,true,7542,6,1;2;100;
15,10,true,7542,19,7;9;100;
15,10,true,7542,5,1;1;100;
15,10,true,7542,17,1;3;7;100;
15,10,true,7542,13,1;3;2;2;100;
15,10,true,7542,16,1;8;3;100;
15,10,true,7542,20,2;4;8;100;
15,10,true,7542,13,4;6;100;
15,11,true,7542,18,3;8;100;
15,11,true,7542,21,3;1;5;6;100;
15,11,true,7542,9,1;5;100;
15,11,true,7542,13,1;8;100;
15,11,true,7542,27,3;3;9;3;2;100;
15,11,true,7542,16,6;1;4;100;
15,11,true,7542,15,2;10;100;
15,11,true,7542,17,3;4;3;2;100;
15,11,true,7542,17,7;2;1;100;
15,11,true,7542,17,1;1;8;1;100;
15,12,true,7542,9,4;2;100;
15,12,true,7542,7,1;2;100;
15,12,true,7542,12,2;4;100;
15,12,true,7542,9,6;100;
15,12,true,7542,6,1;2;100;
15,12,true,7542,1,100;
15,12,true,7542,11,1;2;4;100;
15,12,true,7542,22,2;4;4;5;100;
15,12,true,7542,3,100;
15,12,true,7542,14,3;2;5;100;
15,13,true,7542,6,2;100;
15,13,true,7542,7,4;100;
15,13,true,7542,13,6;1;2;100;
15,13,true,7542,13,2;8;100;
15,13,true,7542,3,100;
15,13,true,7542,18,1;10;3;100;
15,13,true,7542,18,1;2;6;100;
15,13,true,7542,9,1;5;100;
15,13,true,7542,16,5;8;100;
15,13,true,7542,20,14;100;
15,14,true,7542,8,4;1;100;
15,14,true,7542,18,1;11;2;100;
15,14,true,7542,14,2;7;100;
15,14,true,7542,12,7;100;
15,14,true,7542,15,1;1;4;1;100;
15,14,true,7542,12,4;4;100;
15,14,true,7542,23,1;5;4;5;100;
15,14,true,7542,15,1;10;100;
15,14,true,7542,17,1;6;6;100;
15,14,true,7542,4,2;100;
15,15,true,7542,7,5;100;
15,15,true,7542,18,3;11;100;
15,15,true,7542,12,5;3;100;
15,15,true,7542,15,9;3;100;
15,15,true,7542,18,1;11;1;100;
15,15,true,7542,7,1;1;100;
15,15,true,7542,16,6;2;3;100;
15,15,true,7542,14,9;100;
15,15,true,7542,6,3;100;
15,15,true,7542,9,6;100;
15,16,true,7542,16,4;9;100;
15,16,true,7542,5,1;1;100;
15,16,true,7542,17,1;4;3;3;100;
15,16,true,7542,10,1;3;1;100;
15,16,true,7542,14,4;2;2;100;
15,16,true,7542,13,1;2;4;100;
15,16,true,7542,10,7;100;
15,16,true,7542,4,2;100;
15,16,true,7542,12,2;7;100;
15,16,true,7542,15,2;7;100;
15,17,true,7542,5,1;1;100;
15,17,true,7542,10,8;100;
15,17,true,7542,13,4;1;4;100;
15,17,true,7542,12,1;3;4;100;
15,17,true,7542,17,1;1;1;4;1;1;100;
15,17,true,7542,13,8;100;
15,17,true,7542,18,5;2;6;100;
15,17,true,7542,18,1;2;2;6;100;
15,17,true,7542,5,2;100;
15,17,true,7542,16,2;3;5;100;
15,18,true,7542,19,5;11;100;
15,18,true,7542,16,1;1;1;6;1;100;
15,18,true,7542,4,2;100;
15,18,true,7542,13,1;2;2;100;
15,18,true,7542,1,100;
