NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,28125092,31,1;2;1;10;5;100;
15,1,false,26395494,21,1;1;1;4;2;2;100;
15,1,false,27146906,20,1;11;100;
15,1,false,27778210,14,1;1;1;2;100;
15,1,false,27206226,99,1;1;36;48;100;
15,1,false,27660862,23,1;1;12;100;
15,1,false,28016418,20,1;1;2;6;100;
15,1,false,26950705,45,1;1;12;5;18;100;
15,1,false,27192993,12,2;2;100;
15,1,false,27430753,24,1;6;8;100;
15,21,false,23740962,18,8;100;
15,21,false,24455986,14,5;100;
15,21,false,24393411,12,1;100;
15,21,false,24573404,9,100;
15,21,false,24052143,11,2;100;
15,21,false,24180470,11,1;1;100;
15,21,false,24450006,14,1;2;100;
15,21,false,24421753,14,1;3;100;
15,21,false,23791238,11,100;
15,21,false,24497687,13,100;
15,41,false,24191638,19,1;4;100;
15,41,false,23733572,11,100;
15,41,false,24510746,15,1;3;100;
15,41,false,23914915,10,100;
15,41,false,24034873,10,100;
15,41,false,23576566,19,1;8;100;
15,41,false,23931381,12,1;1;100;
15,41,false,23877938,11,100;
15,41,false,24128024,9,100;
15,41,false,24362291,12,1;1;100;
15,61,false,23665041,9,100;
15,61,false,24061218,12,1;100;
15,61,false,23655745,13,2;100;
15,61,false,23954198,16,1;4;100;
15,61,false,24020379,10,1;100;
15,61,false,23513711,13,3;100;
15,61,false,23924158,11,1;100;
15,61,false,24125477,66,3;52;100;
15,61,false,24043527,16,3;2;100;
15,61,false,23977381,14,2;1;100;
15,81,false,23722530,17,4;100;
15,81,false,23382030,10,100;
15,81,false,23874696,13,4;100;
15,81,false,23351280,13,1;100;
15,81,false,23527801,10,100;
15,81,false,23901715,10,100;
15,81,false,23531978,14,1;100;
15,81,false,23262810,15,1;1;100;
15,81,false,24000932,23,7;5;100;
15,81,false,23834202,14,3;100;
15,101,false,23676969,12,1;1;100;
15,101,false,23592451,11,100;
15,101,false,23516175,13,3;100;
15,101,false,23911860,29,3;16;100;
15,101,false,23457978,14,3;100;
15,101,false,23548398,12,1;100;
15,101,false,23677830,12,100;
15,101,false,23834511,13,1;1;100;
15,101,false,23450302,12,1;100;
15,101,false,23411148,68,1;1;55;100;
15,121,false,23324152,111,98;100;
15,121,false,23590213,13,1;100;
15,121,false,23707849,14,3;100;
15,121,false,23683992,12,1;100;
15,121,false,23543009,11,1;100;
15,121,false,23617684,12,1;1;100;
15,121,false,23613931,11,1;100;
15,121,false,23640088,15,2;100;
15,121,false,23490354,45,34;100;
15,121,false,22899024,12,100;
15,141,false,23489380,12,1;100;
15,141,false,23674880,16,5;100;
15,141,false,23555102,94,82;100;
15,141,false,23337398,13,2;100;
15,141,false,23725910,12,100;
15,141,false,23828068,10,100;
15,141,false,23321583,10,100;
15,141,false,23540208,12,1;1;100;
15,141,false,23334970,13,3;100;
15,141,false,23290032,10,100;
15,161,false,23712553,14,3;100;
15,161,false,23206083,9,1;100;
15,161,false,23549190,13,1;100;
15,161,false,23546281,23,12;100;
15,161,false,23289164,158,1;67;75;100;
15,161,false,22887671,11,1;100;
15,161,false,23448110,167,2;5;76;71;100;
15,161,false,23240368,28,4;11;100;
15,161,false,23476848,13,2;100;
15,161,false,23408167,20,1;7;100;
15,181,false,23304870,41,1;1;28;100;
15,181,false,23403037,14,3;100;
15,181,false,23458393,11,100;
15,181,false,23301258,10,100;
15,181,false,23310427,16,1;4;100;
15,181,false,23521463,49,38;100;
15,181,false,23514039,98,2;2;82;100;
15,181,false,23033475,24,11;100;
15,181,false,23223071,10,100;
15,181,false,23405736,11,100;
15,201,false,23375185,10,100;
15,201,false,23471876,11,100;
15,201,false,23413397,13,2;100;
15,201,false,23561416,14,1;1;1;100;
15,201,false,23470348,10,100;
15,201,false,23274371,17,5;100;
15,201,false,23561587,51,7;33;100;
15,201,false,23468084,19,1;7;100;
15,201,false,23552033,95,5;77;100;
15,201,false,23416126,11,100;
15,221,false,23044153,11,100;
15,221,false,23097277,119,1;25;80;100;
15,221,false,23249505,11,100;
15,221,false,23109445,115,9;95;100;
15,221,false,23064619,9,100;
15,221,false,23054450,10,100;
15,221,false,23382378,76,2;62;100;
15,221,false,23332290,13,1;100;
15,221,false,23150637,10,1;100;
15,221,false,22947994,11,2;100;
15,241,false,23334821,44,1;31;100;
15,241,false,23295835,13,2;100;
15,241,false,23035598,62,1;1;47;100;
15,241,false,23200270,23,10;100;
15,241,false,23102760,12,1;100;
15,241,false,23082087,26,1;14;100;
15,241,false,23396382,39,1;26;100;
15,241,false,23275194,15,2;2;100;
15,241,false,23111099,10,100;
15,241,false,23416493,13,4;100;
15,261,false,23019654,14,1;2;100;
15,261,false,23108440,13,1;1;100;
15,261,false,23102151,51,1;37;100;
15,261,false,23028367,34,1;22;100;
15,261,false,23300210,10,100;
15,261,false,23153671,14,1;100;
15,261,false,23125206,25,1;11;100;
15,261,false,23242342,95,1;5;79;100;
15,261,false,23262315,72,1;23;36;100;
15,261,false,22998270,58,49;100;
15,281,false,22955273,15,1;2;100;
15,281,false,23308726,13,100;
15,281,false,22640757,19,2;5;100;
15,281,false,23295143,13,1;100;
15,281,false,23289586,29,1;1;13;100;
15,281,false,23115825,160,1;1;5;78;63;100;
15,281,false,23252056,58,2;43;100;
15,281,false,23178203,11,1;100;
15,281,false,23219628,9,100;
15,281,false,23037872,107,2;2;9;80;100;
15,301,false,23047641,14,1;1;100;
15,301,false,23101482,133,57;15;47;100;
15,301,false,23159158,15,2;100;
15,301,false,22947853,32,2;17;100;
15,301,false,22945235,96,1;9;73;100;
15,301,false,23252801,10,100;
15,301,false,23312273,118,18;88;100;
15,301,false,23221857,16,3;100;
15,301,false,22867388,55,27;15;100;
15,301,false,23078591,128,1;24;87;100;
15,321,false,22959652,101,1;17;9;60;100;
15,321,false,23206842,11,100;
15,321,false,22915656,89,3;5;2;64;100;
15,321,false,23149254,29,1;18;100;
15,321,false,23085934,37,1;1;22;100;
15,321,false,23161754,14,2;100;
15,321,false,22887264,16,1;3;100;
15,321,false,22865603,26,13;100;
15,321,false,23077082,44,33;100;
15,321,false,23396330,11,100;
15,341,false,22815287,110,2;95;100;
15,341,false,23017933,71,61;100;
15,341,false,23153541,13,1;100;
15,341,false,22834955,17,1;5;100;
15,341,false,22985767,12,100;
15,341,false,22905497,26,1;10;2;100;
15,341,false,22989854,18,6;100;
15,341,false,23244851,49,6;1;14;14;100;
15,341,false,23003141,20,1;6;100;
15,341,false,23259896,65,1;1;50;100;
15,361,false,22811888,114,5;48;48;100;
15,361,false,22919102,15,1;2;100;
15,361,false,22813959,133,87;18;14;100;
15,361,false,23246574,66,12;39;100;
15,361,false,23015143,17,1;5;100;
15,361,false,23023580,115,23;29;49;100;
15,361,false,23164966,85,18;19;33;100;
15,361,false,23141442,153,2;70;67;100;
15,361,false,23258149,19,8;100;
15,361,false,22921818,12,100;
15,381,false,22958963,51,1;18;11;5;100;
15,381,false,23160622,14,100;
15,381,false,23124399,11,100;
15,381,false,22596382,79,67;100;
15,381,false,22533752,152,1;6;33;98;100;
15,381,false,23002046,74,1;1;1;6;53;100;
15,381,false,23075562,12,2;100;
15,381,false,23167873,18,4;2;100;
15,381,false,22738390,215,1;42;29;35;94;100;
15,381,false,22742624,66,18;36;100;
15,401,false,22639102,144,11;22;85;13;100;
15,401,false,23100892,12,100;
15,401,false,22870011,23,11;100;
15,401,false,23153380,102,59;31;100;
15,401,false,23147962,14,2;100;
15,401,false,23177855,122,60;48;100;
15,401,false,23190668,16,1;1;2;100;
15,401,false,23074648,10,100;
15,401,false,23128685,146,35;6;92;100;
15,401,false,23033851,43,3;25;100;
15,421,false,22637594,23,1;10;100;
15,421,false,23099448,79,49;16;100;
15,421,false,22972888,38,1;5;19;100;
15,421,false,22913086,106,6;1;8;76;100;
15,421,false,22969920,14,2;2;100;
15,421,false,22869078,156,3;28;61;45;4;100;
15,421,false,23019797,76,1;62;100;
15,421,false,22893065,107,52;41;100;
15,421,false,22918338,153,3;7;80;50;100;
15,421,false,22998245,12,1;1;100;
15,441,false,22827490,70,1;57;100;
15,441,false,22908519,18,1;4;1;100;
15,441,false,22746196,15,3;100;
15,441,false,22971910,23,1;10;100;
15,441,false,22841507,92,23;30;23;100;
15,441,false,23113423,13,3;100;
15,441,false,22985585,31,1;2;2;3;8;100;
15,441,false,23051926,48,3;10;23;100;
15,441,false,23125034,25,1;11;100;
15,441,false,23050409,67,3;9;15;26;100;
15,461,false,22673079,66,54;100;
15,461,false,23139205,9,100;
15,461,false,22975373,18,1;1;5;100;
15,461,false,22883398,101,1;88;100;
15,461,false,22783836,76,2;63;100;
15,461,false,22939191,64,3;8;11;27;100;
15,461,false,22761571,48,2;2;3;8;17;100;
15,461,false,23007640,18,5;100;
15,461,false,23240657,14,1;1;100;
15,461,false,23047370,38,2;23;100;
15,481,false,23143725,117,1;24;55;23;100;
15,481,false,22921398,58,3;42;100;
15,481,false,22848661,14,1;1;100;
15,481,false,22722923,167,1;4;65;84;100;
15,481,false,22773435,191,28;61;17;48;19;100;
15,481,false,22904442,13,1;100;
15,481,false,22836679,29,1;5;10;100;
15,481,false,22767633,212,2;1;12;9;20;53;97;100;
15,481,false,22670854,14,3;100;
15,481,false,22605894,196,5;86;90;100;
15,501,false,22903106,179,4;6;1;39;46;20;27;14;2;100;
15,501,false,22584112,27,3;12;100;
15,501,false,22736730,121,25;56;24;100;
15,501,false,22615281,113,8;92;100;
15,501,false,22624572,150,8;67;5;56;100;
15,501,false,22844744,202,70;8;39;71;100;
15,501,false,22947991,56,1;2;41;100;
