NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,20826420,15,2;8;100;
15,1,true,21182651,49,3;2;2;2;3;28;100;
15,1,true,21223716,14,1;1;1;2;100;
15,1,true,20923370,16,1;1;1;6;100;
15,1,true,21816407,23,3;1;9;4;100;
15,1,true,21326301,44,1;18;20;100;
15,1,true,21350913,24,2;4;10;100;
15,1,true,21208205,47,2;6;24;6;100;
15,1,true,21451718,34,1;3;25;100;
15,1,true,21209266,26,1;2;16;100;
15,21,true,20728891,7,100;
15,21,true,20893941,10,1;1;1;100;
15,21,true,21025614,11,4;2;100;
15,21,true,20592873,9,1;2;100;
15,21,true,20538635,9,1;2;100;
15,21,true,20612490,8,1;1;1;100;
15,21,true,20661672,12,1;2;3;100;
15,21,true,20866326,9,100;
15,21,true,21049147,10,1;3;100;
15,21,true,21127168,6,2;100;
15,41,true,20809364,8,1;1;100;
15,41,true,20779666,11,1;1;1;100;
15,41,true,20822246,13,1;3;1;100;
15,41,true,20810870,9,1;100;
15,41,true,20436732,6,2;100;
15,41,true,20569903,12,1;1;4;100;
15,41,true,20896657,6,2;100;
15,41,true,20431823,9,1;1;1;100;
15,41,true,20722110,9,2;1;1;100;
15,41,true,20822998,11,1;1;1;1;100;
15,61,true,20500977,10,1;100;
15,61,true,20593075,8,1;1;100;
15,61,true,20421663,13,1;1;1;4;100;
15,61,true,20624575,7,1;100;
15,61,true,20618558,11,1;1;2;100;
15,61,true,20768669,6,100;
15,61,true,20808388,10,2;100;
15,61,true,20627031,9,1;1;100;
15,61,true,20866278,11,1;4;100;
15,61,true,20605434,11,2;100;
15,81,true,20351592,12,1;4;100;
15,81,true,20579846,9,2;100;
15,81,true,20643271,10,1;1;100;
15,81,true,20726453,8,2;2;100;
15,81,true,20725869,7,2;100;
15,81,true,20932656,10,2;100;
15,81,true,20695450,16,1;1;5;100;
15,81,true,20608300,7,1;1;100;
15,81,true,20438935,15,1;1;1;3;100;
15,81,true,20690184,10,1;1;2;100;
15,101,true,20532780,13,5;100;
15,101,true,20692928,8,1;100;
15,101,true,20482727,8,1;1;100;
15,101,true,20662389,13,1;2;4;100;
15,101,true,20824203,9,2;100;
15,101,true,20575681,11,1;2;100;
15,101,true,20599730,18,1;9;100;
15,101,true,20643800,8,1;100;
15,101,true,20388968,9,1;100;
