NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,65688,74,1;10;34;13;8;100;
15,1,false,65592,125,1;4;85;27;100;
15,1,false,63990,124,3;1;1;4;34;19;3;19;3;14;8;100;
15,1,false,67429,14,2;3;100;
15,1,false,62413,50,1;1;2;12;11;5;1;1;2;100;
15,1,false,67666,114,2;3;3;9;79;4;100;
15,1,false,65319,165,1;1;15;6;48;83;100;
15,1,false,68733,13,2;1;1;1;1;100;
15,1,false,64778,173,2;2;14;1;86;55;100;
15,1,false,67675,174,2;2;6;37;26;4;85;100;
15,6,false,61100,81,1;1;3;5;21;39;100;
15,6,false,60863,190,1;1;31;5;2;23;21;86;4;100;
15,6,false,60750,175,2;1;3;29;40;14;17;57;100;
15,6,false,60149,159,27;11;1;3;26;16;47;1;13;100;
15,6,false,59536,101,2;2;1;4;2;1;77;100;
15,6,false,60413,154,1;1;1;16;20;96;9;100;
15,6,false,64067,11,1;1;100;
15,6,false,59477,126,1;1;3;10;10;69;15;100;
15,6,false,59577,156,1;10;6;19;10;9;48;39;100;
15,6,false,57867,288,1;1;3;6;6;31;9;23;40;91;61;100;
15,11,false,59096,36,1;2;18;3;2;100;
15,11,false,60259,197,1;1;2;12;34;31;66;35;100;
15,11,false,58403,233,1;1;1;4;39;2;11;14;76;18;51;100;
15,11,false,59955,83,1;2;1;21;49;100;
15,11,false,59144,174,3;1;1;5;28;87;19;13;100;
15,11,false,63269,33,1;24;100;
15,11,false,60535,187,1;1;1;1;3;13;14;60;30;45;5;100;
15,11,false,63494,35,1;3;1;19;100;
15,11,false,59109,101,1;1;1;71;3;11;100;
15,11,false,60356,131,6;7;1;43;41;19;100;
15,16,false,61249,117,1;6;2;19;20;56;100;
15,16,false,58780,190,4;21;18;84;51;100;
15,16,false,60110,120,1;2;4;1;8;1;78;8;1;100;
15,16,false,58075,156,2;78;5;25;36;100;
15,16,false,61786,175,1;49;23;90;100;
15,16,false,60439,301,1;1;1;2;5;8;28;76;20;40;82;18;100;
15,16,false,59964,67,1;2;1;6;6;28;7;2;100;
15,16,false,62967,13,1;2;2;100;
15,16,false,60583,61,8;42;100;
15,16,false,60164,76,1;15;50;100;
15,21,false,62182,51,1;1;17;8;12;100;
15,21,false,62610,27,2;10;6;100;
15,21,false,59627,177,2;12;48;26;12;62;100;
15,21,false,58994,197,1;2;21;24;49;43;6;35;100;
15,21,false,57853,395,1;1;29;2;9;15;38;89;12;91;90;100;
15,21,false,61170,134,1;12;43;44;10;11;100;
15,21,false,60321,175,2;5;18;46;91;100;
15,21,false,58842,159,3;6;9;86;22;4;15;100;
15,21,false,60647,174,13;37;67;28;13;100;
15,21,false,60183,89,36;4;24;12;100;
15,26,false,62066,55,1;28;16;100;
15,26,false,57116,353,1;2;15;3;17;59;56;42;65;3;66;8;100;
15,26,false,62222,59,10;7;31;100;
15,26,false,57623,56,47;100;
15,26,false,60591,271,3;6;19;55;46;73;54;100;
15,26,false,62060,170,1;1;46;16;95;100;
15,26,false,58832,196,1;1;1;1;14;6;84;49;17;6;100;
15,26,false,59178,371,1;1;3;1;17;14;65;99;51;18;3;43;37;100;
15,26,false,58320,313,32;7;86;76;17;49;32;100;
15,26,false,59123,47,4;5;25;100;
15,31,false,62388,24,2;13;100;
15,31,false,58824,128,1;1;17;53;3;3;2;2;19;9;100;
15,31,false,58066,103,3;1;7;14;64;100;
15,31,false,62386,14,1;1;2;100;
