NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,53964,138,1;4;2;8;28;87;100;
15,1,true,53812,30,1;8;2;8;5;100;
15,1,true,53659,78,1;6;5;15;44;100;
15,1,true,53754,52,2;2;2;1;36;100;
15,1,true,53596,84,7;7;10;54;100;
15,1,true,54512,55,8;5;36;100;
15,1,true,53819,59,1;6;7;6;23;7;100;
15,1,true,53493,91,4;15;55;9;100;
15,1,true,53736,119,1;1;1;14;25;70;100;
15,1,true,54146,100,3;10;1;17;8;7;44;100;
15,6,true,53814,90,6;5;72;100;
15,6,true,53446,86,1;10;69;100;
15,6,true,53874,26,1;3;4;1;7;1;100;
15,6,true,53494,57,1;19;30;100;
15,6,true,53869,21,4;2;2;7;100;
15,6,true,53587,17,2;4;5;100;
15,6,true,53434,190,1;2;15;6;13;5;39;99;100;
15,6,true,53627,36,5;3;2;1;3;3;9;100;
15,6,true,53448,43,1;1;19;16;100;
15,6,true,53609,116,1;1;1;1;1;6;2;91;100;
15,11,true,53357,68,6;3;1;49;100;
15,11,true,53748,123,1;1;1;3;8;5;93;100;
15,11,true,53669,36,1;2;2;4;1;15;2;100;
15,11,true,53407,108,5;4;10;4;37;3;34;100;
15,11,true,53710,15,3;4;1;100;
15,11,true,53482,28,2;2;9;7;100;
15,11,true,53651,25,1;3;10;5;100;
15,11,true,53942,9,3;1;1;100;
15,11,true,53619,79,1;4;7;62;100;
15,11,true,53919,60,1;38;16;100;
15,16,true,53758,15,3;8;100;
15,16,true,53344,11,1;1;2;100;
15,16,true,53610,137,1;12;20;1;59;36;100;
15,16,true,53670,89,5;3;1;74;100;
15,16,true,53411,110,7;7;15;11;47;14;100;
15,16,true,53525,94,1;4;1;1;8;13;56;100;
15,16,true,53193,61,9;46;100;
15,16,true,53457,55,1;2;2;39;5;100;
15,16,true,53610,116,3;4;13;27;61;100;
15,16,true,53790,6,2;1;100;
15,21,true,53209,191,3;57;6;37;79;100;
15,21,true,53603,21,13;100;
15,21,true,53492,194,1;3;58;64;58;100;
15,21,true,53503,225,2;3;6;6;6;99;91;100;
15,21,true,53468,198,1;1;63;51;31;40;100;
15,21,true,53436,11,1;1;1;100;
15,21,true,53533,90,3;48;32;100;
15,21,true,53539,50,1;3;3;6;2;5;19;100;
15,21,true,53367,100,4;8;30;32;17;100;
15,21,true,53708,64,10;42;7;100;
15,26,true,53245,32,23;100;
15,26,true,53607,62,1;2;2;50;100;
15,26,true,53525,55,1;6;25;16;100;
15,26,true,53506,39,3;2;8;16;100;
15,26,true,53736,18,9;4;100;
15,26,true,53278,148,1;6;3;10;39;62;19;100;
15,26,true,53038,34,6;19;100;
15,26,true,52923,72,2;3;2;1;55;100;
15,26,true,53404,8,3;2;100;
15,26,true,53700,25,3;1;16;100;
15,31,true,53345,80,3;3;2;21;45;100;
15,31,true,53591,58,1;5;5;4;33;100;
15,31,true,53642,28,3;20;100;
15,31,true,53556,52,1;1;24;19;100;
15,31,true,53297,9,2;1;100;
15,31,true,53750,28,17;6;100;
15,31,true,53512,98,3;25;14;2;7;38;100;
15,31,true,53386,122,7;5;22;83;100;
15,31,true,53380,54,3;1;1;12;31;100;
15,31,true,53353,84,1;1;7;17;50;100;
15,36,true,53434,192,1;2;3;2;9;63;20;81;100;
15,36,true,53757,128,2;7;50;12;50;100;
15,36,true,53499,14,1;4;4;100;
15,36,true,53209,95,1;3;5;3;7;66;100;
15,36,true,53302,23,1;2;6;8;100;
15,36,true,53440,49,1;4;12;17;5;100;
15,36,true,53403,56,4;1;3;5;36;100;
15,36,true,53481,97,4;5;5;29;5;33;7;100;
15,36,true,53399,132,1;3;2;29;4;24;44;14;100;
15,36,true,53264,115,1;2;14;92;100;
15,41,true,53035,101,13;83;100;
15,41,true,53548,12,1;2;1;100;
15,41,true,53649,62,1;6;50;100;
15,41,true,53237,17,1;2;9;100;
15,41,true,53421,12,1;2;2;100;
15,41,true,53332,8,2;2;100;
15,41,true,53538,271,2;1;18;12;64;9;8;16;53;75;100;
15,41,true,53342,69,2;1;2;3;49;100;
15,41,true,53256,46,1;1;1;11;22;100;
15,41,true,53711,11,3;1;100;
15,46,true,53412,15,1;3;3;100;
15,46,true,52992,54,2;2;4;12;28;100;
15,46,true,53173,119,1;10;4;5;6;14;9;10;12;6;28;100;
15,46,true,53274,10,2;2;100;
15,46,true,53384,52,9;22;1;13;100;
15,46,true,53488,26,1;1;1;18;100;
15,46,true,53446,174,11;3;86;7;4;52;100;
15,46,true,53339,82,4;2;1;9;52;6;100;
15,46,true,53410,107,5;2;3;32;59;100;
15,46,true,53280,108,6;19;76;100;
15,51,true,53480,46,1;1;3;19;14;100;
15,51,true,53522,12,1;3;100;
15,51,true,53368,27,2;2;16;100;
15,51,true,53133,123,4;2;1;4;61;8;34;100;
15,51,true,53130,150,7;11;4;7;83;30;100;
15,51,true,53388,89,1;1;4;20;11;19;3;19;100;
15,51,true,53360,31,2;1;6;17;100;
15,51,true,53309,52,1;3;11;8;20;100;
15,51,true,53461,20,1;1;4;2;6;100;
15,51,true,53557,66,4;56;100;
15,56,true,53202,63,2;1;6;48;100;
15,56,true,53294,36,4;5;20;100;
15,56,true,53263,94,2;1;17;5;59;100;
15,56,true,53081,31,1;3;10;8;100;
15,56,true,53345,104,2;1;6;87;100;
15,56,true,53327,40,2;2;7;19;100;
15,56,true,53287,100,3;6;38;2;44;100;
15,56,true,53347,79,1;1;2;1;11;48;100;
15,56,true,53452,118,1;1;1;3;47;17;39;100;
15,56,true,53435,32,3;7;11;3;100;
15,61,true,53130,140,1;12;11;1;75;32;100;
15,61,true,53122,61,3;1;1;20;29;100;
15,61,true,53466,26,1;2;1;1;5;8;100;
15,61,true,53337,122,3;4;1;8;22;74;100;
15,61,true,53666,12,1;1;1;1;100;
15,61,true,53500,21,1;1;3;9;100;
15,61,true,53472,19,3;12;100;
15,61,true,53288,43,1;36;100;
15,61,true,53376,84,3;2;1;3;3;36;23;100;
15,61,true,53006,101,3;17;77;100;
15,66,true,53590,21,2;15;100;
15,66,true,53155,56,1;5;1;5;37;100;
15,66,true,53316,106,2;3;1;2;1;89;100;
15,66,true,53441,50,1;2;41;100;
15,66,true,53066,24,1;5;6;5;100;
15,66,true,53249,126,1;3;1;40;54;19;100;
15,66,true,53400,37,1;1;21;5;2;100;
15,66,true,53111,15,4;5;100;
15,66,true,53276,37,2;2;1;26;100;
15,66,true,53313,119,2;2;13;94;100;
15,71,true,53331,24,8;6;3;100;
15,71,true,52964,56,1;49;100;
15,71,true,52953,12,3;3;100;
15,71,true,53194,131,14;18;2;26;38;22;100;
15,71,true,53366,39,1;2;26;3;100;
15,71,true,53222,179,4;53;15;2;98;100;
15,71,true,53086,41,1;1;2;27;100;
15,71,true,53260,90,1;1;7;6;66;100;
15,71,true,52979,191,2;1;17;1;35;94;32;100;
15,71,true,53412,54,3;4;41;100;
15,76,true,53405,14,6;4;100;
15,76,true,53377,36,7;24;100;
15,76,true,53233,72,1;1;2;23;37;100;
15,76,true,53510,27,2;2;2;13;100;
15,76,true,53327,17,1;1;9;100;
15,76,true,53337,32,1;5;8;12;100;
15,76,true,53345,14,2;1;4;100;
15,76,true,53335,21,1;1;14;100;
15,76,true,53421,39,2;4;2;25;100;
15,76,true,53249,87,1;4;3;5;4;3;37;21;100;
15,81,true,53082,45,1;1;2;8;24;100;
15,81,true,53235,66,4;6;2;3;5;7;5;2;21;100;
15,81,true,53382,40,3;1;1;11;17;100;
15,81,true,53245,47,6;10;26;100;
15,81,true,53281,26,2;1;2;14;100;
15,81,true,53300,123,1;2;1;7;5;3;6;3;84;100;
15,81,true,53299,102,9;86;100;
15,81,true,53358,99,25;54;14;100;
15,81,true,53646,25,7;2;10;100;
15,81,true,53240,123,1;2;53;58;100;
15,86,true,52989,27,2;3;6;6;4;100;
15,86,true,53103,86,2;5;10;13;47;100;
15,86,true,53545,13,1;2;4;100;
15,86,true,53191,56,1;1;9;34;2;100;
15,86,true,53465,52,2;2;1;24;16;100;
15,86,true,53483,52,1;9;1;1;31;100;
15,86,true,53348,115,3;2;2;6;96;100;
15,86,true,53059,137,1;15;4;11;44;34;15;100;
15,86,true,53267,17,1;6;100;
15,86,true,53293,128,1;1;1;5;19;92;100;
15,91,true,53364,13,2;1;4;100;
15,91,true,52968,138,1;2;92;16;19;100;
15,91,true,53526,47,1;3;35;100;
15,91,true,53247,63,2;46;8;100;
15,91,true,53310,84,1;1;12;55;7;100;
15,91,true,53370,72,2;3;12;28;5;14;100;
15,91,true,52896,85,6;2;29;15;24;100;
15,91,true,53285,8,2;3;100;
15,91,true,53155,28,1;2;7;8;4;100;
15,91,true,53310,5,2;100;
15,96,true,52865,46,1;2;38;100;
15,96,true,53170,167,6;5;1;25;4;11;40;65;100;
15,96,true,53252,123,1;1;2;5;2;49;54;100;
15,96,true,53257,74,1;4;22;2;39;100;
15,96,true,53372,44,1;2;1;4;29;100;
15,96,true,53315,74,1;1;4;1;8;16;33;100;
15,96,true,53263,130,1;50;71;100;
15,96,true,52971,22,2;8;3;1;100;
15,96,true,53405,74,1;1;1;6;1;55;100;
15,96,true,53254,10,1;4;100;
15,101,true,53054,86,1;4;2;8;1;55;4;100;
15,101,true,53285,59,2;26;26;100;
15,101,true,53295,29,4;4;1;3;6;1;100;
15,101,true,53481,79,1;1;4;1;2;62;100;
15,101,true,53374,16,1;1;10;100;
15,101,true,53199,72,2;4;1;25;33;100;
15,101,true,53211,28,2;3;3;9;4;100;
15,101,true,52946,38,2;1;12;5;9;100;
15,101,true,53370,94,1;1;1;3;15;43;19;100;
15,101,true,53343,113,2;8;13;82;100;
15,106,true,53133,224,3;6;19;26;78;81;100;
15,106,true,53488,22,1;3;1;3;6;100;
15,106,true,53298,173,1;2;7;4;4;56;90;100;
15,106,true,53357,74,4;1;10;51;100;
15,106,true,53286,47,1;3;1;36;100;
15,106,true,53471,28,23;100;
15,106,true,53276,23,1;3;4;8;100;
15,106,true,53229,226,1;1;1;4;67;86;54;100;
15,106,true,53100,169,16;2;70;60;14;100;
15,106,true,53305,28,1;1;9;11;100;
15,111,true,52971,72,1;2;2;1;1;56;100;
15,111,true,52970,111,2;3;31;70;100;
15,111,true,53251,16,4;2;5;100;
15,111,true,53385,154,2;95;48;100;
15,111,true,53412,24,1;3;3;1;4;3;100;
15,111,true,53281,143,4;28;95;11;100;
15,111,true,53509,22,17;100;
15,111,true,53178,107,1;1;11;11;74;100;
15,111,true,53002,55,5;12;28;1;100;
