NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,48726,197,2;3;8;13;29;5;1;9;26;1;26;58;100;
15,1,false,48964,105,2;1;1;11;51;31;100;
15,1,false,50045,105,1;4;23;15;15;3;29;100;
15,1,false,49026,31,3;2;4;2;8;4;100;
15,1,false,48331,88,2;1;5;3;65;100;
15,1,false,48921,134,1;1;2;1;2;3;4;14;4;29;57;100;
15,1,false,48216,98,1;1;2;2;5;76;100;
15,1,false,47907,138,9;9;7;71;28;5;100;
15,1,false,48313,52,1;1;1;1;6;26;5;100;
15,1,false,49812,82,3;6;55;10;100;
15,6,false,46894,107,3;45;8;8;32;100;
15,6,false,46664,173,3;58;66;35;100;
15,6,false,45703,133,1;1;4;22;22;72;100;
15,6,false,46773,94,1;1;83;100;
15,6,false,46675,191,2;9;14;72;6;2;73;100;
15,6,false,46411,24,1;3;9;100;
15,6,false,46744,147,1;6;2;8;20;97;100;
15,6,false,46576,186,1;2;1;2;6;10;3;26;23;25;54;17;100;
15,6,false,47399,89,1;8;8;2;32;17;7;100;
15,6,false,46336,158,1;2;5;12;63;63;100;
15,11,false,46461,33,1;1;1;1;1;19;100;
15,11,false,47645,13,1;1;100;
15,11,false,46152,49,2;2;30;3;1;100;
15,11,false,45887,114,2;10;2;10;22;54;100;
15,11,false,47456,19,1;3;2;1;100;
15,11,false,46996,83,1;1;2;15;13;40;100;
15,11,false,45727,74,1;1;6;9;46;100;
15,11,false,46330,77,1;15;4;47;100;
15,11,false,46263,263,1;1;18;77;57;34;60;100;
15,11,false,47273,92,1;4;9;52;16;100;
15,16,false,46934,147,1;1;19;5;25;32;7;44;100;
15,16,false,45763,135,1;1;2;2;18;26;72;100;
15,16,false,45482,156,4;27;28;8;76;100;
15,16,false,46314,139,88;36;4;100;
15,16,false,47057,23,14;100;
15,16,false,45700,63,2;2;1;4;19;9;10;100;
15,16,false,46151,34,1;1;12;9;100;
15,16,false,45791,134,1;45;79;100;
15,16,false,46123,191,2;48;32;73;22;100;
15,16,false,45822,53,1;1;14;26;100;
15,21,false,46249,58,5;5;13;19;1;100;
15,21,false,46099,67,2;2;3;5;15;17;8;100;
15,21,false,45836,117,1;2;77;21;100;
15,21,false,46237,92,1;1;33;48;100;
15,21,false,46340,126,1;1;22;6;20;63;100;
15,21,false,45928,161,1;1;12;8;16;16;14;47;31;100;
15,21,false,45289,304,1;2;1;1;13;43;33;70;90;5;29;100;
15,21,false,45283,141,1;1;5;43;69;8;100;
15,21,false,46422,90,71;6;100;
15,21,false,45200,64,1;1;2;7;18;7;14;100;
15,26,false,46428,57,2;11;4;8;18;100;
15,26,false,45096,203,1;1;1;1;22;19;56;87;100;
15,26,false,45352,18,1;4;2;1;100;
15,26,false,46344,31,1;1;21;100;
15,26,false,45122,169,1;4;29;39;36;48;100;
15,26,false,46008,79,1;2;1;2;42;15;3;100;
15,26,false,47075,33,1;9;14;100;
15,26,false,45621,153,1;31;88;22;100;
15,26,false,45894,75,2;6;23;28;1;100;
15,26,false,45947,47,1;1;34;100;
15,31,false,45237,53,1;15;15;11;100;
15,31,false,45710,134,1;18;3;61;39;100;
15,31,false,45546,103,1;1;10;3;25;49;100;
15,31,false,46003,20,1;12;100;
15,31,false,46294,56,3;2;40;100;
15,31,false,45262,65,1;2;1;5;3;16;3;3;11;100;
15,31,false,46647,44,2;34;100;
15,31,false,46098,159,6;23;13;83;21;100;
15,31,false,46729,56,2;1;1;12;28;100;
15,31,false,44908,121,1;1;3;13;6;26;57;100;
15,36,false,45040,98,2;7;23;1;2;10;14;21;2;100;
15,36,false,46679,26,1;1;8;5;100;
15,36,false,45480,119,1;1;1;61;44;100;
15,36,false,45352,93,1;1;26;5;17;4;3;22;100;
15,36,false,46004,73,1;6;10;7;3;20;12;100;
15,36,false,45335,158,1;1;10;1;6;51;75;100;
15,36,false,45664,65,1;1;4;3;8;12;20;100;
15,36,false,46448,35,6;11;4;100;
15,36,false,44544,74,5;11;3;43;100;
15,36,false,46385,53,3;21;10;7;100;
15,41,false,45088,277,3;1;19;18;3;1;24;84;11;62;31;100;
15,41,false,44727,73,2;1;6;4;1;43;100;
15,41,false,45717,73,1;1;2;17;7;34;100;
15,41,false,45641,96,1;12;9;16;46;100;
15,41,false,45145,77,2;1;6;5;17;11;21;100;
15,41,false,45207,61,2;17;30;100;
15,41,false,45443,245,1;3;17;2;9;22;68;67;43;100;
15,41,false,45993,329,2;3;29;5;19;21;80;66;88;100;
15,41,false,45302,86,2;2;2;3;20;43;100;
15,41,false,45132,260,1;16;57;1;81;89;100;
15,46,false,45369,44,1;2;14;15;100;
15,46,false,45728,267,2;2;1;1;59;64;21;15;38;47;100;
