NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,41643,25,6;1;9;4;100;
15,1,true,41947,27,5;5;6;5;100;
15,1,true,41618,42,1;2;11;12;8;100;
15,1,true,42156,35,1;3;16;9;100;
15,1,true,41429,101,1;6;4;2;4;14;16;1;15;13;11;100;
15,1,true,41764,34,2;8;1;12;3;100;
15,1,true,42265,18,3;1;4;3;1;100;
15,1,true,41596,107,2;2;1;1;17;17;6;51;100;
15,1,true,41585,178,6;2;16;7;41;25;2;69;100;
15,1,true,41729,33,1;3;23;100;
15,6,true,41648,99,2;49;43;100;
15,6,true,41206,146,1;2;19;9;33;51;3;17;100;
15,6,true,41226,217,1;1;6;1;3;37;18;85;17;32;100;
15,6,true,41053,75,1;1;1;21;17;25;100;
15,6,true,41285,74,1;2;31;35;100;
15,6,true,41735,214,1;4;75;11;38;75;100;
15,6,true,41390,150,1;46;7;7;81;100;
15,6,true,41420,11,2;4;1;100;
15,6,true,41460,95,1;16;23;48;100;
15,6,true,41540,74,2;65;100;
15,11,true,41566,57,1;1;1;8;39;100;
15,11,true,41650,20,2;3;11;100;
15,11,true,41291,193,4;1;12;3;40;56;51;15;100;
15,11,true,41240,85,1;1;17;59;100;
15,11,true,41357,120,3;2;3;9;16;24;4;49;100;
15,11,true,41660,81,5;5;3;3;1;53;100;
15,11,true,41608,27,3;3;1;4;7;100;
15,11,true,41542,18,1;14;100;
15,11,true,41556,58,55;100;
15,11,true,41336,33,16;3;8;100;
15,16,true,41301,120,1;2;11;72;26;100;
15,16,true,41528,11,3;4;100;
15,16,true,41250,127,4;8;2;51;41;8;5;100;
15,16,true,41443,40,1;34;100;
15,16,true,41608,38,2;32;100;
15,16,true,41585,18,1;7;4;100;
15,16,true,41312,166,2;16;44;98;100;
15,16,true,41256,190,3;1;3;13;22;14;91;34;100;
15,16,true,41235,85,2;7;1;9;20;12;23;100;
15,16,true,41499,11,1;2;3;100;
15,21,true,41341,61,2;2;1;6;10;33;100;
15,21,true,41316,69,2;15;1;23;18;100;
15,21,true,41440,155,1;1;2;10;27;81;25;100;
15,21,true,41333,6,3;100;
15,21,true,41274,13,1;3;2;1;100;
15,21,true,41419,33,3;2;21;100;
15,21,true,41495,117,2;5;23;38;13;3;23;100;
15,21,true,41201,217,1;6;3;5;5;11;44;95;37;100;
15,21,true,41432,18,5;6;100;
15,21,true,41258,137,1;1;8;11;7;7;91;100;
15,26,true,41153,172,45;4;28;89;100;
15,26,true,41386,132,5;5;20;95;100;
15,26,true,41453,33,1;1;1;7;5;4;4;100;
15,26,true,41377,47,5;1;28;6;100;
15,26,true,41634,15,2;1;2;1;100;
15,26,true,41250,23,3;3;10;100;
15,26,true,41101,55,1;2;19;18;6;100;
15,26,true,41418,38,1;2;31;100;
15,26,true,41410,8,5;100;
15,26,true,41296,176,2;1;11;7;67;77;100;
15,31,true,41171,38,6;3;21;100;
15,31,true,41460,175,2;1;4;14;51;92;100;
15,31,true,41062,121,2;2;54;1;5;19;27;1;100;
15,31,true,41177,144,32;27;78;100;
15,31,true,41397,185,1;1;5;4;37;1;81;42;100;
15,31,true,40997,134,4;18;5;88;7;1;100;
15,31,true,41621,36,6;2;5;17;100;
15,31,true,41293,67,2;1;2;54;100;
15,31,true,41443,95,1;1;5;15;25;18;20;100;
15,31,true,41457,28,3;8;11;100;
15,36,true,41314,169,3;6;1;64;87;100;
15,36,true,41357,103,4;11;81;100;
15,36,true,41419,19,1;8;4;100;
15,36,true,41479,12,1;3;1;2;100;
15,36,true,41439,94,2;2;1;83;100;
15,36,true,41281,207,1;4;4;4;2;89;93;100;
15,36,true,41373,43,1;4;3;28;100;
15,36,true,41418,11,1;5;100;
15,36,true,41532,17,1;6;5;100;
15,36,true,41335,166,3;1;2;5;1;17;12;31;21;25;26;7;100;
15,41,true,41126,167,1;1;33;30;27;67;100;
15,41,true,41394,193,2;2;1;5;16;76;80;100;
15,41,true,41397,157,2;3;5;4;13;22;36;57;100;
15,41,true,41271,5,1;100;
