NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,77603,13,5;2;100;
15,1,false,71774,165,1;2;2;71;79;100;
15,1,false,74118,13,2;1;3;100;
15,1,false,70642,64,1;6;1;1;3;1;7;29;4;100;
15,1,false,70673,166,2;10;2;28;9;2;1;2;21;76;100;
15,1,false,75185,56,7;2;2;25;12;100;
15,1,false,70668,86,5;3;15;20;5;11;16;100;
15,1,false,69484,46,5;5;18;9;1;100;
15,1,false,71269,36,2;6;1;1;3;7;6;100;
15,1,false,69826,108,1;1;12;27;2;1;18;34;100;
15,6,false,69991,53,1;5;2;2;31;2;100;
15,6,false,69838,20,9;1;3;1;100;
15,6,false,69894,39,3;6;1;11;6;100;
15,6,false,71686,15,9;1;100;
15,6,false,60013,434,2;1;4;1;2;2;1;5;22;6;11;79;12;5;75;6;16;53;10;95;100;
15,6,false,68124,176,8;1;99;3;10;43;100;
15,6,false,63722,263,3;1;4;1;53;91;13;5;27;18;34;100;
15,6,false,61088,299,9;1;3;12;11;5;26;2;17;77;90;27;100;
15,6,false,68860,286,9;4;3;64;6;1;6;1;48;25;1;99;100;
15,6,false,63030,152,1;6;8;21;31;4;6;5;6;4;1;12;3;7;15;100;
15,11,false,65764,147,9;1;93;33;100;
15,11,false,61569,103,5;1;3;2;53;4;1;5;1;3;6;100;
15,11,false,62770,127,6;1;11;18;1;4;4;2;59;1;3;100;
15,11,false,61367,237,1;2;2;1;5;2;46;6;6;1;15;14;11;1;36;41;22;100;
15,11,false,63463,45,9;1;16;5;4;100;
15,11,false,63255,37,10;2;1;4;10;100;
15,11,false,61751,78,1;4;62;100;
15,11,false,60455,217,7;1;2;8;5;49;1;7;4;5;5;28;4;2;29;4;21;6;100;
15,11,false,60295,223,2;3;1;2;7;39;29;73;51;100;
15,11,false,63474,48,5;2;1;1;22;3;1;100;
15,16,false,61950,161,2;5;2;1;6;1;5;2;40;56;1;21;100;
15,16,false,64509,67,4;2;1;1;14;9;1;18;100;
15,16,false,58648,319,2;4;1;19;39;15;48;7;5;3;39;9;35;8;64;100;
15,16,false,61771,95,2;1;4;1;71;2;3;100;
15,16,false,58236,144,2;6;4;2;5;10;1;2;4;5;7;53;15;2;100;
15,16,false,61925,82,1;1;4;1;3;19;26;3;9;100;
15,16,false,58311,166,8;46;2;11;7;10;11;3;1;3;26;2;13;100;
15,16,false,59893,313,8;1;7;2;1;2;4;4;20;36;2;54;56;26;65;100;
15,16,false,58222,123,1;6;2;1;3;2;18;3;1;2;3;9;46;100;
15,16,false,60322,98,3;2;1;1;7;52;11;6;100;
15,21,false,58771,187,5;2;2;42;1;88;30;100;
15,21,false,58594,222,3;3;1;1;5;46;66;74;5;1;100;
15,21,false,59045,72,9;2;1;11;1;16;1;1;14;100;
15,21,false,60213,178,3;1;1;2;37;1;3;13;97;1;100;
