NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,41115,133,2;5;3;2;4;1;4;4;14;13;6;57;3;100;
15,1,true,41162,213,6;2;6;22;1;22;51;2;6;2;19;59;100;
15,1,true,41064,346,2;3;2;15;3;15;20;9;33;3;2;36;7;2;96;80;100;
15,1,true,41356,50,7;2;5;9;4;5;5;2;100;
15,1,true,41222,147,17;2;50;2;36;4;25;100;
15,1,true,41170,110,1;1;6;1;7;3;2;1;78;100;
15,1,true,40960,294,2;3;2;1;1;2;10;3;15;4;50;3;72;22;3;69;14;100;
15,1,true,40681,266,1;1;6;2;2;6;6;8;1;1;3;2;42;4;2;2;57;8;38;1;49;1;100;
15,1,true,41428,166,2;5;2;3;1;19;7;1;8;6;3;14;20;58;100;
15,1,true,40854,258,1;11;7;8;22;14;6;12;15;32;2;27;42;42;100;
15,6,true,40621,96,2;6;1;1;7;1;3;3;48;7;100;
15,6,true,40555,275,5;3;1;1;1;11;5;6;1;2;1;1;4;17;9;2;38;66;45;28;100;
15,6,true,40510,167,1;7;1;2;2;5;3;1;6;6;4;32;18;4;13;19;11;9;100;
15,6,true,40528,318,2;1;5;1;2;11;6;6;1;20;36;18;6;9;2;1;13;72;3;1;62;11;1;100;
15,6,true,40526,197,2;3;3;2;1;83;1;1;82;1;100;
15,6,true,40564,249,4;5;1;2;1;1;9;19;5;38;13;1;16;1;6;41;1;22;14;20;100;
15,6,true,40846,171,11;1;2;7;18;1;7;8;48;1;18;1;23;3;100;
15,6,true,40573,355,1;1;6;3;1;31;1;2;4;5;43;4;97;36;17;84;100;
15,6,true,40528,254,7;2;2;6;11;1;2;70;11;11;3;42;12;6;2;1;25;14;100;
15,6,true,40469,237,8;2;1;2;1;1;3;8;12;7;3;22;83;31;21;6;100;
15,11,true,40565,291,1;6;1;2;9;8;3;2;1;34;27;55;84;32;2;100;
15,11,true,40486,241,3;4;1;3;4;8;2;5;3;4;3;9;40;2;12;2;23;12;31;17;24;100;
15,11,true,40656,192,10;4;2;1;5;3;7;3;4;2;2;1;4;7;16;11;16;16;11;42;100;
15,11,true,40498,160,1;1;5;1;1;9;1;1;8;1;3;5;1;17;14;41;26;100;
15,11,true,40490,235,7;1;1;1;2;2;2;3;1;28;10;3;38;9;12;89;100;
15,11,true,40503,175,1;6;1;2;2;3;11;3;4;6;5;7;2;4;3;9;2;11;25;2;24;9;100;
15,11,true,40641,275,4;4;1;1;1;13;3;8;1;1;24;20;1;5;11;2;53;12;32;17;16;18;100;
15,11,true,40599,253,1;2;4;2;3;1;5;6;1;4;1;7;13;17;78;39;18;22;3;100;
15,11,true,40432,299,4;5;1;2;16;10;16;2;9;2;6;23;7;63;22;77;12;100;
15,11,true,40480,204,2;4;2;2;3;1;3;1;4;2;3;11;6;8;7;18;7;33;59;100;
15,16,true,40502,201,7;1;1;1;1;2;1;3;10;2;7;8;2;8;32;30;36;25;100;
15,16,true,40411,156,1;7;3;3;4;1;3;5;3;3;23;6;71;100;
15,16,true,40548,121,10;1;3;1;1;7;6;2;1;26;15;1;7;18;100;
15,16,true,40484,194,4;6;1;3;2;2;4;1;2;2;17;22;9;3;7;69;12;5;100;
15,16,true,40527,84,1;2;5;1;1;2;7;6;2;10;7;3;19;100;
15,16,true,40466,112,2;6;2;2;3;2;12;2;1;3;1;3;18;2;1;12;12;100;
15,16,true,40440,275,1;2;3;1;2;1;13;1;1;8;11;1;11;47;33;5;24;6;77;100;
15,16,true,40416,251,2;4;2;1;2;2;5;7;4;2;21;4;30;3;7;2;1;4;19;27;21;28;22;100;
15,16,true,40732,43,5;5;1;18;100;
15,16,true,40570,93,1;8;1;1;2;1;1;4;3;17;2;6;2;22;3;100;
15,21,true,40403,227,10;1;2;1;4;3;1;2;4;8;1;5;13;9;12;2;28;5;7;80;100;
15,21,true,40583,111,5;4;3;6;6;1;10;1;4;19;4;34;100;
15,21,true,40452,144,2;5;2;5;5;1;1;4;5;7;8;8;27;35;3;100;
15,21,true,40461,293,7;1;2;2;1;8;2;2;2;3;3;5;34;8;1;57;24;92;10;2;100;
15,21,true,40527,113,6;2;1;1;6;2;9;7;63;100;
15,21,true,40461,96,10;1;1;3;3;7;1;3;7;1;9;17;13;1;100;
15,21,true,40542,191,3;1;5;1;1;1;2;1;2;1;2;2;21;5;2;2;7;28;81;100;
15,21,true,40519,175,3;4;1;35;3;5;2;67;34;100;
15,21,true,40553,104,11;2;5;3;1;3;2;18;5;13;25;100;
15,21,true,40505,223,2;5;3;2;1;3;1;1;21;5;1;10;3;17;1;9;1;1;1;9;11;23;2;8;11;23;11;2;100;
15,26,true,40552,155,2;5;2;3;2;1;1;2;12;1;1;1;2;13;6;2;9;20;15;10;12;7;100;
15,26,true,40461,344,1;2;4;1;2;2;3;8;6;16;4;49;30;2;43;3;18;92;28;1;100;
15,26,true,40442,191,1;7;2;1;1;12;1;9;2;4;15;17;19;1;2;8;7;43;15;100;
15,26,true,40500,165,2;8;6;1;4;3;1;4;15;27;78;100;
15,26,true,40545,105,7;2;1;6;4;2;1;5;6;3;33;11;2;6;100;
15,26,true,40436,228,6;1;1;5;2;1;3;1;1;1;1;9;8;5;11;38;71;14;2;19;100;
15,26,true,40501,182,7;1;2;2;2;2;1;6;5;1;2;4;15;11;12;11;4;3;11;31;14;100;
15,26,true,40466,240,1;8;1;2;1;1;2;1;6;2;1;6;24;16;72;6;6;15;2;39;100;
15,26,true,40618,234,10;4;5;15;39;10;3;14;2;15;29;3;8;18;31;5;100;
15,26,true,40371,362,1;9;2;1;1;2;6;10;1;6;6;4;35;6;36;5;39;70;1;1;13;1;73;5;100;
15,31,true,40497,129,8;1;5;2;3;3;1;3;18;1;2;58;2;100;
15,31,true,40411,156,1;8;1;1;3;1;3;5;2;5;13;3;8;24;4;5;7;1;3;6;1;8;11;100;
15,31,true,40460,188,1;6;1;1;2;4;5;12;4;3;2;2;1;7;17;98;100;
15,31,true,40403,108,9;1;1;2;1;2;6;1;7;4;2;7;10;26;100;
15,31,true,40479,182,2;6;1;4;4;4;2;2;4;2;5;3;2;15;3;8;34;57;100;
15,31,true,40417,94,1;6;4;2;2;2;1;1;4;1;2;2;5;2;2;35;100;
15,31,true,40592,61,3;3;1;2;1;1;1;1;1;1;18;3;8;100;
15,31,true,40499,278,6;2;3;11;1;5;11;5;18;8;4;14;25;4;68;2;63;100;
15,31,true,40386,131,10;1;2;1;5;7;9;2;9;28;6;30;100;
15,31,true,40532,217,2;3;3;1;7;3;2;5;2;2;5;19;1;48;3;57;18;5;100;
15,36,true,40411,191,2;3;1;1;1;1;9;2;2;10;5;2;1;15;3;31;2;70;100;
15,36,true,40519,241,7;1;5;1;23;13;4;30;3;3;2;27;5;32;63;100;
