NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,48217,254,2;1;10;19;4;45;51;6;5;10;12;4;15;4;3;7;3;19;14;100;
15,1,false,48220,401,16;70;48;21;7;14;14;41;21;27;14;1;14;16;58;100;
15,1,false,49062,226,1;27;47;27;34;16;27;1;1;10;22;100;
15,1,false,61921,20,4;5;4;2;100;
15,1,false,62068,19,1;2;4;3;3;100;
15,1,false,49020,234,7;22;38;20;39;9;15;18;7;5;7;2;17;2;9;100;
15,1,false,47106,351,8;38;47;3;15;3;2;13;1;3;2;9;2;18;18;21;7;20;77;17;100;
15,1,false,59646,29,5;6;13;100;
15,1,false,47564,261,52;39;3;2;28;29;8;13;12;10;6;44;100;
15,1,false,48692,243,18;72;1;45;12;7;18;6;1;10;18;17;3;100;
15,6,false,45760,328,2;2;8;34;33;37;4;8;1;4;4;6;6;4;22;2;8;39;9;70;100;
15,6,false,44422,406,3;4;67;14;21;19;3;13;1;13;6;13;1;3;19;2;17;9;24;71;18;30;10;100;
15,6,false,43954,587,65;12;31;14;4;9;4;14;2;1;6;4;1;20;23;1;27;10;23;41;27;11;11;8;55;16;44;14;31;1;21;100;
15,6,false,45805,298,5;22;8;17;25;14;13;22;2;4;5;14;15;3;6;3;21;2;9;12;22;28;100;
15,6,false,47446,208,1;42;14;46;30;2;1;2;4;17;1;2;8;2;5;13;100;
15,6,false,44792,454,8;23;31;11;20;32;28;4;11;4;2;9;11;10;5;10;8;35;43;1;13;10;14;5;39;34;100;
15,6,false,44351,400,6;3;10;32;39;9;3;16;23;1;4;8;4;6;3;1;22;6;5;29;21;6;2;33;34;4;16;23;100;
15,6,false,45239,415,3;3;5;5;3;6;35;57;13;3;3;10;1;20;7;13;27;6;12;4;26;38;10;25;43;5;100;
15,6,false,59110,11,1;5;100;
15,6,false,59924,26,23;100;
15,11,false,42551,584,2;1;49;19;31;3;1;8;3;6;3;5;2;3;7;2;1;3;6;14;7;9;13;18;13;44;6;13;3;52;71;4;27;6;3;11;4;9;9;49;100;
15,11,false,58727,13,2;6;100;
15,11,false,44943,364,2;19;7;6;76;5;5;6;12;16;3;5;12;2;5;76;40;29;18;100;
15,11,false,42266,618,31;19;11;54;1;15;11;4;13;37;15;40;6;4;2;4;5;34;3;13;4;4;23;10;20;24;19;12;3;29;17;7;5;64;2;11;100;
15,11,false,57371,104,4;1;3;91;100;
15,11,false,42568,632,1;3;4;10;47;1;15;53;4;2;3;10;3;6;9;1;3;9;39;45;19;34;3;3;12;30;15;8;18;9;65;19;14;9;27;5;26;3;100;
15,11,false,44307,404,12;33;4;29;48;23;1;13;6;5;1;1;5;4;4;5;1;21;6;44;54;40;17;100;
15,11,false,45557,314,13;23;25;16;16;42;3;4;3;5;22;2;8;2;14;26;12;16;40;100;
15,11,false,58825,29,5;1;18;100;
15,11,false,59907,5,2;100;
15,16,false,42453,613,1;8;36;52;29;18;2;5;6;1;3;1;2;2;6;4;2;24;32;7;7;5;21;19;52;14;30;20;7;75;55;26;2;100;
15,16,false,44034,459,6;67;27;1;5;3;10;10;8;3;6;11;16;14;9;1;2;7;19;27;40;8;4;4;10;3;32;5;66;100;
15,16,false,59693,1,100;
15,16,false,44887,333,59;66;1;3;4;2;3;4;12;9;1;1;4;5;11;41;7;58;18;100;
15,16,false,43008,792,1;1;56;42;15;8;5;8;3;18;10;21;3;12;14;26;51;6;15;37;17;59;1;8;37;6;16;12;21;10;30;16;2;26;54;14;6;57;100;
15,16,false,58373,25,22;100;
15,16,false,44319,347,3;2;13;10;12;5;76;18;1;8;10;3;10;19;7;3;7;25;4;78;5;4;100;
15,16,false,58699,99,1;93;100;
15,16,false,58355,31,2;9;12;100;
15,16,false,45311,273,61;3;17;7;36;8;2;1;11;2;11;11;2;16;1;45;10;8;100;
15,21,false,58312,29,1;3;20;100;
15,21,false,42328,759,4;16;23;13;26;44;3;5;15;3;2;2;12;6;12;8;1;23;10;11;29;64;5;36;13;20;8;28;23;35;3;70;10;32;7;13;2;35;44;100;
15,21,false,42551,605,3;23;8;75;12;13;11;8;9;7;23;19;40;8;2;3;3;16;4;37;27;9;16;34;15;27;5;1;6;27;14;1;49;6;3;2;100;
15,21,false,45250,309,4;11;5;47;10;5;20;13;6;2;4;5;2;5;6;7;3;11;6;25;4;36;7;38;100;
15,21,false,42603,565,7;2;4;3;2;21;53;4;23;6;13;4;1;5;2;26;10;18;1;9;10;12;8;6;14;15;53;26;2;21;3;3;12;7;7;13;17;25;5;2;11;4;25;100;
15,21,false,44788,424,4;3;28;12;56;2;16;7;3;16;11;1;4;30;1;1;2;1;15;5;65;40;65;9;100;
15,21,false,41859,530,32;48;23;19;11;22;1;5;16;5;2;8;8;7;7;5;18;41;4;22;46;17;29;13;2;3;26;10;11;18;17;100;
15,21,false,42639,575,1;1;59;1;38;9;14;12;9;1;1;1;11;4;9;12;1;4;5;14;3;26;6;58;7;5;39;22;5;2;1;3;1;11;3;3;1;7;43;20;33;3;20;100;
15,21,false,43273,771,1;6;4;26;16;37;31;14;2;13;7;16;8;1;7;4;6;8;27;50;4;45;7;38;4;33;18;15;13;4;46;26;46;37;43;18;12;33;100;
15,21,false,45600,291,15;56;25;9;1;2;3;1;8;1;4;5;8;10;5;12;3;13;16;15;7;47;100;
15,26,false,44639,331,43;1;68;13;2;11;2;7;8;12;5;15;11;31;44;10;26;100;
15,26,false,43356,551,1;2;3;33;11;31;13;18;2;6;5;6;1;5;1;13;3;7;9;2;12;19;14;4;8;12;6;29;47;33;2;20;1;13;11;21;4;59;19;100;
15,26,false,42823,595,4;3;9;1;15;22;49;10;4;5;3;13;2;2;1;6;5;1;5;19;8;1;32;1;16;16;24;33;7;16;29;35;17;2;11;24;37;35;6;8;11;100;
15,26,false,43171,685,4;16;1;9;57;25;8;8;10;6;4;1;13;2;7;2;28;1;9;13;5;31;50;29;53;20;63;27;3;57;12;2;3;2;7;2;24;2;23;100;
15,26,false,43026,523,3;1;16;36;54;1;10;11;3;10;1;11;1;6;3;6;6;48;6;4;8;15;41;9;4;10;6;4;8;12;2;10;3;5;2;21;15;68;100;
15,26,false,44166,661,94;25;1;79;4;9;1;1;5;1;6;1;1;9;11;11;9;1;14;9;2;34;49;2;9;2;28;19;21;7;5;11;4;66;23;13;24;5;100;
15,26,false,43733,444,2;1;45;42;44;15;1;23;4;1;7;21;6;4;28;18;32;3;15;3;31;3;20;29;17;100;
15,26,false,58176,35,14;16;100;
15,26,false,42993,480,3;3;3;8;41;19;16;32;12;3;2;6;4;7;3;7;10;1;3;10;17;10;5;17;44;7;21;7;3;13;20;38;11;1;34;100;
15,26,false,42901,604,3;2;32;10;14;26;39;2;11;10;6;1;4;1;2;5;1;2;13;4;8;27;4;17;11;16;5;33;3;1;2;19;47;9;9;2;40;1;28;2;1;11;13;57;100;
15,31,false,42859,540,8;32;24;51;1;5;13;2;4;6;1;4;5;1;2;51;6;13;3;6;2;4;8;7;2;13;21;27;16;9;5;34;55;1;49;9;100;
15,31,false,57988,27,1;3;3;13;100;
15,31,false,42421,641,3;12;34;12;44;5;3;4;2;2;7;10;2;2;18;1;5;1;4;2;19;21;34;15;4;12;32;3;13;15;1;12;9;7;18;10;12;7;14;31;2;47;13;2;5;10;10;1;15;2;9;2;100;
15,31,false,42144,634,3;6;1;8;35;56;6;13;1;7;1;3;2;1;3;3;5;7;7;23;18;6;45;26;28;2;1;47;5;10;1;1;11;12;8;12;8;19;5;3;13;2;5;24;46;8;21;100;
15,31,false,43297,583,2;29;45;41;2;4;17;2;19;17;3;26;41;25;6;51;41;30;5;8;13;2;16;19;20;45;7;14;100;
15,31,false,58648,19,1;6;7;100;
15,31,false,42005,580,17;9;43;19;18;5;11;1;10;2;2;1;10;5;3;15;3;9;2;11;8;2;21;1;18;35;28;7;9;7;14;3;3;16;5;3;34;12;13;5;2;4;62;24;100;
15,31,false,43011,553,1;11;55;3;12;28;6;3;1;6;2;2;17;14;14;7;4;8;21;7;10;42;21;3;16;19;10;30;14;37;8;2;39;15;4;2;2;15;100;
15,31,false,56734,28,1;19;2;1;100;
15,31,false,42361,589,10;1;3;78;16;5;13;1;5;11;1;1;16;3;1;23;7;5;14;4;11;18;2;9;27;47;3;3;4;26;11;1;9;3;2;2;26;2;15;16;7;4;10;36;6;16;100;
15,36,false,41617,457,6;17;26;49;19;2;6;4;5;4;8;4;2;13;9;10;4;6;10;3;11;3;7;6;7;17;31;4;7;17;21;28;10;4;6;1;2;6;1;3;1;5;2;100;
15,36,false,58865,18,5;3;6;100;
15,36,false,42763,665,1;72;40;4;6;1;2;5;3;2;3;4;7;1;4;4;9;7;2;5;17;27;69;8;16;4;4;48;8;50;48;12;12;28;25;6;7;8;18;7;14;100;
15,36,false,42432,708,1;2;2;1;26;15;23;23;8;6;4;7;13;1;1;4;3;1;4;9;8;9;1;24;2;2;1;26;31;52;4;18;30;7;19;14;7;20;25;8;58;41;68;27;100;
15,36,false,42497,522,15;79;14;24;9;21;1;1;7;10;14;7;9;1;7;9;10;10;8;11;8;5;9;2;26;10;3;6;21;5;9;52;1;4;49;100;
15,36,false,41917,682,18;8;21;7;28;35;9;3;6;1;1;7;4;12;7;4;16;35;59;25;7;43;2;14;19;21;5;5;29;2;8;9;2;1;7;10;2;8;12;3;11;7;3;11;12;12;5;3;1;7;8;8;3;1;5;5;100;
15,36,false,42794,551,19;1;7;29;26;49;11;8;6;8;2;5;6;1;5;7;2;6;23;22;20;43;30;18;11;18;32;9;1;16;25;48;100;
15,36,false,43199,561,1;22;11;48;34;5;9;1;7;2;1;12;2;2;15;12;11;11;22;9;7;17;2;67;33;7;13;9;21;33;40;24;11;100;
15,36,false,42915,584,1;6;1;9;27;33;48;6;6;9;6;1;21;2;7;30;20;35;11;41;17;4;9;24;4;5;21;1;11;3;45;20;9;18;7;2;21;100;
15,36,false,43157,712,4;4;42;17;7;41;4;8;7;15;8;4;5;4;11;8;18;12;29;57;38;37;2;11;25;28;9;13;4;1;3;4;21;3;1;6;7;17;25;11;26;16;39;13;100;
