NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,42184,103,87;3;6;100;
15,1,true,42073,189,2;89;25;68;100;
15,1,true,42053,232,92;87;46;100;
15,1,true,41693,41,1;37;100;
15,1,true,41902,106,1;8;21;71;100;
15,1,true,41815,56,54;100;
15,1,true,41747,102,18;74;5;100;
15,1,true,42101,122,5;6;19;85;100;
15,1,true,42207,29,3;22;100;
15,1,true,41540,34,21;9;100;
15,6,true,41477,241,1;13;53;53;48;64;100;
15,6,true,41401,188,8;1;3;4;6;25;6;10;25;89;100;
15,6,true,41947,4,2;100;
15,6,true,41760,41,5;7;12;8;100;
15,6,true,41467,12,2;6;100;
15,6,true,41637,25,3;5;4;7;100;
15,6,true,41554,116,1;4;7;19;63;13;100;
15,6,true,41411,224,3;8;23;37;81;64;100;
15,6,true,41466,85,7;10;9;16;11;7;16;100;
15,6,true,41568,102,1;2;6;54;26;4;100;
15,11,true,41680,35,7;2;21;100;
15,11,true,41458,151,3;15;10;17;13;28;25;16;11;100;
15,11,true,41319,172,1;2;1;12;4;87;28;28;100;
15,11,true,41521,76,1;2;1;42;23;100;
15,11,true,41448,235,8;2;4;16;12;11;78;47;45;100;
15,11,true,41390,158,4;3;9;13;18;1;24;73;100;
15,11,true,41200,39,1;4;28;100;
15,11,true,41107,64,1;13;17;7;20;100;
15,11,true,41527,101,1;1;8;3;3;14;6;48;6;100;
15,11,true,41055,353,1;3;1;6;61;70;12;68;26;89;100;
15,16,true,41423,126,1;7;5;5;9;92;100;
15,16,true,41641,54,2;1;5;8;20;11;100;
15,16,true,41329,227,6;1;17;8;7;88;71;2;1;11;100;
15,16,true,41793,43,1;5;7;18;6;100;
15,16,true,41431,74,1;15;11;17;7;1;3;9;100;
15,16,true,41335,283,4;6;2;5;44;70;62;80;100;
15,16,true,41353,66,2;10;3;6;6;29;100;
15,16,true,41527,134,1;9;7;5;4;2;5;5;58;27;100;
15,16,true,41303,110,2;1;1;7;3;56;27;2;100;
15,16,true,41483,96,3;9;5;5;68;100;
15,21,true,41428,123,22;1;42;52;100;
15,21,true,41388,141,3;4;1;11;5;8;15;11;50;22;100;
15,21,true,41124,125,3;4;21;22;28;23;16;100;
15,21,true,41245,254,2;1;25;84;12;1;65;53;100;
15,21,true,41231,304,2;3;1;4;14;6;78;18;29;20;12;15;17;69;100;
15,21,true,41206,258,1;10;11;7;16;66;20;90;21;4;100;
15,21,true,41231,105,5;2;94;100;
15,21,true,41104,172,3;44;77;14;26;100;
15,21,true,41076,117,4;11;22;4;21;29;3;4;8;100;
15,21,true,41367,141,8;1;28;10;60;26;100;
15,26,true,41439,134,9;1;20;4;3;3;6;64;12;100;
15,26,true,41095,74,1;1;4;26;15;19;100;
15,26,true,41348,47,20;22;100;
15,26,true,41018,226,6;2;19;6;12;73;4;89;5;100;
15,26,true,41332,15,8;100;
15,26,true,41190,133,1;2;1;65;19;25;11;100;
15,26,true,41245,197,9;1;17;5;9;75;71;100;
15,26,true,41122,141,2;15;1;13;73;28;100;
15,26,true,40996,343,2;1;11;13;65;28;71;10;13;28;86;100;
15,26,true,41131,296,1;1;1;1;2;17;11;26;18;17;14;66;25;79;100;
15,31,true,41143,66,3;5;13;1;9;5;3;16;100;
15,31,true,41287,203,1;8;15;25;70;77;100;
15,31,true,41314,208,5;2;20;34;49;80;8;100;
15,31,true,41129,179,6;2;1;2;3;1;8;24;8;17;77;13;100;
15,31,true,41247,120,3;23;3;4;80;100;
15,31,true,41380,64,3;11;6;7;28;100;
15,31,true,41160,61,3;4;9;2;7;1;2;14;6;100;
15,31,true,40975,150,13;17;2;13;1;10;81;100;
15,31,true,41120,312,1;1;10;3;6;2;2;76;1;15;5;16;19;99;9;28;100;
15,31,true,41139,233,4;16;92;93;22;100;
15,36,true,41128,89,2;2;3;66;10;100;
15,36,true,41194,124,3;5;1;6;16;72;10;100;
15,36,true,41157,45,1;20;18;100;
15,36,true,41142,160,2;3;1;3;3;8;1;29;11;86;100;
15,36,true,40871,161,1;1;6;14;1;14;16;98;100;
15,36,true,40951,304,1;2;19;2;68;3;17;82;98;100;
15,36,true,40747,374,4;1;3;2;26;6;13;3;16;87;23;96;78;100;
15,36,true,40995,99,4;6;1;21;10;14;22;11;100;
15,36,true,40993,128,15;13;3;3;9;12;20;7;19;15;100;
15,36,true,41040,222,1;2;21;14;4;2;78;89;100;
15,41,true,41211,44,7;3;3;3;16;5;100;
15,41,true,40965,138,8;2;9;26;70;9;6;100;
15,41,true,41012,132,9;24;12;82;100;
15,41,true,41115,123,4;3;9;11;64;7;15;100;
15,41,true,41244,63,5;6;27;8;9;100;
15,41,true,41361,80,6;69;100;
15,41,true,40975,120,4;4;1;26;63;7;5;100;
15,41,true,41110,199,1;4;7;2;2;1;2;5;24;18;12;8;97;100;
15,41,true,41092,191,4;5;2;1;6;63;97;100;
15,41,true,41247,103,2;26;10;58;100;
15,46,true,40755,106,10;8;16;19;12;28;3;100;
15,46,true,41459,119,1;15;7;19;70;100;
15,46,true,41207,80,19;10;11;29;3;100;
15,46,true,40958,302,1;1;15;96;13;21;45;99;100;
15,46,true,41326,204,4;11;23;86;73;100;
15,46,true,41256,45,6;2;6;25;100;
15,46,true,40996,87,5;4;4;57;9;100;
15,46,true,41279,44,3;3;7;25;100;
15,46,true,41040,149,1;15;3;7;19;12;7;25;12;10;25;100;
15,46,true,41140,186,1;2;29;2;49;14;80;100;
15,51,true,41267,158,1;7;2;11;17;79;28;4;100;
15,51,true,41354,23,2;10;5;100;
15,51,true,41199,189,1;2;9;9;1;13;50;5;88;100;
15,51,true,41011,121,18;67;28;3;100;
15,51,true,40923,186,1;2;1;1;22;26;23;83;16;100;
15,51,true,41437,126,5;50;67;100;
15,51,true,41148,263,2;2;1;5;71;69;27;75;100;
15,51,true,41128,58,1;4;25;21;100;
15,51,true,41140,119,2;3;20;12;1;71;100;
15,51,true,41037,162,3;8;13;4;9;4;20;68;21;100;
15,56,true,40931,248,7;1;17;5;4;15;90;7;90;100;
15,56,true,41004,125,2;1;1;8;12;2;8;80;100;
15,56,true,41032,87,6;4;10;14;47;100;
15,56,true,41090,171,15;1;3;4;2;93;9;6;28;100;
15,56,true,41043,169,6;1;13;27;4;65;26;17;100;
15,56,true,41170,238,3;6;67;53;72;23;6;100;
15,56,true,41419,41,14;4;3;13;100;
15,56,true,41293,8,5;100;
15,56,true,41438,74,1;2;66;100;
15,56,true,40972,274,3;7;2;7;13;12;11;96;15;97;100;
15,61,true,41118,68,11;15;19;16;100;
15,61,true,41296,175,1;9;7;56;95;100;
15,61,true,40957,149,4;75;13;12;17;3;16;100;
15,61,true,41226,41,4;7;3;22;100;
15,61,true,41068,259,2;1;8;1;9;69;82;77;100;
15,61,true,41318,82,22;4;50;100;
15,61,true,41218,102,2;11;18;6;21;15;8;9;100;
15,61,true,41007,284,4;3;8;3;1;7;36;61;16;73;8;51;100;
15,61,true,40800,167,6;26;9;1;5;95;14;100;
15,61,true,41193,35,12;16;1;100;
15,66,true,41244,104,8;6;1;61;21;100;
15,66,true,41053,192,1;10;1;78;26;18;50;100;
15,66,true,41220,81,6;16;16;13;22;100;
15,66,true,41357,10,1;4;100;
15,66,true,41041,71,3;57;7;100;
15,66,true,41156,126,11;7;7;13;10;22;16;17;13;100;
15,66,true,41169,53,16;1;4;9;1;6;4;100;
15,66,true,41189,151,1;8;5;5;21;54;18;15;12;100;
15,66,true,41205,80,10;3;9;15;8;24;3;100;
15,66,true,41090,149,4;6;1;2;3;1;13;1;81;24;100;
15,71,true,41191,74,3;1;3;20;14;26;100;
15,71,true,40992,71,1;16;5;5;8;22;3;100;
15,71,true,40948,157,1;3;9;7;5;77;17;24;2;100;
15,71,true,41073,83,2;15;4;16;18;12;6;100;
15,71,true,41164,114,5;1;7;1;29;28;9;8;15;100;
15,71,true,41030,88,7;8;11;17;6;3;21;5;100;
15,71,true,41228,76,6;3;3;9;28;2;17;100;
15,71,true,40940,174,6;38;3;88;23;9;100;
15,71,true,41031,78,7;7;14;6;8;29;100;
15,71,true,40990,150,1;1;1;6;19;10;5;22;3;69;100;
15,76,true,41082,85,1;79;100;
15,76,true,40891,213,5;3;10;29;9;1;54;77;13;100;
15,76,true,41008,274,1;2;8;3;28;51;77;69;19;1;100;
15,76,true,41174,45,1;40;100;
15,76,true,41019,227,5;1;11;1;2;4;74;23;95;100;
15,76,true,41319,91,3;3;19;51;8;100;
15,76,true,41218,40,7;6;6;8;7;100;
15,76,true,41153,70,1;4;15;18;1;21;100;
15,76,true,40963,41,12;24;100;
15,76,true,41272,42,5;12;1;3;15;100;
15,81,true,41319,84,3;6;3;6;1;3;52;100;
15,81,true,40889,166,5;18;88;9;6;10;7;14;100;
15,81,true,41064,165,3;4;15;1;16;14;28;59;15;100;
15,81,true,40999,50,13;24;7;100;
15,81,true,41081,33,3;25;100;
15,81,true,41169,149,1;11;16;91;18;3;100;
15,81,true,40930,214,2;59;58;5;1;81;100;
15,81,true,41067,246,1;11;10;53;28;18;18;26;71;100;
15,81,true,41223,273,13;1;5;18;84;29;97;16;100;
15,81,true,41012,204,1;6;2;4;5;15;71;89;100;
15,86,true,41112,86,1;3;12;1;10;27;22;100;
15,86,true,40952,228,6;11;7;15;18;13;11;27;13;74;20;100;
15,86,true,41123,152,8;2;15;26;24;67;100;
15,86,true,41062,75,3;1;5;14;8;20;16;100;
15,86,true,41014,89,3;7;12;12;4;21;2;18;100;
15,86,true,41048,332,1;1;5;6;8;73;65;70;61;23;6;100;
15,86,true,40870,134,3;12;8;19;4;18;25;6;5;21;100;
15,86,true,41048,115,1;4;7;4;4;7;61;18;100;
15,86,true,40977,217,1;9;4;2;6;17;58;70;12;26;100;
15,86,true,41147,55,2;26;3;5;9;3;100;
15,91,true,41164,53,1;1;7;9;18;8;100;
15,91,true,40985,106,2;1;1;10;16;1;13;6;6;10;17;10;100;
15,91,true,41062,137,1;7;1;12;17;72;17;100;
15,91,true,41106,79,1;17;4;8;21;16;3;100;
15,91,true,40947,114,5;27;4;5;15;26;19;100;
15,91,true,40966,150,13;2;13;82;16;3;12;100;
15,91,true,41085,242,2;2;11;2;7;19;4;17;70;95;100;
15,91,true,40877,166,3;12;13;73;29;27;100;
15,91,true,40965,263,1;1;1;5;6;3;1;5;14;89;7;1;85;26;100;
15,91,true,40993,87,10;11;6;29;8;15;100;
15,96,true,41100,143,1;4;12;6;11;18;82;100;
15,96,true,40752,231,1;1;6;8;23;4;8;21;1;24;17;9;93;100;
15,96,true,41089,186,1;6;1;74;7;3;3;82;100;
15,96,true,40894,168,1;12;1;3;21;21;17;82;100;
15,96,true,41106,150,11;1;3;71;14;16;23;100;
15,96,true,41124,95,3;3;14;4;3;56;3;100;
15,96,true,40990,183,10;4;1;13;61;84;100;
15,96,true,40935,135,9;16;2;24;4;25;15;29;100;
15,96,true,40789,155,2;2;1;1;10;4;16;1;15;23;12;14;20;19;100;
15,96,true,41079,173,1;4;72;81;8;100;
15,101,true,41032,181,1;2;1;4;1;5;23;21;1;80;29;100;
15,101,true,41047,107,6;8;4;6;76;100;
15,101,true,40977,153,1;24;28;92;100;
15,101,true,40998,201,3;2;12;88;28;24;25;9;100;
15,101,true,40886,188,1;6;1;14;2;24;79;27;21;100;
15,101,true,40889,262,5;3;4;10;64;11;98;26;25;2;100;
15,101,true,40618,302,1;3;4;1;27;2;18;83;15;14;28;21;12;5;21;29;100;
15,101,true,41214,54,1;9;40;100;
15,101,true,40999,153,4;7;3;6;29;92;2;100;
15,101,true,40791,171,5;1;25;10;4;86;22;8;100;
15,106,true,40929,170,4;33;12;29;9;75;100;
15,106,true,41160,149,9;3;5;15;4;7;6;91;100;
15,106,true,40790,155,3;29;22;21;9;8;3;28;11;1;1;1;100;
15,106,true,41182,152,8;2;4;7;47;28;12;12;2;6;11;100;
15,106,true,41037,145,3;5;4;19;19;16;17;9;21;19;100;
15,106,true,41046,118,2;4;1;6;7;3;63;3;5;10;100;
15,106,true,41049,167,25;8;15;10;16;4;80;100;
15,106,true,41218,20,1;12;1;100;
15,106,true,41001,177,5;13;1;4;4;10;19;19;92;100;
15,106,true,41020,208,1;2;9;10;17;16;10;92;24;14;100;
15,111,true,41206,33,25;5;100;
15,111,true,41045,291,48;70;1;16;66;82;100;
15,111,true,41012,189,1;7;10;9;1;5;14;19;96;14;100;
15,111,true,41056,141,4;7;48;55;21;100;
15,111,true,41094,142,6;27;11;2;5;84;100;
15,111,true,41076,135,1;1;3;1;24;8;3;6;7;4;65;100;
15,111,true,41019,130,9;10;3;89;10;100;
15,111,true,41022,58,3;8;16;13;11;100;
15,111,true,40994,91,8;3;19;14;6;19;12;100;
15,111,true,40785,71,1;6;1;7;2;3;9;21;10;100;
15,116,true,40821,246,1;1;15;6;19;6;95;94;100;
15,116,true,40745,114,5;4;2;18;21;27;3;25;100;
15,116,true,40991,63,1;4;2;10;10;12;14;100;
15,116,true,41105,287,9;3;1;1;12;1;11;9;65;95;67;100;
15,116,true,41090,73,7;13;12;18;4;4;7;100;
15,116,true,41224,114,4;13;21;49;12;3;3;100;
15,116,true,41128,78,7;9;5;21;27;1;100;
15,116,true,41261,26,1;1;5;12;100;
15,116,true,40708,198,5;16;2;1;17;26;17;14;21;17;28;20;100;
15,116,true,40894,240,1;3;15;54;20;59;22;24;8;20;100;
15,121,true,40758,152,5;2;4;1;9;26;16;4;74;100;
15,121,true,40732,151,3;12;6;15;13;25;1;1;28;6;29;100;
15,121,true,40699,266,1;6;1;8;54;89;2;7;3;5;78;100;
15,121,true,41334,140,20;52;64;100;
15,121,true,40733,274,3;2;1;43;17;87;86;22;100;
15,121,true,41128,73,1;12;5;11;14;10;4;4;100;
15,121,true,40930,133,3;1;19;8;64;11;16;100;
15,121,true,40978,156,2;1;14;18;8;3;10;86;2;100;
15,121,true,40967,197,1;2;1;4;2;4;41;28;80;22;100;
15,121,true,40786,166,1;1;8;7;3;85;28;23;100;
15,126,true,40812,293,2;2;18;2;8;46;27;11;62;19;55;28;100;
15,126,true,40607,217,5;1;23;24;2;27;15;17;21;23;19;24;100;
15,126,true,41019,206,4;4;9;10;9;6;63;90;100;
15,126,true,40937,117,1;8;15;2;7;3;23;8;18;2;17;100;
15,126,true,41029,158,2;9;6;22;23;1;24;7;11;29;4;6;100;
15,126,true,41018,158,5;3;5;27;1;29;1;77;100;
15,126,true,40839,150,1;7;9;16;10;4;94;100;
15,126,true,40868,200,2;2;9;5;63;5;29;12;27;3;28;100;
15,126,true,41028,19,1;5;2;5;100;
15,126,true,41080,268,1;2;2;3;5;15;13;27;90;98;100;
15,131,true,40815,91,1;11;3;4;66;100;
15,131,true,41020,84,3;6;1;3;64;100;
15,131,true,40998,138,2;1;8;1;84;17;16;100;
15,131,true,41013,242,2;1;2;1;23;44;75;14;68;100;
15,131,true,41225,36,1;4;15;4;5;100;
15,131,true,41193,74,5;2;50;12;100;
15,131,true,40815,160,2;3;24;12;2;1;79;14;11;100;
15,131,true,40792,54,3;1;2;11;14;13;100;
15,131,true,40827,83,3;11;2;16;15;26;100;
15,131,true,40887,225,2;4;1;78;3;2;90;25;7;100;
15,136,true,41108,86,2;10;11;55;100;
15,136,true,40964,144,2;4;3;94;14;3;13;100;
15,136,true,41058,86,2;15;3;20;5;10;6;12;3;100;
15,136,true,41181,91,5;5;1;6;64;100;
15,136,true,41165,102,5;3;25;4;17;4;34;100;
15,136,true,41020,95,6;13;1;19;18;6;22;100;
15,136,true,40936,234,6;1;1;14;5;28;80;88;100;
15,136,true,40684,141,3;2;69;22;10;9;18;100;
15,136,true,40892,241,3;7;4;13;84;22;98;100;
15,136,true,41083,90,13;1;2;1;7;59;100;
15,141,true,40969,144,8;2;1;5;7;14;28;67;100;
15,141,true,40791,162,1;2;20;9;99;23;100;
15,141,true,41260,26,23;100;
15,141,true,40644,79,1;6;3;28;3;24;5;100;
15,141,true,40997,74,2;1;1;2;3;13;2;7;23;8;100;
15,141,true,41042,140,3;9;16;7;1;6;12;28;27;7;10;100;
15,141,true,40900,48,1;1;6;3;16;10;2;100;
15,141,true,41120,41,4;9;3;1;4;9;3;100;
15,141,true,40635,244,3;6;11;5;5;3;9;22;96;26;27;17;100;
15,141,true,40947,193,3;1;7;3;6;1;64;1;95;100;
15,146,true,41038,143,2;1;18;3;53;58;100;
15,146,true,40664,299,8;5;9;14;8;81;27;65;71;100;
15,146,true,40924,57,2;2;7;12;22;3;100;
15,146,true,41093,26,1;1;10;8;100;
15,146,true,40915,220,3;1;3;25;1;26;21;27;1;3;96;100;
15,146,true,40824,174,2;12;2;4;3;2;64;21;28;21;100;
15,146,true,40846,99,5;4;9;4;2;5;15;10;9;9;12;100;
15,146,true,40635,196,6;1;8;78;1;5;1;12;74;100;
15,146,true,40959,165,1;8;8;16;16;3;70;19;10;100;
15,146,true,40645,215,3;28;4;10;15;14;20;94;11;4;100;
15,151,true,41012,41,6;4;21;5;100;
15,151,true,41104,83,1;3;4;1;29;9;28;100;
15,151,true,40824,210,4;11;1;14;8;56;93;14;100;
15,151,true,40812,159,1;12;2;15;15;90;14;100;
15,151,true,41173,37,1;1;18;12;100;
15,151,true,40823,217,1;78;25;98;2;2;100;
15,151,true,41133,23,1;17;100;
15,151,true,40622,412,6;8;12;17;6;7;24;1;65;97;6;21;19;9;4;85;5;100;
15,151,true,40983,137,2;23;62;9;25;9;100;
15,151,true,41096,61,1;4;1;5;5;11;4;17;1;100;
15,156,true,40995,164,1;4;5;58;9;80;100;
15,156,true,41020,68,12;4;3;1;23;15;100;
15,156,true,41074,47,2;15;9;7;7;100;
15,156,true,40650,116,4;4;28;3;2;17;28;12;7;100;
15,156,true,40909,255,1;10;12;10;2;58;25;9;22;20;15;57;100;
15,156,true,40874,69,26;21;1;1;9;1;2;100;
15,156,true,40866,210,28;89;22;7;21;13;19;100;
15,156,true,40762,221,10;5;2;11;28;69;2;16;20;8;10;27;100;
15,156,true,41139,97,2;6;7;17;1;21;4;27;100;
15,156,true,41082,76,3;1;1;8;9;4;4;22;14;100;
15,161,true,40922,141,1;3;40;13;76;100;
15,161,true,40794,422,1;1;1;13;7;6;70;12;59;7;73;72;83;100;
15,161,true,40883,156,2;6;24;70;22;6;17;100;
15,161,true,41143,92,1;1;4;9;1;5;1;54;4;100;
15,161,true,40699,223,1;12;15;21;18;73;19;20;5;27;100;
15,161,true,40691,272,4;5;20;28;16;23;4;12;72;77;100;
15,161,true,40439,363,2;2;1;1;21;26;4;2;12;26;87;13;5;27;10;11;3;13;24;1;14;4;26;100;
15,161,true,40888,94,2;11;4;5;64;100;
15,161,true,40837,184,2;3;26;2;20;10;27;82;100;
15,161,true,40942,62,3;3;1;6;8;23;7;100;
15,166,true,40840,150,1;8;1;5;70;6;29;21;100;
15,166,true,41049,54,3;4;1;4;1;14;6;11;100;
