NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,121,false,59649,28,2;12;100;
15,121,false,59176,36,1;1;12;1;9;100;
15,121,false,59414,13,1;3;100;
15,121,false,59856,40,1;2;26;100;
15,121,false,60162,82,1;57;12;100;
15,121,false,58683,36,1;1;1;5;17;100;
15,121,false,58698,264,1;14;5;33;19;32;42;48;52;1;100;
15,121,false,58592,110,23;39;36;100;
15,121,false,59400,104,1;1;10;9;74;100;
15,121,false,58855,45,1;33;100;
16,121,false,59592,79,1;1;21;43;100;
16,121,false,61183,17,1;1;5;100;
16,121,false,60468,8,1;100;
16,121,false,60561,30,16;2;100;
16,121,false,58139,10,100;
16,121,false,58192,132,1;95;23;100;
16,121,false,58522,89,1;1;1;24;53;100;
16,121,false,59137,70,1;1;4;23;17;8;100;
16,121,false,59450,22,7;6;100;
16,121,false,60475,72,1;1;1;2;51;5;100;
17,121,false,59567,37,1;4;6;7;3;100;
17,121,false,59928,12,1;1;1;1;100;
17,121,false,60860,60,2;10;12;22;100;
17,121,false,59268,16,1;1;4;100;
17,121,false,59546,153,5;5;17;14;50;48;100;
17,121,false,59330,49,3;1;4;29;100;
17,121,false,60138,94,1;42;37;100;
17,121,false,59369,11,2;1;2;100;
17,121,false,58904,67,1;1;1;55;100;
17,121,false,59717,108,2;1;3;7;8;70;100;
18,121,false,58961,29,3;16;100;
18,121,false,57626,67,2;1;13;40;100;
18,121,false,60054,43,1;1;5;24;100;
18,121,false,60206,229,1;6;18;46;10;20;22;90;100;
18,121,false,60149,86,1;31;37;7;100;
18,121,false,60023,87,2;3;1;4;1;22;39;100;
18,121,false,60358,219,1;1;1;5;2;11;16;85;9;75;100;
18,121,false,58160,164,1;1;1;4;12;11;9;4;3;53;49;100;
18,121,false,60367,13,1;5;100;
18,121,false,60836,43,9;3;20;100;
19,121,false,59599,121,1;1;28;16;64;100;
19,121,false,59907,57,1;2;10;2;16;15;100;
19,121,false,58596,211,1;2;3;2;18;72;17;23;57;100;
19,121,false,59718,105,1;2;4;25;60;100;
19,121,false,60122,59,1;33;13;100;
19,121,false,59448,89,1;6;1;67;100;
19,121,false,57678,66,1;3;13;31;6;100;
19,121,false,60596,66,5;2;38;10;100;
19,121,false,58789,82,1;1;11;22;36;100;
19,121,false,59055,196,2;1;6;13;1;8;15;85;46;100;
20,121,false,60929,51,1;1;21;16;100;
20,121,false,60581,106,2;2;2;6;14;1;61;100;
20,121,false,60538,191,14;4;5;24;7;30;77;14;100;
20,121,false,60936,139,1;2;13;2;4;10;46;6;39;100;
20,121,false,55865,174,3;1;26;4;84;40;100;
20,121,false,61079,39,8;20;100;
20,121,false,61286,63,1;1;1;10;37;100;
20,121,false,60267,16,1;1;2;100;
20,121,false,62097,15,1;100;
20,121,false,60249,162,23;8;40;20;30;28;100;
21,121,false,60700,30,1;2;14;100;
21,121,false,60010,126,1;1;3;55;56;100;
21,121,false,60622,45,7;3;1;21;100;
21,121,false,60379,152,1;1;10;27;11;87;100;
21,121,false,58676,280,1;1;1;35;14;77;58;76;100;
21,121,false,60701,22,4;6;100;
21,121,false,60400,76,1;1;3;4;22;32;100;
21,121,false,59658,13,3;1;100;
21,121,false,60055,118,1;35;9;61;100;
21,121,false,59763,52,1;1;29;9;100;
22,121,false,60606,66,2;5;2;44;100;
22,121,false,61326,11,1;100;
22,121,false,59254,98,1;1;6;14;62;100;
22,121,false,61209,35,1;1;2;11;8;100;
22,121,false,59547,153,1;26;1;40;1;6;62;100;
22,121,false,58075,149,1;1;2;41;81;10;100;
22,121,false,59139,11,100;
22,121,false,58849,30,5;13;100;
22,121,false,60287,79,1;4;34;6;22;100;
22,121,false,60639,111,1;1;1;6;4;5;38;19;20;100;
23,121,false,60169,119,3;12;10;40;40;100;
23,121,false,60458,16,1;4;100;
23,121,false,59987,16,4;100;
23,121,false,60868,115,3;1;38;14;34;10;100;
23,121,false,59959,9,1;1;100;
23,121,false,59777,30,1;8;12;100;
23,121,false,58366,197,1;5;91;89;100;
23,121,false,58895,78,1;30;28;4;100;
23,121,false,60345,102,1;8;21;16;45;100;
23,121,false,58908,100,1;1;75;13;100;
24,121,false,60119,97,2;1;3;39;9;29;100;
24,121,false,60320,247,1;8;9;33;33;26;20;27;71;100;
24,121,false,57820,329,1;1;9;3;3;16;79;83;81;33;100;
24,121,false,59274,11,1;100;
24,121,false,58468,93,84;100;
24,121,false,60729,24,1;1;6;6;100;
24,121,false,59635,130,1;2;1;23;16;75;100;
24,121,false,59981,200,1;10;2;28;72;74;100;
24,121,false,60195,10,100;
24,121,false,60115,72,1;2;1;10;28;16;100;
25,121,false,58224,286,1;68;50;82;72;100;
25,121,false,58820,24,3;1;1;6;100;
25,121,false,59270,182,1;27;25;42;74;100;
25,121,false,60234,97,3;43;40;100;
25,121,false,59371,22,1;1;1;2;4;100;
25,121,false,59448,21,7;3;100;
25,121,false,59810,112,1;1;2;11;10;60;10;100;
25,121,false,60050,46,20;3;10;100;
25,121,false,58924,134,2;2;3;5;34;7;49;15;100;
25,121,false,59988,67,1;4;7;45;100;
26,121,false,59425,45,2;2;28;100;
26,121,false,59985,239,1;1;2;21;23;52;25;11;47;39;100;
26,121,false,60431,17,1;4;1;100;
26,121,false,61032,17,1;3;2;100;
26,121,false,60311,27,1;14;100;
26,121,false,59981,130,1;5;5;53;2;16;19;14;100;
26,121,false,60488,80,1;1;2;32;33;100;
26,121,false,58506,30,8;1;7;3;100;
26,121,false,59758,25,4;8;100;
26,121,false,58837,32,1;1;9;8;100;
27,121,false,59659,20,1;2;2;2;100;
27,121,false,58948,62,1;1;41;10;100;
27,121,false,60894,30,3;15;100;
27,121,false,58624,75,5;13;2;29;12;100;
27,121,false,58956,105,1;2;11;4;28;6;38;100;
27,121,false,59102,270,2;2;4;8;5;7;8;23;22;31;35;7;95;100;
27,121,false,59140,90,1;5;7;5;7;15;34;100;
27,121,false,57718,44,2;3;14;13;100;
27,121,false,60521,15,1;5;100;
27,121,false,59580,21,2;2;1;4;100;
28,121,false,60347,35,1;1;6;16;100;
28,121,false,58960,49,1;1;3;5;29;100;
28,121,false,59837,111,2;9;3;5;61;18;100;
28,121,false,59164,116,2;2;15;1;25;58;100;
28,121,false,59752,213,1;1;13;44;44;73;21;100;
28,121,false,59445,21,5;2;1;1;100;
28,121,false,60206,18,1;2;3;100;
28,121,false,59907,17,1;6;100;
28,121,false,59301,188,1;1;1;12;35;98;27;100;
28,121,false,60658,12,1;100;
29,121,false,59552,43,13;19;100;
29,121,false,59497,125,1;1;36;26;3;28;17;100;
29,121,false,59190,69,1;2;54;100;
29,121,false,58051,220,1;4;28;30;80;54;10;100;
29,121,false,58262,225,1;9;40;65;96;100;
29,121,false,60327,73,2;12;1;9;36;100;
29,121,false,60738,29,2;1;13;100;
29,121,false,60543,18,2;2;3;100;
29,121,false,58255,84,1;2;1;2;37;8;6;10;100;
29,121,false,59250,188,1;1;5;2;4;76;37;27;17;100;
30,121,false,59536,33,1;3;18;100;
30,121,false,60101,255,1;1;2;16;14;38;23;76;47;21;100;
30,121,false,61281,18,2;2;2;100;
30,121,false,60632,151,1;1;6;6;3;4;74;26;15;100;
30,121,false,60495,26,2;6;4;100;
30,121,false,59171,52,41;100;
30,121,false,60329,38,1;1;26;100;
30,121,false,59393,125,1;5;3;1;22;3;8;65;100;
30,121,false,57862,169,2;1;3;9;21;57;61;100;
30,121,false,58429,74,1;10;5;2;20;4;15;100;
31,121,false,60440,94,1;1;16;15;14;18;16;100;
31,121,false,58875,72,1;3;2;3;1;21;26;100;
31,121,false,59581,174,2;1;5;5;61;60;26;100;
31,121,false,59386,110,1;8;82;5;100;
31,121,false,60125,22,1;5;4;100;
31,121,false,60121,184,2;5;2;4;31;2;1;38;28;27;25;100;
31,121,false,58219,34,1;19;100;
31,121,false,58296,56,2;2;1;33;4;100;
31,121,false,59255,171,1;1;1;6;2;81;65;100;
31,121,false,60542,93,2;1;1;7;9;62;100;
32,121,false,58911,112,1;23;78;100;
32,121,false,60574,41,1;1;3;2;17;1;100;
32,121,false,60448,47,3;1;1;32;100;
32,121,false,59722,131,1;1;1;5;48;61;100;
32,121,false,58122,39,1;6;11;7;100;
32,121,false,59104,67,1;4;1;1;1;45;100;
32,121,false,59978,94,1;7;17;6;50;100;
32,121,false,58676,108,1;1;2;6;39;33;13;100;
32,121,false,58666,26,1;2;7;1;100;
32,121,false,60252,28,4;13;100;
33,121,false,59783,60,1;1;5;21;21;100;
33,121,false,60478,162,2;1;1;2;4;11;3;2;11;13;91;100;
33,121,false,58930,62,2;24;25;100;
33,121,false,59774,142,2;1;4;5;31;84;100;
33,121,false,60278,26,1;1;1;2;9;100;
33,121,false,59687,38,4;4;7;11;100;
33,121,false,59762,163,1;1;3;5;95;13;30;100;
33,121,false,60128,47,5;3;1;18;5;100;
33,121,false,59386,170,1;1;2;3;3;3;10;1;65;64;100;
33,121,false,60507,83,1;2;10;13;19;25;100;
34,121,false,59229,26,2;1;8;100;
34,121,false,59412,58,2;8;1;4;6;1;6;2;11;100;
