NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,121,true,53275,32,3;1;4;14;4;100;
15,121,true,53420,132,5;27;24;6;63;100;
15,121,true,53286,123,5;6;5;36;3;19;40;100;
15,121,true,53045,107,4;2;30;16;48;100;
15,121,true,52996,107,5;22;15;13;45;100;
15,121,true,53078,52,1;5;41;100;
15,121,true,53027,41,6;29;100;
15,121,true,53263,81,1;1;14;15;26;14;100;
15,121,true,53299,17,1;2;1;3;4;100;
15,121,true,53152,120,31;85;100;
16,121,true,53301,30,2;19;100;
16,121,true,53172,98,1;2;1;1;18;5;7;52;100;
16,121,true,52831,204,1;1;9;23;4;65;4;18;69;100;
16,121,true,53345,27,1;7;4;9;100;
16,121,true,53147,220,2;3;2;7;2;76;94;24;100;
16,121,true,53210,114,1;1;6;4;55;21;16;100;
16,121,true,53350,199,3;1;1;9;17;28;52;8;6;62;100;
16,121,true,53311,16,1;1;1;4;100;
16,121,true,53193,47,2;3;35;100;
16,121,true,53108,47,1;1;1;2;35;100;
17,121,true,53155,65,1;5;54;100;
17,121,true,52941,42,15;6;16;100;
17,121,true,53018,34,1;7;6;14;100;
17,121,true,53232,113,1;2;3;10;15;71;100;
17,121,true,53316,110,3;9;6;86;100;
17,121,true,53149,47,1;6;24;11;100;
17,121,true,53147,18,1;1;6;4;100;
17,121,true,53364,73,2;5;15;4;40;100;
17,121,true,53205,26,1;1;7;11;100;
17,121,true,53347,25,1;4;4;8;100;
18,121,true,53307,51,1;4;6;33;100;
18,121,true,53265,39,2;25;1;5;100;
18,121,true,53403,21,3;7;6;100;
18,121,true,53150,73,4;3;10;49;100;
18,121,true,53454,21,3;1;8;100;
18,121,true,53257,93,2;10;24;46;100;
18,121,true,53076,96,1;7;15;64;100;
18,121,true,53104,114,1;2;2;2;5;12;79;100;
18,121,true,53049,72,2;2;63;100;
18,121,true,53490,7,1;1;100;
19,121,true,53419,8,1;4;100;
19,121,true,53447,85,1;8;11;59;100;
19,121,true,53158,36,4;13;14;100;
19,121,true,53213,49,3;5;1;3;29;100;
19,121,true,53157,44,2;1;2;28;3;100;
19,121,true,53039,143,1;2;7;3;53;70;100;
19,121,true,53527,33,1;3;6;15;100;
19,121,true,53369,54,1;14;31;2;100;
19,121,true,53223,41,1;2;8;23;100;
19,121,true,53235,15,2;3;3;100;
20,121,true,53257,56,1;2;6;6;3;2;27;100;
20,121,true,53271,236,3;92;40;55;37;100;
20,121,true,53248,42,2;30;4;100;
20,121,true,53137,120,3;5;28;51;25;100;
20,121,true,53435,63,3;2;2;1;2;2;10;31;100;
20,121,true,53371,52,1;6;1;28;8;100;
20,121,true,53452,177,1;2;1;8;20;9;48;76;100;
20,121,true,53228,45,1;3;1;1;6;2;21;100;
20,121,true,53449,47,1;1;2;23;8;3;100;
20,121,true,53406,36,1;1;28;100;
21,121,true,53173,110,2;1;11;1;11;45;31;100;
21,121,true,53164,53,4;2;14;27;100;
21,121,true,53201,61,5;22;27;100;
21,121,true,53002,73,10;59;100;
21,121,true,53083,198,2;3;13;23;8;60;81;100;
21,121,true,52999,82,1;4;7;9;16;36;100;
21,121,true,53418,48,1;6;8;4;19;100;
21,121,true,53419,47,1;1;37;100;
21,121,true,53147,60,1;2;1;2;28;18;100;
21,121,true,53521,83,1;1;3;2;1;5;5;54;100;
22,121,true,53156,49,1;2;1;2;35;100;
22,121,true,53029,126,3;7;53;57;100;
22,121,true,53260,154,2;5;35;45;59;100;
22,121,true,53442,64,1;2;7;17;3;24;100;
22,121,true,53094,143,1;6;37;16;34;41;100;
22,121,true,53273,104,6;9;14;53;15;100;
22,121,true,53304,99,3;30;15;27;16;100;
22,121,true,53130,122,1;2;13;98;100;
22,121,true,53113,122,2;11;57;46;100;
22,121,true,53079,11,1;1;1;2;100;
23,121,true,53219,30,3;14;5;100;
23,121,true,53286,31,2;1;6;5;9;100;
23,121,true,53480,17,1;4;7;100;
23,121,true,53219,42,1;1;2;5;26;100;
23,121,true,53259,39,3;5;19;5;100;
23,121,true,53520,16,2;2;2;3;100;
23,121,true,53185,79,1;3;11;10;13;31;100;
23,121,true,53080,19,1;2;1;2;6;100;
23,121,true,53231,253,2;8;5;2;11;19;22;96;42;30;100;
23,121,true,53133,35,1;3;7;16;100;
24,121,true,53386,36,1;7;9;10;100;
24,121,true,53330,107,1;9;1;91;100;
24,121,true,53397,77,1;2;62;7;100;
24,121,true,53412,121,3;2;28;62;1;13;100;
24,121,true,53262,28,1;1;7;6;4;100;
24,121,true,53094,41,3;1;10;8;12;100;
24,121,true,53343,11,1;6;100;
24,121,true,53300,54,3;1;6;10;17;7;100;
24,121,true,53233,122,1;1;1;2;19;1;74;9;100;
24,121,true,53008,218,1;2;5;64;50;3;81;100;
25,121,true,53531,11,6;100;
25,121,true,53103,109,1;4;7;77;13;100;
25,121,true,53116,150,1;1;99;37;6;100;
25,121,true,53358,12,1;6;100;
25,121,true,53295,47,1;5;3;16;7;6;100;
25,121,true,53146,96,2;2;2;2;57;21;100;
25,121,true,53166,106,1;8;4;87;100;
25,121,true,53250,5,100;
25,121,true,53269,6,1;1;100;
25,121,true,53239,100,10;6;6;26;45;100;
26,121,true,53358,28,1;1;21;100;
26,121,true,53126,75,1;1;1;3;6;7;6;39;100;
26,121,true,53357,11,1;3;100;
26,121,true,53233,144,2;4;10;20;91;8;100;
26,121,true,53338,27,7;14;100;
26,121,true,53077,254,1;4;19;19;15;91;96;100;
26,121,true,53034,88,1;3;29;49;100;
26,121,true,53037,124,2;1;1;20;1;10;74;3;100;
26,121,true,53345,62,5;54;100;
26,121,true,53186,133,2;1;23;4;28;63;100;
27,121,true,53338,47,1;3;2;1;9;13;8;100;
27,121,true,53267,44,3;1;5;24;100;
27,121,true,53319,71,5;2;7;51;100;
27,121,true,53325,49,1;2;4;3;19;11;100;
27,121,true,53171,105,1;16;54;28;100;
27,121,true,53031,89,6;1;27;50;100;
27,121,true,53318,63,3;1;50;1;100;
27,121,true,53324,47,3;39;100;
27,121,true,53300,39,4;1;2;14;4;5;100;
27,121,true,53346,97,1;2;87;100;
28,121,true,53270,25,1;1;1;1;1;13;100;
28,121,true,53468,29,1;2;2;19;100;
28,121,true,53364,17,1;9;1;100;
28,121,true,53188,43,1;4;13;17;100;
28,121,true,53302,68,1;1;8;52;100;
28,121,true,53274,228,1;3;1;2;18;36;86;71;100;
28,121,true,52909,28,1;1;5;1;12;100;
28,121,true,53282,73,1;1;9;3;1;23;25;100;
28,121,true,53349,33,4;22;100;
28,121,true,53354,21,1;2;5;2;2;1;100;
29,121,true,53258,298,1;3;2;35;8;8;8;11;20;9;22;95;48;6;100;
29,121,true,53170,18,1;10;2;100;
29,121,true,53395,34,14;16;100;
29,121,true,52969,215,1;4;2;1;38;7;39;96;14;100;
29,121,true,53527,86,4;4;35;36;100;
29,121,true,53354,40,3;13;20;100;
29,121,true,53273,59,1;1;20;28;100;
29,121,true,53172,151,2;92;51;100;
29,121,true,53232,249,2;8;4;17;60;96;15;36;100;
29,121,true,53288,75,2;2;9;23;16;15;100;
30,121,true,53303,13,2;4;100;
30,121,true,53334,15,1;1;4;4;100;
