NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,59292,280,9;3;1;1;2;3;12;1;90;2;50;19;70;100;
15,1,false,65034,55,7;3;2;5;5;6;14;100;
15,1,false,58777,204,2;3;2;3;8;3;5;2;34;11;34;29;15;36;100;
15,1,false,57983,257,2;3;10;1;2;5;3;4;12;99;13;6;9;72;100;
15,1,false,64944,83,1;5;1;5;4;10;11;35;100;
15,1,false,64467,72,1;9;1;10;3;3;4;14;3;8;3;100;
15,1,false,62916,314,1;2;11;3;25;2;12;69;51;50;44;30;100;
15,1,false,66779,64,5;5;5;12;4;4;1;13;2;100;
15,1,false,63645,124,6;4;11;2;14;1;1;1;3;3;37;26;100;
15,1,false,60897,248,2;1;1;1;9;3;10;2;10;5;80;45;30;33;100;
15,6,false,62029,170,1;1;2;3;7;3;11;2;5;1;8;19;93;100;
15,6,false,60556,236,2;2;4;9;2;8;4;1;3;3;29;61;92;100;
15,6,false,63213,64,1;1;2;6;5;8;8;3;15;2;100;
15,6,false,62320,44,1;4;1;1;1;1;1;4;5;2;5;100;
15,6,false,61541,144,1;3;1;3;6;1;15;8;8;33;48;100;
15,6,false,59071,315,6;1;3;1;3;1;6;2;62;11;2;25;9;95;65;100;
15,6,false,58820,272,2;1;3;3;1;2;2;6;3;8;4;2;8;6;11;46;71;40;4;15;3;100;
15,6,false,62072,104,3;3;2;2;6;3;6;2;2;21;40;100;
15,6,false,60620,218,1;2;1;6;1;3;1;3;1;13;1;28;14;9;16;12;85;100;
15,6,false,61392,53,4;3;3;3;2;3;4;8;4;2;100;
15,11,false,61026,151,2;3;1;1;2;2;1;3;3;2;6;10;1;4;65;25;100;
15,11,false,61143,46,1;4;5;1;3;1;1;4;5;8;100;
15,11,false,60403,74,2;5;2;3;5;2;2;1;5;4;3;3;18;100;
15,11,false,59025,73,2;1;2;4;2;1;1;7;14;19;3;100;
15,11,false,59117,359,6;2;4;1;4;2;3;1;1;21;1;31;91;57;3;30;28;18;31;100;
15,11,false,61322,137,3;1;4;4;10;3;10;20;4;63;100;
15,11,false,60200,222,1;6;1;1;1;5;2;1;4;1;25;62;91;100;
15,11,false,56675,322,1;3;3;1;2;5;2;1;3;9;1;8;4;6;24;51;59;54;50;9;100;
15,11,false,60214,140,1;1;4;6;6;10;10;26;62;100;
