NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,53622,122,1;2;5;3;9;5;15;38;33;100;
15,1,true,53200,182,5;3;3;4;11;1;16;27;16;84;100;
15,1,true,53536,100,1;21;6;1;7;55;100;
15,1,true,54200,126,1;1;22;96;100;
15,1,true,54168,34,3;28;100;
15,1,true,54292,136,1;9;16;11;13;25;53;100;
15,1,true,53684,82,1;14;31;30;100;
15,1,true,53958,38,29;5;100;
15,1,true,53744,121,22;41;15;37;100;
15,1,true,53425,209,60;8;36;98;100;
15,6,true,53532,185,6;5;2;1;1;10;14;19;43;72;100;
15,6,true,53786,22,2;4;5;4;100;
15,6,true,53395,95,38;2;12;36;100;
15,6,true,53624,77,2;2;26;42;100;
15,6,true,53652,55,2;3;3;4;6;3;26;100;
15,6,true,53032,329,3;20;22;20;93;94;68;100;
15,6,true,53342,69,1;3;4;8;44;100;
15,6,true,53302,64,10;4;16;20;2;5;100;
15,6,true,53498,51,3;30;4;1;7;100;
15,6,true,53414,38,2;4;1;25;100;
15,11,true,53252,147,2;14;17;2;36;59;9;100;
15,11,true,53184,133,4;1;5;15;2;5;10;31;33;8;6;100;
15,11,true,53143,38,5;26;100;
15,11,true,53675,33,2;13;14;100;
15,11,true,53285,263,1;6;4;17;2;84;79;59;100;
15,11,true,53200,74,15;4;19;5;23;100;
15,11,true,53181,191,4;1;6;3;6;13;4;15;5;5;25;90;100;
15,11,true,53300,113,7;14;7;4;15;3;54;100;
15,11,true,53178,231,8;37;28;71;18;22;39;100;
15,11,true,53356,72,3;5;1;6;6;10;33;100;
15,16,true,53035,250,1;6;19;14;9;27;66;76;21;100;
15,16,true,52823,213,9;33;11;1;36;61;53;100;
15,16,true,53100,163,6;59;3;1;7;7;39;32;100;
15,16,true,53049,111,1;1;4;1;9;2;21;1;61;100;
15,16,true,53180,357,4;1;3;10;2;26;18;85;69;91;35;100;
15,16,true,53009,197,1;9;14;2;20;6;5;12;23;4;21;67;100;
15,16,true,53166,205,4;1;9;33;69;16;60;4;100;
15,16,true,53010,175,8;8;14;31;10;95;100;
15,16,true,53114,173,4;6;7;3;1;22;3;33;8;4;70;100;
15,16,true,53017,287,3;6;5;3;9;20;78;27;75;34;15;100;
15,21,true,53321,52,2;4;18;10;10;100;
15,21,true,52923,193,1;2;1;10;16;35;33;19;64;100;
15,21,true,53187,122,2;1;1;2;3;19;19;49;15;100;
15,21,true,53077,225,6;22;16;8;16;2;10;17;22;27;66;100;
