NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,2941,25,1;5;5;2;3;100;
15,1,true,2985,79,5;1;2;25;2;4;32;100;
15,1,true,2996,29,6;16;100;
15,1,true,2968,140,1;1;15;8;5;78;22;100;
15,1,true,2986,104,1;2;2;5;7;16;61;100;
15,1,true,2995,94,1;1;2;1;2;2;25;50;100;
15,1,true,2984,107,1;3;6;3;77;7;100;
15,1,true,2999,73,5;3;4;8;43;2;100;
15,1,true,2993,46,1;4;1;3;17;7;2;100;
15,1,true,2943,16,1;6;3;100;
15,11,true,3016,34,1;3;1;14;5;100;
15,11,true,2984,105,2;2;1;92;100;
15,11,true,2996,17,1;8;2;100;
15,11,true,3024,21,4;1;4;3;100;
15,11,true,3033,64,1;1;3;51;100;
15,11,true,3012,8,3;100;
15,11,true,3032,10,2;1;1;100;
15,11,true,2993,41,1;3;30;100;
15,11,true,3061,15,2;1;6;100;
15,11,true,3044,5,1;100;
15,21,true,2990,11,1;3;100;
15,21,true,2960,25,1;4;15;100;
15,21,true,3012,42,1;3;8;20;100;
15,21,true,2996,39,1;32;100;
15,21,true,3009,50,2;2;10;26;100;
15,21,true,2992,12,1;1;1;100;
15,21,true,2994,8,1;1;100;
15,21,true,3009,89,1;1;1;32;45;100;
15,21,true,3008,16,1;1;4;5;100;
15,21,true,3004,36,2;1;1;25;100;
15,31,true,3031,38,1;1;3;25;100;
15,31,true,2994,78,1;2;65;100;
15,31,true,3002,42,1;2;31;100;
15,31,true,2992,69,6;1;12;44;100;
15,31,true,3001,25,4;10;3;100;
15,31,true,2950,28,1;3;1;16;100;
15,31,true,2997,5,1;100;
15,31,true,2967,11,2;1;2;100;
15,31,true,2993,63,1;2;52;100;
15,31,true,3006,8,2;100;
15,41,true,2975,98,2;1;3;4;80;100;
15,41,true,2968,15,2;3;1;2;100;
15,41,true,3011,64,1;2;55;100;
15,41,true,2993,71,1;3;2;2;27;26;100;
15,41,true,2974,13,3;100;
15,41,true,2985,14,2;5;1;100;
15,41,true,3013,25,1;1;2;12;100;
15,41,true,2980,12,1;2;100;
15,41,true,2965,243,1;1;3;77;56;97;100;
15,41,true,2992,26,1;1;4;12;100;
15,51,true,2999,13,1;7;100;
15,51,true,2932,60,1;5;46;100;
15,51,true,2980,23,1;3;2;7;100;
15,51,true,2984,13,1;2;1;1;100;
15,51,true,2983,66,1;8;21;25;100;
15,51,true,2988,80,3;1;70;100;
15,51,true,2981,10,1;3;100;
15,51,true,2989,68,1;9;49;100;
15,51,true,2978,19,1;2;2;6;100;
15,51,true,2992,44,2;2;4;31;100;
15,61,true,2965,63,2;5;2;6;34;100;
15,61,true,2968,81,2;23;46;100;
15,61,true,2984,81,1;1;72;100;
15,61,true,2957,24,1;5;6;5;100;
15,61,true,2960,31,1;1;1;19;100;
15,61,true,2985,12,1;100;
15,61,true,2956,10,1;1;2;100;
15,61,true,2967,80,1;2;13;4;49;100;
15,61,true,2985,161,2;1;1;70;80;100;
15,61,true,2988,13,2;4;100;
15,71,true,2976,40,2;1;3;24;100;
15,71,true,2974,23,3;2;11;100;
15,71,true,2957,70,3;1;60;100;
15,71,true,2955,14,2;2;4;100;
15,71,true,2981,49,1;2;36;100;
15,71,true,2947,72,3;61;100;
15,71,true,2948,77,1;6;62;100;
