NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,4592,52,1;1;2;1;40;100;
15,1,false,4248,20,6;4;4;100;
15,1,false,4319,11,6;100;
15,1,false,4466,11,1;5;100;
15,1,false,4363,162,3;3;1;53;21;72;100;
15,1,false,4518,89,1;4;8;1;17;5;10;3;16;10;100;
15,1,false,4282,17,7;3;100;
15,1,false,4166,15,2;1;2;100;
15,1,false,4372,29,1;2;1;6;2;6;1;100;
15,1,false,4371,51,4;1;40;100;
15,11,false,3974,12,4;100;
15,11,false,3765,205,1;4;1;3;12;3;26;6;19;9;96;9;100;
15,11,false,3891,13,2;4;100;
15,11,false,3743,18,3;1;2;1;100;
15,11,false,3852,39,4;1;1;22;100;
15,11,false,3676,93,5;1;2;21;39;11;100;
15,11,false,3661,190,2;1;34;11;95;27;100;
15,11,false,3905,13,2;3;1;100;
15,11,false,3849,14,5;1;100;
15,11,false,3852,38,1;2;15;2;3;100;
15,21,false,3509,115,1;3;1;15;6;24;3;1;9;29;6;100;
15,21,false,3491,297,1;2;2;1;90;73;15;80;18;100;
15,21,false,3520,55,5;1;38;100;
15,21,false,3675,16,2;1;1;100;
15,21,false,3576,97,3;2;1;13;14;6;5;2;1;12;9;11;100;
15,21,false,3602,171,1;4;8;3;71;46;10;13;100;
15,21,false,3603,165,1;2;1;3;12;3;10;3;1;9;26;33;15;26;100;
15,21,false,3619,45,3;2;22;100;
15,21,false,3640,297,2;2;1;2;27;68;20;19;89;1;51;100;
15,21,false,3487,202,5;1;2;17;2;4;3;5;63;37;3;5;30;100;
15,31,false,3447,96,1;3;1;10;45;6;1;2;1;1;2;100;
15,31,false,3462,256,5;2;2;1;5;68;26;12;3;2;35;9;15;16;19;1;1;7;100;
15,31,false,3633,18,7;2;2;100;
15,31,false,3243,918,3;4;1;8;4;46;11;4;6;7;30;24;2;1;3;91;4;52;3;12;5;23;22;21;43;23;82;2;8;21;1;64;24;92;9;15;10;83;4;100;
15,31,false,3463,528,5;2;18;10;23;95;32;4;3;52;9;14;3;9;57;6;13;2;40;82;18;100;
15,31,false,3817,93,1;3;48;5;18;4;100;
15,31,false,3578,196,3;1;1;1;45;15;9;2;92;12;100;
15,31,false,3668,47,5;1;30;100;
15,31,false,3411,402,1;3;1;3;1;20;9;46;5;11;5;3;16;26;5;17;7;5;38;14;60;1;33;6;27;100;
15,31,false,3444,182,7;2;7;4;40;3;55;4;12;25;2;100;
15,41,false,3619,15,1;2;1;100;
15,41,false,3470,346,1;1;2;19;1;2;13;1;10;3;50;14;49;44;35;79;100;
15,41,false,3374,241,6;3;1;1;4;1;2;1;4;3;1;29;95;54;13;100;
15,41,false,3514,135,1;4;1;4;2;43;2;1;59;100;
15,41,false,3463,108,2;4;1;1;1;2;27;7;48;100;
15,41,false,3616,85,6;70;100;
15,41,false,3491,50,6;2;4;1;3;1;1;1;13;100;
15,41,false,3726,13,1;4;100;
15,41,false,3583,108,4;2;78;1;11;100;
