NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,2948,48,4;2;5;16;2;1;100;
15,1,true,2945,37,7;1;1;2;2;6;6;2;100;
15,1,true,2897,261,3;5;1;1;12;4;6;12;10;1;11;33;88;12;13;21;7;100;
15,1,true,2915,36,4;1;1;2;3;10;2;100;
15,1,true,2925,28,8;1;1;3;2;3;100;
15,1,true,2933,144,8;8;3;1;3;4;38;67;100;
15,1,true,2962,33,4;1;1;1;1;2;1;11;100;
15,1,true,2918,29,8;4;6;2;100;
15,1,true,2984,51,1;6;1;1;1;23;5;2;100;
15,1,true,2953,255,6;1;2;2;12;9;38;22;20;14;31;84;100;
15,11,true,2893,167,8;1;1;18;44;27;51;100;
15,11,true,2864,107,2;1;1;1;1;15;66;100;
15,11,true,2860,37,6;1;2;3;1;100;
15,11,true,2881,111,4;2;7;80;100;
15,11,true,2882,37,2;3;1;3;1;1;1;4;100;
15,11,true,2866,25,1;5;2;1;100;
15,11,true,2899,22,5;1;1;100;
15,11,true,2876,31,2;5;1;1;1;1;3;100;
15,11,true,2913,25,1;4;1;1;3;100;
15,11,true,2875,46,8;1;1;6;3;1;2;1;1;2;1;100;
15,21,true,2790,645,5;1;1;1;1;1;3;2;17;1;1;14;28;21;11;10;6;51;2;14;1;89;2;11;18;1;33;10;11;13;57;56;2;42;21;35;100;
15,21,true,2849,64,6;1;1;35;1;100;
15,21,true,2847,61,7;2;1;1;1;2;4;5;2;3;2;100;
15,21,true,2857,36,1;2;2;1;2;2;4;1;1;1;100;
15,21,true,2816,34,7;1;1;2;2;1;2;100;
15,21,true,2888,95,7;1;1;3;15;3;51;100;
15,21,true,2830,55,1;2;1;1;2;1;1;1;4;10;100;
15,21,true,2853,29,1;1;2;1;1;2;2;1;100;
15,21,true,2855,65,3;4;1;1;1;1;1;2;8;4;5;2;100;
15,21,true,2859,61,1;4;1;2;1;29;100;
15,31,true,2807,54,7;1;1;4;1;1;1;3;5;100;
15,31,true,2824,36,2;3;1;1;5;100;
15,31,true,2833,34,8;1;2;1;4;100;
15,31,true,2847,26,4;1;1;1;2;100;
15,31,true,2827,70,1;6;1;5;1;2;1;1;2;7;4;2;1;2;2;6;1;100;
15,31,true,2833,123,8;1;1;1;1;1;1;1;2;5;22;13;1;4;1;3;1;24;100;
15,31,true,2826,82,1;5;1;1;1;1;1;1;2;39;100;
15,31,true,2824,38,4;2;1;1;1;3;2;1;1;1;100;
15,31,true,2845,32,3;1;2;2;1;1;2;2;1;100;
15,31,true,2817,93,1;4;1;1;1;1;1;1;1;1;5;9;8;11;9;100;
15,41,true,2792,192,5;3;1;2;1;1;1;1;1;5;3;1;1;2;2;3;3;1;1;2;1;6;87;8;100;
15,41,true,2812,95,4;1;1;1;1;1;2;2;4;47;100;
15,41,true,2817,63,2;3;2;1;2;1;1;1;1;3;10;1;4;5;100;
15,41,true,2792,275,2;2;1;1;2;7;1;2;1;2;1;1;7;8;10;12;1;1;6;8;5;1;5;4;35;5;47;13;1;1;27;2;100;
15,41,true,2825,83,7;1;1;2;1;3;1;1;8;1;3;3;2;2;2;1;2;1;4;100;
15,41,true,2821,51,6;1;2;1;1;3;4;5;100;
15,41,true,2802,255,2;5;1;2;2;1;1;1;1;1;3;1;13;8;2;23;4;1;3;7;1;1;1;2;10;1;34;50;29;100;
15,41,true,2810,87,6;1;1;1;2;2;3;9;5;1;19;4;2;100;
15,41,true,2812,86,1;6;2;1;1;1;1;1;2;3;4;1;1;10;6;10;5;100;
15,41,true,2823,33,3;2;1;1;1;1;100;
15,51,true,2793,85,1;4;1;2;1;1;2;1;1;1;2;1;3;1;2;1;1;1;1;1;1;2;6;6;1;100;
15,51,true,2800,98,2;1;2;1;1;2;1;2;3;4;7;8;1;6;19;1;100;
15,51,true,2806,115,6;1;1;1;2;1;1;1;1;1;5;1;6;1;10;9;3;34;100;
15,51,true,2796,120,6;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;9;35;6;2;100;
15,51,true,2816,186,1;2;1;2;1;2;6;2;2;1;1;1;5;19;2;1;39;56;100;
15,51,true,2815,70,6;1;1;1;2;4;4;1;1;1;1;6;2;1;8;100;
15,51,true,2791,206,2;2;1;1;1;1;1;2;4;2;1;1;11;2;1;7;11;2;1;2;4;2;3;22;76;1;100;
15,51,true,2801,142,3;2;2;1;3;1;4;2;2;13;16;7;1;11;6;6;13;12;100;
15,51,true,2795,70,8;1;1;4;1;2;8;2;1;2;3;1;4;1;100;
15,51,true,2799,76,8;1;1;3;2;2;1;2;19;1;1;1;100;
15,61,true,2815,81,6;1;1;3;4;6;5;6;1;5;1;1;2;3;7;100;
15,61,true,2788,196,3;2;2;1;3;2;1;1;1;1;1;1;2;1;9;1;7;2;5;10;4;12;9;1;4;2;1;15;38;100;
15,61,true,2812,67,6;1;3;1;1;1;1;1;2;1;4;2;1;3;2;100;
15,61,true,2793,268,5;1;1;4;1;2;13;3;1;17;10;2;77;21;26;5;11;36;100;
15,61,true,2791,153,1;5;1;1;1;1;1;2;1;1;2;2;1;3;6;6;1;1;15;29;26;8;100;
15,61,true,2804,89,3;3;2;1;1;1;1;1;3;4;1;5;5;1;8;1;1;4;1;8;100;
15,61,true,2786,158,8;1;1;1;1;4;4;2;1;5;2;5;3;1;1;1;10;30;8;6;20;100;
15,61,true,2790,79,5;1;1;1;1;2;1;1;2;1;1;3;2;5;1;1;2;1;9;100;
15,61,true,2813,82,1;5;1;2;1;2;1;4;3;1;2;1;2;32;100;
15,61,true,2784,137,2;1;1;1;1;1;1;2;1;1;1;1;3;4;4;8;12;2;3;16;3;3;10;17;100;
15,71,true,2792,238,1;3;1;1;6;1;3;2;1;12;4;4;3;2;5;2;1;1;6;13;5;1;9;2;93;2;14;100;
15,71,true,2781,470,7;2;2;4;3;8;5;1;4;3;7;5;12;4;1;1;10;1;2;23;40;26;49;77;9;53;4;12;26;2;3;18;100;
15,71,true,2781,462,3;3;1;2;2;4;3;3;3;1;3;1;1;1;1;1;4;2;4;7;4;4;1;2;3;14;6;52;16;16;38;3;6;37;61;92;100;
15,71,true,2801,431,1;1;2;1;1;1;1;1;2;2;1;4;2;3;9;3;11;22;9;43;56;24;2;35;45;51;54;100;
15,71,true,2792,257,3;3;2;1;1;2;1;2;2;4;2;4;2;1;3;1;5;2;5;97;73;100;
15,71,true,2791,175,2;3;1;1;1;3;1;1;1;1;1;3;2;2;2;1;11;3;10;32;15;2;5;9;22;100;
15,71,true,2787,69,1;1;4;1;1;1;2;1;1;2;2;1;2;1;1;11;2;100;
15,71,true,2798,111,5;1;1;2;1;3;2;1;5;1;8;3;1;1;18;6;13;4;1;100;
15,71,true,2809,56,6;1;1;1;4;6;14;100;
15,71,true,2782,268,1;5;1;1;2;1;1;1;4;1;1;2;13;2;6;2;5;4;1;6;4;20;80;59;3;100;
15,81,true,2787,135,5;1;2;3;3;1;1;1;1;3;1;1;3;4;2;3;4;11;10;39;100;
15,81,true,2792,213,1;4;1;1;1;1;4;1;1;1;7;1;2;3;3;3;6;5;16;40;7;73;100;
15,81,true,2782,201,1;5;1;1;2;1;1;3;1;4;11;2;1;1;3;4;4;2;4;8;3;1;9;16;3;5;2;2;2;19;30;100;
