NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,3422,155,5;9;22;3;9;1;11;3;22;6;1;13;33;1;100;
15,1,false,3422,269,6;9;2;1;5;5;2;1;2;5;5;11;13;14;8;27;5;35;13;19;59;100;
15,1,false,3422,216,6;1;23;7;3;3;3;9;24;3;16;14;3;14;17;42;9;100;
15,1,false,3422,133,3;7;1;3;3;8;1;1;1;3;12;4;1;1;6;6;3;27;18;100;
15,1,false,3422,121,1;10;2;2;10;4;7;11;8;11;13;25;2;100;
15,1,false,3422,218,21;5;1;4;10;3;1;2;8;25;18;54;50;100;
15,1,false,3422,197,1;9;1;1;2;4;8;5;5;3;3;14;2;4;17;42;55;100;
15,1,false,3422,182,1;2;9;6;1;8;17;8;5;12;20;37;9;27;100;
15,1,false,3422,165,1;12;5;5;2;3;1;13;6;3;6;1;2;12;63;10;100;
15,1,false,3422,126,3;2;2;1;4;9;1;4;8;5;6;2;1;10;4;2;1;24;1;15;100;
15,11,false,3037,771,7;5;2;2;2;7;4;3;1;1;4;2;2;2;2;1;20;9;3;23;32;53;58;38;15;30;66;6;2;41;52;54;48;55;76;100;
15,11,false,3292,367,4;1;3;14;2;5;4;3;1;5;2;2;4;7;14;2;1;19;2;1;9;54;9;19;53;33;15;41;100;
15,11,false,3393,268,1;8;1;4;4;4;3;1;1;3;5;2;3;3;3;5;3;8;1;2;10;18;65;21;26;8;21;100;
15,11,false,3422,148,3;4;2;1;7;9;1;1;2;2;4;2;8;2;3;1;6;8;11;1;7;12;15;8;100;
15,11,false,3334,210,1;4;14;3;2;3;2;3;7;4;7;1;2;2;8;5;36;5;22;7;11;22;7;100;
15,11,false,3422,151,2;2;2;3;3;2;1;1;1;3;11;8;2;1;10;9;1;9;6;8;5;27;3;100;
15,11,false,3159,441,1;2;1;6;3;6;13;1;1;4;4;7;1;4;11;1;3;8;63;4;10;5;26;1;71;49;34;65;100;
15,11,false,3400,160,13;6;4;9;6;5;3;7;1;3;8;5;6;1;4;12;45;100;
15,11,false,3299,365,12;6;7;9;7;6;3;1;1;11;1;7;9;40;51;8;64;54;15;27;100;
15,11,false,3287,373,10;6;2;2;3;3;1;5;8;3;1;1;2;1;3;1;4;8;4;6;6;11;20;28;36;62;17;39;40;4;100;
15,21,false,3122,524,3;6;8;6;1;2;5;1;2;2;1;3;8;6;1;4;2;47;4;15;17;5;42;33;24;5;10;23;2;4;33;10;32;25;76;13;100;
15,21,false,3164,480,5;3;12;1;4;5;2;2;3;1;2;6;1;1;5;3;3;2;13;7;14;8;61;10;5;22;49;17;20;5;1;6;14;32;23;15;1;31;19;100;
