NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,3012,225,3;16;11;62;2;2;16;44;59;100;
15,1,true,3039,93,1;9;10;8;4;31;7;8;3;100;
15,1,true,3042,76,27;9;16;5;12;100;
15,1,true,2976,154,5;1;2;45;27;15;4;34;10;100;
15,1,true,3005,169,11;26;3;27;8;19;11;54;100;
15,1,true,3007,175,15;4;1;46;70;30;100;
15,1,true,3021,162,12;18;26;16;1;16;47;16;100;
15,1,true,3068,51,1;9;25;11;100;
15,1,true,2942,221,5;4;4;4;5;5;55;11;25;77;14;100;
15,1,true,3005,261,8;34;8;23;3;60;50;63;100;
15,11,true,2956,181,2;2;27;8;17;9;16;34;3;1;46;100;
15,11,true,2950,277,7;25;3;3;1;2;24;6;40;19;28;14;63;26;100;
15,11,true,2932,121,1;12;12;8;3;4;4;16;3;11;31;100;
15,11,true,2943,215,11;10;30;32;4;24;51;8;34;100;
15,11,true,2945,230,1;17;2;21;32;11;6;1;4;2;14;2;2;52;44;100;
15,11,true,2937,306,1;10;12;33;38;20;2;6;5;4;42;37;26;42;11;100;
15,11,true,2917,373,10;21;4;6;14;13;30;26;42;78;36;6;71;100;
15,11,true,2945,184,3;2;15;7;5;18;2;1;2;19;49;10;33;100;
15,11,true,2932,125,8;17;3;10;3;45;11;5;12;100;
15,11,true,2924,138,4;34;2;10;5;2;2;20;1;9;35;100;
15,21,true,2901,323,5;3;37;23;4;55;65;9;59;51;100;
15,21,true,2919,344,1;3;4;9;12;26;55;1;15;4;5;31;21;57;3;26;52;100;
15,21,true,2894,395,1;4;9;2;2;21;21;5;16;24;32;20;56;23;36;51;54;100;
15,21,true,2887,391,11;6;10;4;30;5;4;17;9;37;20;35;57;14;38;75;100;
15,21,true,2860,616,1;15;45;6;9;11;35;5;32;48;8;38;39;73;6;71;50;15;56;32;100;
15,21,true,2915,318,1;7;4;12;7;6;8;1;20;4;1;13;50;10;69;1;77;6;100;
15,21,true,2970,120,18;26;26;21;4;9;5;1;100;
15,21,true,2872,493,1;22;30;1;8;16;7;3;67;37;23;19;45;64;59;16;29;27;100;
15,21,true,2934,171,2;1;7;19;17;4;18;21;71;100;
15,21,true,2923,232,2;39;11;14;13;20;53;6;64;100;
15,31,true,2927,312,4;5;18;4;4;12;5;27;14;5;51;27;64;34;18;100;
15,31,true,2901,280,1;3;9;16;7;12;20;16;1;15;1;43;24;43;51;100;
15,31,true,2945,163,3;3;3;5;2;1;43;1;3;20;12;35;16;100;
15,31,true,2950,100,24;14;3;7;1;6;36;100;
15,31,true,2926,144,1;1;5;1;35;5;6;2;17;40;17;100;
15,31,true,2899,299,6;3;15;1;3;2;12;2;13;2;37;2;2;25;31;48;72;2;100;
15,31,true,2884,281,4;1;1;7;13;21;2;1;7;9;3;26;3;48;50;63;100;
15,31,true,2933,145,14;1;9;2;21;13;16;25;3;28;100;
15,31,true,2925,217,1;3;1;14;10;48;7;5;4;65;47;100;
15,31,true,2904,218,1;9;8;9;12;10;23;21;24;17;11;12;38;8;100;
15,41,true,2905,241,1;4;6;6;13;1;16;5;13;21;1;36;49;52;100;
15,41,true,2917,212,1;3;20;32;7;69;13;36;7;12;100;
15,41,true,2893,329,1;22;21;26;8;16;15;35;43;38;12;41;9;2;21;100;
15,41,true,2903,253,23;11;1;5;15;9;3;3;14;4;12;20;15;16;13;5;16;19;25;100;
15,41,true,2933,205,2;3;22;3;44;5;6;13;6;3;18;21;12;31;100;
15,41,true,2905,160,1;2;26;11;3;22;16;7;52;6;100;
15,41,true,2898,189,9;4;23;4;13;15;39;3;2;24;35;4;100;
15,41,true,2910,236,5;35;1;35;6;34;39;71;100;
15,41,true,2908,169,9;2;6;13;9;4;7;17;29;3;31;24;100;
15,41,true,2912,162,1;20;16;2;7;3;1;11;28;1;2;28;17;8;100;
15,51,true,2915,176,3;17;30;24;2;36;56;100;
15,51,true,2837,320,5;30;8;17;5;9;16;15;27;34;27;25;11;50;21;100;
15,51,true,2909,224,3;3;2;4;5;4;10;1;1;14;16;27;34;30;42;10;100;
15,51,true,2925,194,1;3;23;12;1;10;12;4;14;7;40;14;7;7;4;16;100;
15,51,true,2901,362,1;2;7;21;20;10;14;22;62;33;31;47;51;25;100;
15,51,true,2842,435,1;6;4;33;3;14;16;11;9;16;7;40;19;26;49;30;9;21;32;66;100;
15,51,true,2928,184,5;1;8;15;1;4;16;1;23;10;11;2;5;15;13;37;100;
15,51,true,2937,193,15;2;20;4;7;1;5;6;3;62;20;1;31;100;
15,51,true,2887,127,3;4;9;6;2;7;22;11;3;7;16;14;8;100;
15,51,true,2902,278,2;39;10;13;61;11;30;17;4;19;21;36;100;
15,61,true,2882,327,4;1;3;21;14;2;21;14;54;15;10;21;2;68;35;10;9;100;
15,61,true,2866,384,1;14;12;14;9;3;4;6;13;1;1;18;15;22;63;27;60;24;53;100;
15,61,true,2920,175,1;8;19;28;1;7;4;27;69;100;
15,61,true,2921,205,2;23;13;3;23;3;12;4;4;33;17;54;100;
15,61,true,2904,181,1;6;2;14;8;9;12;11;13;35;5;49;100;
15,61,true,2904,260,1;2;1;10;12;16;1;10;6;2;20;8;69;5;59;20;100;
15,61,true,2895,199,3;15;6;7;9;13;1;12;22;25;13;3;52;100;
15,61,true,2908,205,7;24;12;3;3;1;2;2;3;24;16;12;12;35;31;100;
15,61,true,2931,198,5;3;6;7;12;3;6;38;15;14;56;19;100;
15,61,true,2893,303,3;4;11;2;7;10;25;18;24;9;7;5;2;20;6;37;55;22;15;100;
15,71,true,2899,220,1;2;13;4;17;1;19;3;30;15;45;16;38;100;
15,71,true,2887,282,21;5;9;6;7;11;11;26;45;1;16;13;63;30;100;
15,71,true,2877,330,1;24;8;4;13;18;2;8;3;15;19;20;42;51;54;21;6;100;
15,71,true,2886,224,2;5;7;29;5;1;2;9;3;17;6;12;16;41;51;100;
15,71,true,2841,416,5;3;2;3;24;3;14;9;5;14;9;23;40;21;12;60;2;22;37;24;62;100;
15,71,true,2891,257,1;15;1;2;7;14;3;10;14;4;39;25;42;1;13;49;100;
15,71,true,2776,1338,26;2;5;9;3;27;61;15;26;10;21;57;12;51;33;8;30;31;16;3;59;10;71;59;24;67;1;77;48;66;17;63;8;32;27;51;27;9;5;55;24;28;15;100;
15,71,true,2897,238,5;8;4;34;3;1;26;4;33;19;3;9;64;9;100;
15,71,true,2914,197,13;6;17;14;4;1;3;14;7;16;25;62;100;
15,71,true,2890,238,2;4;5;8;11;12;10;1;22;6;14;14;45;54;11;100;
15,81,true,2884,264,6;21;5;4;5;5;6;11;9;9;15;5;29;48;10;34;15;7;100;
15,81,true,2930,108,4;10;30;2;7;13;3;7;15;5;100;
15,81,true,2900,328,1;10;7;5;4;23;7;11;14;19;3;27;19;27;49;9;46;25;100;
15,81,true,2897,236,2;5;12;3;4;31;1;22;24;1;13;36;3;12;16;11;11;7;100;
15,81,true,2939,165,2;10;24;22;12;7;5;4;9;33;22;1;100;
15,81,true,2864,339,16;8;8;2;8;11;22;28;3;1;2;20;39;52;79;15;100;
15,81,true,2883,273,3;11;21;12;14;4;31;20;34;2;43;22;40;100;
15,81,true,2927,177,2;1;15;9;39;3;20;12;39;26;100;
15,81,true,2888,259,2;4;2;6;20;8;5;5;11;1;15;40;26;5;10;10;2;67;100;
15,81,true,2897,243,1;9;15;2;7;16;6;2;2;10;8;34;6;59;47;100;
15,91,true,2857,444,15;1;6;2;4;7;2;6;5;18;1;13;26;39;70;22;7;33;32;12;16;59;21;100;
15,91,true,2904,258,26;26;6;1;22;6;5;9;20;13;61;46;3;100;
15,91,true,2856,455,1;5;1;1;14;18;6;5;17;17;35;50;4;42;18;9;15;53;18;56;42;2;100;
15,91,true,2930,203,1;14;6;21;3;6;4;4;3;22;36;14;7;17;27;100;
15,91,true,2943,123,28;7;4;3;16;3;1;19;32;100;
15,91,true,2905,230,1;1;14;2;11;28;5;33;64;18;11;16;10;100;
15,91,true,2907,160,34;1;20;6;32;26;16;14;100;
15,91,true,2917,246,1;1;27;8;5;4;17;4;31;19;25;68;21;100;
15,91,true,2808,615,2;2;4;10;6;7;17;7;4;8;3;4;18;30;32;5;42;17;21;28;55;6;6;18;49;17;40;44;6;29;42;100;
