NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,336,false,3297,14,1;1;100;
15,336,false,3308,49,11;6;2;15;100;
15,336,false,3304,92,2;3;5;5;10;25;26;100;
15,336,false,3297,192,1;2;3;2;31;2;97;35;100;
15,336,false,3299,50,23;3;11;100;
15,336,false,3300,368,18;57;8;72;61;57;39;37;100;
15,336,false,3306,108,1;4;14;76;100;
15,336,false,3273,129,2;6;5;22;25;26;11;7;7;100;
15,336,false,3296,131,1;35;82;100;
15,336,false,3284,70,1;1;2;13;14;16;8;100;
16,336,false,3257,21,7;100;
16,336,false,3273,37,1;3;11;8;100;
16,336,false,3269,178,5;3;5;1;8;44;45;45;100;
16,336,false,3302,46,10;12;8;100;
16,336,false,3302,76,1;2;38;19;100;
16,336,false,3247,449,3;5;34;84;51;72;83;99;100;
16,336,false,3310,20,1;1;5;100;
16,336,false,3306,47,2;11;17;3;100;
16,336,false,3293,71,4;39;13;100;
16,336,false,3271,95,1;2;9;70;100;
17,336,false,3335,65,1;4;19;26;100;
17,336,false,3332,66,2;45;5;100;
17,336,false,3278,108,1;7;88;100;
17,336,false,3277,75,2;14;8;36;100;
17,336,false,3254,93,1;5;20;20;32;100;
17,336,false,3281,220,49;4;85;67;100;
17,336,false,3344,27,1;1;14;100;
17,336,false,3312,56,1;9;7;23;100;
17,336,false,3295,132,2;1;13;24;33;44;100;
17,336,false,3300,26,1;1;1;2;1;5;100;
18,336,false,3311,92,7;12;1;10;2;30;4;6;100;
18,336,false,3287,52,1;23;10;5;100;
18,336,false,3308,62,1;10;19;2;13;3;100;
18,336,false,3305,60,2;45;100;
18,336,false,3273,80,1;20;47;100;
18,336,false,3318,71,18;11;29;100;
18,336,false,3312,118,14;92;100;
18,336,false,3326,84,13;58;100;
18,336,false,3317,148,1;1;7;27;94;100;
18,336,false,3291,205,1;1;3;36;54;93;100;
19,336,false,3319,103,15;74;100;
19,336,false,3311,91,10;68;100;
