NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,336,true,2937,261,1;3;2;6;31;17;99;88;100;
15,336,true,2924,281,1;3;3;11;41;2;33;81;89;100;
15,336,true,2948,13,1;1;1;3;100;
15,336,true,2936,186,1;1;2;2;25;72;69;100;
15,336,true,2941,127,1;1;1;16;26;2;70;100;
15,336,true,2930,173,1;1;1;22;56;43;37;100;
15,336,true,2951,10,1;1;100;
15,336,true,2937,16,1;1;4;100;
15,336,true,2943,9,2;1;1;100;
15,336,true,2942,58,1;1;1;15;13;7;6;100;
16,336,true,2932,41,1;1;1;13;15;100;
16,336,true,2943,11,1;1;1;100;
16,336,true,2935,44,5;2;2;5;22;100;
16,336,true,2948,85,1;1;1;11;24;19;17;100;
16,336,true,2951,26,2;2;2;11;100;
16,336,true,2930,151,1;2;3;35;24;75;100;
16,336,true,2941,28,2;2;18;100;
16,336,true,2936,30,2;5;6;7;100;
16,336,true,2923,109,2;2;1;43;46;100;
16,336,true,2944,95,2;1;10;14;61;100;
17,336,true,2914,41,1;3;17;10;100;
17,336,true,2900,151,2;7;4;2;63;60;100;
17,336,true,2934,31,2;3;2;7;1;4;100;
17,336,true,2938,183,1;2;1;3;48;53;66;100;
17,336,true,2939,107,1;1;6;4;24;60;100;
17,336,true,2934,116,3;1;1;1;5;3;91;100;
17,336,true,2947,12,1;3;100;
17,336,true,2931,20,1;7;1;100;
17,336,true,2949,44,1;1;2;6;21;100;
17,336,true,2928,166,1;2;1;3;4;12;27;15;85;100;
18,336,true,2922,26,2;2;1;9;3;100;
18,336,true,2924,99,1;1;1;1;2;48;37;100;
18,336,true,2938,21,3;3;6;100;
18,336,true,2927,130,1;2;2;1;4;1;57;47;100;
18,336,true,2925,79,1;1;3;1;63;100;
18,336,true,2934,62,2;4;2;11;17;15;100;
18,336,true,2923,54,1;2;1;37;3;100;
18,336,true,2943,57,1;3;1;4;39;100;
18,336,true,2914,94,3;1;3;6;2;15;24;27;100;
18,336,true,2937,39,4;2;1;6;8;8;100;
19,336,true,2932,16,1;4;2;100;
19,336,true,2918,94,1;3;16;61;2;100;
19,336,true,2913,59,2;1;2;1;1;44;100;
19,336,true,2920,182,9;2;98;64;100;
19,336,true,2919,229,1;3;31;32;55;95;100;
19,336,true,2928,137,2;4;5;2;5;16;92;100;
19,336,true,2945,58,1;9;37;100;
19,336,true,2917,55,1;2;2;40;100;
19,336,true,2938,40,1;1;8;6;11;100;
19,336,true,2922,230,1;9;92;20;73;4;16;100;
20,336,true,2927,130,2;6;2;57;26;26;100;
20,336,true,2913,144,1;1;5;4;24;58;38;100;
20,336,true,2921,174,1;2;2;3;10;82;2;6;51;100;
20,336,true,2927,138,2;3;1;8;66;43;100;
20,336,true,2914,78,3;6;4;46;5;100;
20,336,true,2938,40,1;4;1;26;100;
20,336,true,2926,194,1;1;1;2;1;1;6;98;70;100;
20,336,true,2948,11,1;1;1;100;
20,336,true,2924,41,1;1;5;23;100;
20,336,true,2931,22,2;2;1;4;1;100;
21,336,true,2931,65,2;1;2;9;8;32;100;
21,336,true,2929,33,1;2;11;9;100;
21,336,true,2944,21,3;1;1;6;100;
21,336,true,2918,136,2;1;87;39;100;
21,336,true,2931,31,1;1;3;15;100;
21,336,true,2923,83,1;1;12;45;13;100;
21,336,true,2919,122,2;1;12;9;2;85;100;
21,336,true,2917,194,1;1;5;22;86;29;40;100;
21,336,true,2929,100,1;1;1;8;3;17;53;2;100;
21,336,true,2919,95,87;100;
22,336,true,2936,113,1;1;1;42;56;100;
22,336,true,2934,132,1;2;1;1;4;1;9;15;86;100;
22,336,true,2928,70,1;1;1;1;8;3;6;34;100;
22,336,true,2909,154,1;1;1;14;11;45;29;40;100;
22,336,true,2941,90,1;1;4;73;100;
22,336,true,2924,128,3;2;3;7;27;26;51;100;
22,336,true,2922,115,1;6;10;25;5;57;100;
22,336,true,2901,230,1;5;17;18;13;3;26;34;98;100;
22,336,true,2919,122,1;1;1;1;6;29;3;30;34;100;
22,336,true,2941,26,1;2;1;1;4;4;100;
23,336,true,2926,22,2;1;9;100;
23,336,true,2917,54,1;1;3;1;9;25;100;
23,336,true,2896,72,1;3;15;44;100;
23,336,true,2935,27,1;14;100;
23,336,true,2919,173,1;1;1;1;25;47;38;47;100;
23,336,true,2911,57,4;2;22;16;100;
23,336,true,2920,229,1;3;67;33;42;71;100;
23,336,true,2934,111,2;1;2;7;92;100;
23,336,true,2937,22,1;1;1;1;9;1;100;
23,336,true,2934,128,1;2;1;8;1;22;35;45;100;
24,336,true,2922,18,1;1;1;1;6;100;
24,336,true,2933,21,1;3;6;100;
24,336,true,2924,43,1;1;1;7;2;6;14;100;
24,336,true,2940,40,1;3;4;14;11;100;
24,336,true,2907,176,1;2;6;8;13;35;2;95;100;
24,336,true,2923,73,1;1;1;29;31;100;
24,336,true,2932,79,1;1;2;17;39;10;100;
24,336,true,2929,93,1;4;12;66;100;
24,336,true,2936,49,1;1;7;7;17;5;100;
24,336,true,2928,15,1;9;100;
25,336,true,2929,298,1;1;1;16;66;26;69;39;62;100;
25,336,true,2917,19,1;5;2;1;100;
25,336,true,2922,151,1;1;1;76;61;100;
25,336,true,2934,39,2;1;3;23;100;
25,336,true,2900,204,1;2;34;34;51;73;100;
25,336,true,2930,71,2;1;4;3;7;23;21;100;
25,336,true,2917,60,1;2;9;23;9;3;100;
25,336,true,2928,44,1;5;8;24;100;
25,336,true,2933,35,3;1;2;4;16;100;
25,336,true,2916,36,1;2;1;12;10;100;
26,336,true,2927,42,1;1;3;5;23;100;
26,336,true,2942,19,2;5;100;
26,336,true,2914,174,5;5;14;61;80;100;
26,336,true,2919,60,1;7;14;2;24;100;
26,336,true,2930,116,1;1;2;4;99;100;
26,336,true,2928,82,1;1;5;12;55;100;
26,336,true,2914,39,1;1;1;8;1;17;100;
26,336,true,2923,14,1;1;1;1;100;
26,336,true,2932,194,1;3;2;1;25;40;32;78;100;
26,336,true,2935,12,2;2;1;100;
27,336,true,2933,63,2;2;23;27;100;
