NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,false,3685,88,2;4;10;4;1;1;2;6;5;39;100;
15,1,false,3648,94,3;1;2;1;5;1;2;1;1;2;3;12;12;27;100;
15,1,false,3638,141,3;2;1;3;13;4;1;5;14;1;2;9;32;35;100;
15,1,false,3637,228,2;5;1;1;1;3;1;3;5;1;3;3;4;2;1;4;6;88;14;38;17;100;
15,1,false,3610,236,4;5;5;1;1;2;2;2;6;9;6;25;5;9;9;63;59;100;
15,1,false,3514,223,4;5;2;4;6;9;1;1;8;9;1;52;55;49;100;
15,1,false,3653,97,6;8;1;7;1;1;3;1;5;14;1;11;20;100;
15,1,false,3542,81,5;2;4;4;3;4;2;5;5;1;8;1;7;10;100;
15,1,false,3608,88,1;14;4;3;2;3;14;20;3;1;7;100;
15,1,false,3428,87,1;2;10;1;3;2;5;3;4;6;13;9;7;2;100;
15,11,false,3327,158,3;1;5;3;2;3;2;6;2;1;3;4;1;6;4;5;17;21;42;100;
15,11,false,3378,72,4;3;4;2;1;4;2;4;6;1;6;4;1;2;9;100;
15,11,false,3400,99,2;2;1;4;5;1;1;3;7;3;4;4;1;41;100;
15,11,false,3368,255,1;3;2;3;1;2;2;2;5;1;2;2;2;6;47;37;69;39;100;
15,11,false,3374,149,1;3;1;1;3;1;2;10;3;18;15;15;53;100;
15,11,false,3404,101,1;2;1;4;3;5;1;7;2;4;6;4;26;12;100;
15,11,false,3471,79,1;4;1;1;2;1;3;2;2;3;5;4;8;3;9;5;100;
15,11,false,3457,119,3;2;2;3;6;7;3;6;4;2;9;1;10;11;24;100;
15,11,false,3358,244,4;1;3;1;1;1;2;1;4;5;1;1;4;6;5;8;36;5;40;84;100;
15,11,false,3332,286,3;5;2;1;1;3;3;1;2;3;3;21;59;80;19;58;100;
15,21,false,3349,123,1;2;3;2;3;5;2;5;2;4;1;26;18;26;100;
15,21,false,3282,275,5;1;2;1;2;1;1;2;4;1;1;2;1;4;3;11;19;34;36;67;52;100;
15,21,false,3289,374,1;1;2;1;2;1;1;1;3;1;4;1;3;8;3;20;1;85;52;46;28;75;100;
15,21,false,3441,65,3;1;2;1;2;4;1;2;1;5;4;10;4;100;
15,21,false,3458,110,2;2;1;3;2;2;4;1;1;1;5;1;1;1;1;12;39;5;100;
15,21,false,3374,139,3;1;3;2;2;1;6;1;1;4;1;13;15;3;18;42;100;
15,21,false,3350,264,1;2;1;1;2;2;5;5;4;4;4;2;11;1;19;6;16;64;4;4;2;5;10;17;12;25;100;
15,21,false,3385,78,1;1;2;1;5;1;2;1;3;3;2;2;1;3;4;4;4;7;100;
15,21,false,3323,269,1;3;5;2;2;2;1;1;6;6;1;1;6;1;1;1;24;82;96;100;
15,21,false,3329,369,2;3;1;1;3;3;2;1;1;5;15;1;2;4;39;16;37;82;23;70;9;10;100;
15,31,false,3239,249,2;1;1;3;1;1;1;1;2;4;2;2;1;2;1;6;12;89;14;50;12;3;100;
15,31,false,3360,150,1;3;3;1;1;1;1;5;1;2;1;4;11;40;40;12;100;
15,31,false,3330,84,1;3;1;2;1;3;1;1;2;3;3;6;3;6;24;100;
15,31,false,3117,765,4;1;1;1;1;2;7;1;1;1;1;3;1;8;5;9;41;39;13;9;37;52;21;55;87;39;1;58;45;45;75;54;100;
15,31,false,3352,259,5;2;1;1;2;3;4;7;1;1;11;3;1;3;5;2;1;35;44;94;100;
