NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
15,1,true,2984,118,1;1;2;44;13;3;1;9;2;11;18;100;
15,1,true,2952,173,5;6;11;25;20;97;100;
15,1,true,3038,73,13;5;15;32;100;
15,1,true,2985,143,5;10;8;5;22;6;9;8;35;20;100;
15,1,true,3020,67,18;13;16;1;11;100;
15,1,true,3018,161,6;6;3;4;3;10;24;13;53;28;100;
15,1,true,2946,166,5;3;6;4;5;39;9;2;3;10;68;100;
15,1,true,3039,53,16;9;1;5;3;3;5;100;
15,1,true,2984,160,1;3;8;2;14;5;12;20;27;56;100;
15,1,true,3006,196,5;5;2;11;1;23;22;82;26;8;100;
15,11,true,2939,135,3;3;10;4;5;15;3;13;3;4;29;28;100;
15,11,true,2957,146,3;7;12;5;4;3;5;65;20;11;100;
15,11,true,2988,104,2;4;7;18;5;5;7;46;100;
15,11,true,2971,145,1;6;10;3;2;2;3;20;28;56;100;
15,11,true,2967,81,2;1;1;1;2;1;2;9;5;22;7;13;100;
15,11,true,3009,46,4;2;8;6;4;1;11;100;
15,11,true,2972,153,10;9;11;23;18;34;38;100;
15,11,true,2958,236,1;1;7;7;3;1;2;7;14;15;6;70;86;100;
15,11,true,2956,61,6;15;11;3;18;100;
15,11,true,2954,59,2;6;12;12;17;1;100;
15,21,true,2951,155,3;6;4;21;13;10;7;9;33;24;9;100;
15,21,true,2967,134,6;11;2;2;5;7;1;2;6;79;100;
15,21,true,2941,175,3;6;3;3;11;2;11;2;18;4;50;47;100;
15,21,true,2946,87,5;4;7;1;4;4;14;34;100;
15,21,true,2987,76,8;4;9;4;3;5;32;100;
15,21,true,2991,57,1;3;8;3;2;4;1;2;13;9;100;
15,21,true,2971,118,1;20;2;8;9;11;8;7;1;38;100;
15,21,true,2964,78,4;9;15;24;18;100;
15,21,true,2946,112,8;1;2;1;3;2;10;18;20;35;100;
15,21,true,2960,236,1;4;1;10;4;17;4;22;21;27;3;26;47;34;100;
15,31,true,2926,210,1;3;11;1;5;2;10;18;15;94;35;100;
15,31,true,2968,87,5;5;10;2;21;8;3;18;100;
15,31,true,2939,87,4;2;3;4;15;1;8;8;15;15;100;
15,31,true,2946,150,19;11;2;21;8;80;1;100;
15,31,true,2940,57,5;2;1;11;2;27;100;
15,31,true,2940,75,1;21;3;13;5;18;4;100;
15,31,true,2944,145,9;6;1;10;2;8;1;2;13;5;73;100;
15,31,true,2967,98,3;5;5;2;9;34;15;11;100;
15,31,true,2932,123,7;3;7;4;2;9;4;5;40;31;100;
15,31,true,2903,193,2;12;6;5;11;9;27;47;24;37;100;
15,41,true,2921,109,3;7;5;6;7;7;52;10;100;
15,41,true,2952,90,27;3;2;13;29;8;100;
15,41,true,2926,171,2;2;1;6;7;6;5;17;47;65;100;
15,41,true,2955,180,1;1;17;1;8;1;3;1;4;11;30;14;43;12;16;100;
15,41,true,2927,87,1;3;6;2;10;17;18;15;2;100;
15,41,true,2940,280,1;1;1;4;1;9;1;3;5;3;74;84;78;100;
15,41,true,2946,110,4;4;20;7;1;17;9;9;27;1;100;
15,41,true,2933,148,1;13;2;8;12;8;1;2;19;4;22;30;9;100;
