CPU_COUNT,TIME_MS,NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
4,438,15,1,false,67524,18,4;6;100;
4,500,15,1,false,68771,24,1;1;1;2;3;3;4;100;
4,472,15,1,false,65162,213,2;2;5;5;1;7;15;16;29;3;12;25;73;100;
4,188,15,1,false,68529,33,1;1;3;20;100;
4,218,15,1,false,67059,89,1;20;60;100;
4,172,15,1,false,61835,29,1;2;16;2;100;
4,156,15,1,false,63470,33,2;1;2;2;16;100;
4,219,15,1,false,65817,81,1;1;1;2;5;17;16;26;100;
4,250,15,1,false,65543,116,1;4;1;2;3;19;75;100;
4,156,15,1,false,66301,31,1;1;17;5;100;
4,219,15,6,false,62734,31,1;1;1;9;8;100;
4,188,15,6,false,60894,17,3;1;4;100;
4,437,15,6,false,60467,191,3;1;24;8;13;5;18;11;26;60;5;100;
4,219,15,6,false,62105,39,1;3;18;6;100;
4,360,15,6,false,59553,155,1;2;3;3;21;15;40;9;5;41;100;
4,297,15,6,false,59271,105,1;2;6;36;8;31;4;2;2;100;
4,203,15,6,false,63490,33,3;1;20;100;
4,219,15,6,false,62693,52,2;4;2;6;1;27;100;
4,453,15,6,false,59185,213,1;16;15;3;9;54;26;37;31;5;100;
4,344,15,6,false,62186,146,1;1;1;11;32;24;7;57;100;
4,437,15,11,false,60746,175,1;1;2;14;7;44;7;12;72;100;
4,532,15,11,false,61084,244,1;1;65;51;30;85;100;
4,328,15,11,false,60110,118,1;1;1;2;6;34;22;40;100;
4,266,15,11,false,61217,61,1;1;35;1;9;100;
4,328,15,11,false,59243,120,1;2;1;4;55;39;5;100;
4,562,15,11,false,60305,255,1;44;87;89;1;4;12;100;
4,681,15,11,false,58834,267,1;23;6;30;12;50;14;98;15;100;
4,266,15,11,false,62112,49,4;2;1;10;9;9;2;100;
4,172,15,11,false,62482,12,3;100;
4,343,15,11,false,61205,126,5;7;8;4;69;20;100;
4,282,15,16,false,60283,61,5;18;6;22;100;
4,578,15,16,false,59528,235,1;1;31;1;48;30;57;50;100;
4,781,15,16,false,59371,356,4;32;70;15;17;91;55;58;100;
4,453,15,16,false,60687,172,6;12;2;6;45;7;80;100;
4,188,15,16,false,61437,14,2;1;1;1;100;
4,390,15,16,false,60559,137,42;71;2;11;100;
4,313,15,16,false,61534,90,3;16;1;23;35;100;
4,219,15,16,false,60398,18,1;4;3;100;
4,344,15,16,false,60518,112,1;5;85;5;4;100;
4,453,15,16,false,58550,183,2;1;1;44;3;79;38;100;
4,281,15,21,false,58658,51,1;1;1;7;19;2;1;8;100;
4,234,15,21,false,62554,32,1;22;100;
4,297,15,21,false,61865,67,2;4;10;1;13;22;100;
4,594,15,21,false,58917,237,2;3;7;32;84;57;41;100;
4,187,15,21,false,62197,8,100;
4,641,15,21,false,59071,264,2;2;15;78;53;55;43;100;
4,203,15,21,false,61217,9,1;100;
4,297,15,21,false,63323,65,4;8;3;40;100;
4,343,15,21,false,59493,90,1;2;1;3;24;1;5;11;29;100;
4,422,15,21,false,58806,148,1;42;76;6;9;1;100;
4,329,15,26,false,59305,65,1;1;2;1;1;40;5;100;
