CPU_COUNT,TIME_MS,NN_FACTOR,ANT_COUNT,LOCAL_SEARCH,TOUR_LEN,SOLUTION_FOUND_IN_IT,NON_IMPROVED_PERIODS
4,266,15,1,true,53911,14,9;100;
4,156,15,1,true,54470,18,5;7;100;
4,234,15,1,true,53798,89,1;2;8;15;3;39;8;1;100;
4,172,15,1,true,53882,37,1;1;13;15;100;
4,250,15,1,true,53296,97,2;1;1;2;3;53;26;100;
4,281,15,1,true,53840,131,5;6;65;49;100;
4,329,15,1,true,53986,165,3;1;2;4;37;6;3;96;100;
4,203,15,1,true,53788,54,9;7;12;21;100;
4,219,15,1,true,54543,90,2;1;4;22;4;50;100;
4,218,15,1,true,54173,70,3;24;14;5;18;100;
4,282,15,6,true,53383,86,4;22;53;100;
4,218,15,6,true,53316,36,4;1;1;18;5;100;
4,344,15,6,true,53717,140,2;11;12;18;16;4;44;23;100;
4,203,15,6,true,54054,24,1;4;3;1;7;100;
4,422,15,6,true,53377,176,1;6;3;2;1;35;80;37;100;
4,172,15,6,true,54008,13,2;1;3;100;
4,219,15,6,true,54119,43,2;1;4;6;2;21;100;
4,188,15,6,true,53802,17,1;2;1;2;3;100;
4,390,15,6,true,53625,169,31;22;55;53;100;
4,375,15,6,true,53730,141,1;4;6;1;1;58;60;100;
4,266,15,11,true,53663,51,5;1;5;7;27;100;
4,187,15,11,true,53746,11,1;7;100;
4,219,15,11,true,54025,22,1;4;12;100;
4,297,15,11,true,53757,82,1;1;2;8;27;36;100;
4,328,15,11,true,53757,95,3;1;19;29;37;100;
4,328,15,11,true,53512,92,4;5;5;53;17;100;
4,407,15,11,true,53444,151,1;6;26;23;16;18;52;100;
4,328,15,11,true,53552,96,9;3;11;62;3;100;
4,281,15,11,true,53964,42,1;2;3;3;6;19;100;
4,297,15,11,true,53682,68,1;6;7;46;100;
4,516,15,16,true,53527,178,1;5;87;5;74;100;
4,281,15,16,true,53703,42,1;7;28;100;
4,281,15,16,true,53192,46,2;2;1;4;3;1;25;100;
4,219,15,16,true,53821,18,1;6;6;100;
4,485,15,16,true,53717,121,2;1;12;15;34;47;100;
4,234,15,16,true,53722,17,7;5;100;
4,219,15,16,true,53714,14,1;1;8;100;
4,386,15,16,true,53535,104,3;12;4;10;8;10;46;100;
4,251,15,16,true,53507,27,2;5;9;5;100;
4,343,15,16,true,53251,87,5;2;1;14;57;100;
4,235,15,21,true,53413,6,2;100;
4,406,15,21,true,53846,93,1;1;1;4;2;30;44;100;
